preference_name,method,method_family,hyperparameter_id,hyperparameters_json,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,score_helpfulness,score_correctness,score_coherence,score_complexity,score_verbosity,min_relationship_score,lambda_sum,lambda_min,lambda_max,l1_distance_to_p,l2_distance_to_p,validation_passed
balanced,direct_preference,baseline,default,{},0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,uniform,baseline,default,{},0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,M1,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1721450160,0.1317975681,0.1667783407,0.2625116418,0.2667674335,0.7900127542,0.7940474937,0.7905494514,0.7809764202,0.7805505535,0.7805505535,1.0000000000,0.1317975681,0.2667674335,0.2585581505,0.1220522266,True
balanced,M1,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1863577263,0.1776483498,0.1848063548,0.2247736031,0.2264139660,0.8060189068,0.8147282823,0.8075702791,0.7676030283,0.7659626646,0.7659626646,1.0000000000,0.1776483498,0.2264139660,0.1023751383,0.0472015229,True
balanced,M1,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1979855233,0.1969620207,0.1977922187,0.2035182444,0.2037419930,0.8153559270,0.8255908399,0.8172886366,0.7600283626,0.7577912720,0.7577912720,1.0000000000,0.1969620207,0.2037419930,0.0145204747,0.0066740009,True
balanced,M2,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1930278088,0.1891709171,0.1923133015,0.2123443168,0.2131436559,0.8114688385,0.8211100792,0.8132522128,0.7631746015,0.7611794992,0.7611794992,1.0000000000,0.1891709171,0.2131436559,0.0509759454,0.0234542889,True
balanced,M2,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1991686693,0.1987539518,0.1990900196,0.2014478245,0.2015395347,0.8162691555,0.8266370759,0.8182353461,0.7592902219,0.7569975335,0.7569975335,1.0000000000,0.1987539518,0.2015395347,0.0059747184,0.0027455735,True
balanced,M2,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1999152437,0.1998734857,0.1999073019,0.2001473307,0.2001566380,0.8168430126,0.8272934211,0.8188299681,0.7588265584,0.7564991527,0.7564991527,1.0000000000,0.1998734857,0.2001566380,0.0006079374,0.0002793282,True
balanced,C1,CAGrad-inspired,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,1.0000000000,0.1012164927,0.2798393570,0.3103138678,0.1530301678,True
balanced,C1,CAGrad-inspired,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,1.0000000000,0.1012164927,0.2798393570,0.3103138678,0.1530301678,True
balanced,C1,CAGrad-inspired,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,1.0000000000,0.1012164927,0.2798393570,0.3103138678,0.1530301678,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1429465632,0.2431399411,0.1415358378,0.2327552131,0.2396224449,0.7983175425,0.8183169561,0.8005681029,0.7711985382,0.7701634535,0.7701634535,1.0000000000,0.1415358378,0.2431399411,0.2310351981,0.1057215662,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1792885392,0.2017417098,0.1799402020,0.2181144729,0.2209150761,0.8076673246,0.8199525738,0.8098147815,0.7654286048,0.7638295922,0.7638295922,1.0000000000,0.1792885392,0.2209150761,0.0815425177,0.0399996025,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1416175559,0.3094466545,0.1458995464,0.1985869482,0.2044492949,0.8112718236,0.8397120224,0.8150545373,0.7593261411,0.7572766852,0.7572766852,1.0000000000,0.1416175559,0.3094466545,0.2277918988,0.1354094973,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1901489633,0.2174187237,0.1917506568,0.1998826461,0.2007990102,0.8158898324,0.8292981515,0.8183144142,0.7588955770,0.7566133271,0.7566133271,1.0000000000,0.1901489633,0.2174187237,0.0364354677,0.0216600719,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1551448480,0.3851343378,0.1667040667,0.1452260458,0.1477907017,0.8332040904,0.8701673049,0.8388353025,0.7405066703,0.7367329435,0.7367329435,1.0000000000,0.1452260458,0.3851343378,0.3702686756,0.2076567450,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1991181738,0.2301588549,0.2014436195,0.1849014573,0.1843778945,0.8226310668,0.8369386443,0.8252737991,0.7535314531,0.7507181633,0.7507181633,1.0000000000,0.1843778945,0.2301588549,0.0632049489,0.0372079879,True
balanced,P1,PCGrad-inspired,beta_0p5,"{""beta"": 0.5}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,P1,PCGrad-inspired,beta_1,"{""beta"": 1.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,P1,PCGrad-inspired,beta_2,"{""beta"": 2.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,P2,PCGrad-inspired,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
