preference_name,method,method_family,hyperparameter_id,hyperparameters_json,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,mean_helpfulness_proxy,mean_correctness_proxy,mean_coherence_proxy,mean_complexity_proxy,mean_verbosity_proxy,mean_utility,mean_response_length,empty_response_count,num_prompts,l1_distance_to_p,l2_distance_to_p,direct_preference_utility,improvement_over_direct_preference,uniform_utility,improvement_over_uniform,runtime_seconds,peak_memory_mb,solver_iterations,solver_success
balanced,C1,CAGrad-inspired,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.2,0.2,0.2,0.2,0.2,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.150547,0.359844,0.106719,0.16148,0.016406,0.158999,1.969,15,32,0.3103138678,0.1530301678,0.154401,0.004598,0.158827,0.000172,0.0274209410,0.0221557617,,True
balanced,C1,CAGrad-inspired,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.2,0.2,0.2,0.2,0.2,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.143047,0.362344,0.09199,0.127839,0.020573,0.149158,2.469,18,32,0.3103138678,0.1530301678,0.154401,-0.005243,0.158827,-0.009669,0.0251581630,0.0205650330,,True
balanced,C1,CAGrad-inspired,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.2,0.2,0.2,0.2,0.2,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.192578,0.366406,0.113854,0.224368,0.028125,0.185066,3.375,13,32,0.3103138678,0.1530301678,0.154401,0.030665,0.158827,0.026239,0.0251799300,0.0204906464,,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.2,0.2,0.2,0.2,0.2,0.1429465632,0.2431399411,0.1415358378,0.2327552131,0.2396224449,0.128828,0.356406,0.11625,0.233828,0.010677,0.169198,1.281,16,32,0.2310351981,0.1057215662,0.154401,0.014797,0.158827,0.010371,0.0415492040,0.0167741776,,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.2,0.2,0.2,0.2,0.2,0.1416175559,0.3094466545,0.1458995464,0.1985869482,0.2044492949,0.108828,0.358906,0.090781,0.219483,0.014844,0.158568,1.781,21,32,0.2277918988,0.1354094973,0.154401,0.004167,0.158827,-0.000259,0.0485842070,0.0171718597,,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.2,0.2,0.2,0.2,0.2,0.155144848,0.3851343378,0.1667040667,0.1452260458,0.1477907017,0.138047,0.359844,0.121563,0.260764,0.016406,0.179325,1.969,17,32,0.3702686756,0.207656745,0.154401,0.024924,0.158827,0.020498,0.0488999280,0.0167436600,,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.2,0.2,0.2,0.2,0.2,0.1792885392,0.2017417098,0.179940202,0.2181144729,0.2209150761,0.13875,0.36,0.132109,0.335788,0.017969,0.196923,2.156,17,32,0.0815425177,0.0399996025,0.154401,0.042522,0.158827,0.038096,0.0208087250,0.0169343948,,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.2,0.2,0.2,0.2,0.2,0.1901489633,0.2174187237,0.1917506568,0.1998826461,0.2007990102,0.133906,0.360312,0.124062,0.224804,0.017188,0.172055,2.062,18,32,0.0364354677,0.0216600719,0.154401,0.017654,0.158827,0.013228,0.0235120420,0.0169324875,,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.2,0.2,0.2,0.2,0.2,0.1991181738,0.2301588549,0.2014436195,0.1849014573,0.1843778945,0.145547,0.357344,0.155781,0.348906,0.01224,0.203964,1.469,14,32,0.0632049489,0.0372079879,0.154401,0.049563,0.158827,0.045137,0.0362011880,0.0169839859,,True
balanced,M1,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.2,0.2,0.2,0.2,0.2,0.172145016,0.1317975681,0.1667783407,0.2625116418,0.2667674335,0.127656,0.360312,0.110937,0.182996,0.017187,0.159818,2.062,19,32,0.2585581505,0.1220522266,0.154401,0.005417,0.158827,0.000991,1.5173200010,21.0973625183,,True
