preference_name,method,hyperparameter_name,hyperparameter_value,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,score_helpfulness,score_correctness,score_coherence,score_complexity,score_verbosity,min_relationship_score,l1_distance_to_p,l2_distance_to_p
balanced,direct_preference,,,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,0.0000000000,0.0000000000
balanced,M1,rho,1.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1863577277,0.1776483488,0.1848063528,0.2247736022,0.2264139684,0.8060189068,0.8147282818,0.8075702785,0.7676030281,0.7659626653,0.7659626653,0.1023751413,0.0472015245
balanced,C1,c,0.5000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.3103138678,0.1530301678
quality_focused,direct_preference,,,0.1500000000,0.3500000000,0.2500000000,0.1000000000,0.1500000000,0.1500000000,0.3500000000,0.2500000000,0.1000000000,0.1500000000,0.8372695580,0.8745288095,0.8574220375,0.7257025985,0.7359922620,0.7257025985,0.0000000000,0.0000000000
quality_focused,M1,rho,1.0000000000,0.1500000000,0.3500000000,0.2500000000,0.1000000000,0.1500000000,0.1324800039,0.3006756519,0.2156036358,0.1548397005,0.1964010078,0.8171250032,0.8489293547,0.8340013716,0.7447653062,0.7532039988,0.7447653062,0.2024814166,0.0953068608
quality_focused,C1,c,0.5000000000,0.1500000000,0.3500000000,0.2500000000,0.1000000000,0.1500000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.6608699437,0.3417509119
detailed_answer,direct_preference,,,0.1500000000,0.1500000000,0.2000000000,0.2500000000,0.2500000000,0.1500000000,0.1500000000,0.2000000000,0.2500000000,0.2500000000,0.7915919375,0.8021968595,0.8012780155,0.7761611315,0.7748971285,0.7748971285,0.0000000000,0.0000000000
detailed_answer,M1,rho,1.0000000000,0.1500000000,0.1500000000,0.2000000000,0.2500000000,0.2500000000,0.1496532307,0.1405665847,0.1913900508,0.2587104952,0.2596796385,0.7883643371,0.7974509835,0.7966274835,0.7793072074,0.7783377762,0.7783377762,0.0367802674,0.0182430514
detailed_answer,C1,c,0.5000000000,0.1500000000,0.1500000000,0.2000000000,0.2500000000,0.2500000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.1608699437,0.0745116898
helpfulness_focused,direct_preference,,,0.5000000000,0.1500000000,0.1500000000,0.1000000000,0.1000000000,0.5000000000,0.1500000000,0.1500000000,0.1000000000,0.1000000000,0.8941511025,0.8587728130,0.8385779190,0.7240410100,0.7190344095,0.7190344095,0.0000000000,0.0000000000
helpfulness_focused,M1,rho,1.0000000000,0.5000000000,0.1500000000,0.1500000000,0.1000000000,0.1000000000,0.4349470537,0.1170532027,0.1329520769,0.1558816474,0.1591660193,0.8647637542,0.8326576052,0.8167587302,0.7438291581,0.7405447862,0.7405447862,0.2300953334,0.1105955935
helpfulness_focused,C1,c,0.5000000000,0.5000000000,0.1500000000,0.1500000000,0.1000000000,0.1000000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7470109388,0.4138107044
