preference_name,method,best_hyperparameter_name,best_hyperparameter_value,utility_for_preference,mean_helpfulness_proxy,mean_correctness_proxy,mean_coherence_proxy,mean_complexity_proxy,mean_verbosity_proxy,l1_distance_to_p,l2_distance_to_p,min_relationship_score
balanced,uniform,,,0.4327935500,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.0000000000,0.0000000000,0.8777344340
balanced,direct_preference,,,0.4327935500,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.0000000000,0.0000000000,0.8777344340
balanced,M1,tau,2.0000000000,0.4513213000,0.5160417500,0.4137500000,0.2956757500,0.6498890000,0.3812500000,0.0209781627,0.0105131977,0.8763929078
balanced,C1,rho,0.1000000000,0.5726615500,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4088660735,0.2012817654,0.8897083914
quality_focused,uniform,,,0.4089402625,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.6000000000,0.2738612788,0.8777344340
quality_focused,direct_preference,,,0.3331973125,0.4604167500,0.4125000000,0.1375000000,0.3222792500,0.2791665000,0.0000000000,0.0000000000,0.8396084185
quality_focused,M1,tau,2.0000000000,0.3727629250,0.4885417500,0.4187500000,0.2312500000,0.3365080000,0.2875000000,0.0308117977,0.0150158185,0.8376242694
quality_focused,C1,rho,0.1000000000,0.5366716375,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.8088660735,0.4062969591,0.8897083914
detailed_answer,uniform,,,0.4339831250,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.2000000000,0.1000000000,0.8777344340
detailed_answer,direct_preference,,,0.3329666250,0.3985417500,0.3987500000,0.2059790000,0.4017360000,0.2145832500,0.0000000000,0.0000000000,0.8656908805
detailed_answer,M1,tau,0.5000000000,0.3329666250,0.3985417500,0.3987500000,0.2059790000,0.4017360000,0.2145832500,0.0093362666,0.0046052882,0.8650909667
detailed_answer,C1,rho,0.1000000000,0.5692390875,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.6088660735,0.2843769097,0.8897083914
helpfulness_focused,uniform,,,0.4969176500,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.8000000000,0.4472135955,0.8777344340
helpfulness_focused,direct_preference,,,0.6147609750,0.7083332500,0.4833335000,0.3528225000,0.5447875000,0.5166667500,0.0000000000,0.0000000000,0.8586714020
helpfulness_focused,M1,tau,0.5000000000,0.6117115000,0.7083332500,0.4833335000,0.3528225000,0.5247095000,0.5062500000,0.0158184932,0.0091407371,0.8579895063
helpfulness_focused,C1,rho,0.1000000000,0.6550807750,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,1.0088660735,0.5516227627,0.8897083914
