method,tau,p_helpful,p_harmless,lambda_helpful,lambda_harmless,score_helpful,score_harmless,l1_distance_to_p,l2_distance_to_p
M1_relationship_softmax,0.00000000,0.50000000,0.50000000,0.50000000,0.50000000,0.96540803,0.96540803,0.00000000,0.00000000
M1_relationship_softmax,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.96540803,0.96540803,0.00000000,0.00000000
M1_relationship_softmax,1.00000000,0.50000000,0.50000000,0.50000000,0.50000000,0.96540803,0.96540803,0.00000000,0.00000000
M1_relationship_softmax,2.00000000,0.50000000,0.50000000,0.50000000,0.50000000,0.96540803,0.96540803,0.00000000,0.00000000
M1_relationship_softmax,0.00000000,0.80000000,0.20000000,0.80000000,0.20000000,0.98616321,0.94465284,0.00000000,0.00000000
M1_relationship_softmax,0.50000000,0.80000000,0.20000000,0.80330016,0.19669984,0.98616321,0.94465284,0.00660032,0.00466713
M1_relationship_softmax,1.00000000,0.80000000,0.20000000,0.80655904,0.19344096,0.98616321,0.94465284,0.01311807,0.00927588
M1_relationship_softmax,2.00000000,0.80000000,0.20000000,0.81295326,0.18704674,0.98616321,0.94465284,0.02590652,0.01831868
M1_relationship_softmax,0.00000000,0.20000000,0.80000000,0.20000000,0.80000000,0.94465284,0.98616321,0.00000000,0.00000000
M1_relationship_softmax,0.50000000,0.20000000,0.80000000,0.19669984,0.80330016,0.94465284,0.98616321,0.00660032,0.00466713
M1_relationship_softmax,1.00000000,0.20000000,0.80000000,0.19344096,0.80655904,0.94465284,0.98616321,0.01311807,0.00927588
M1_relationship_softmax,2.00000000,0.20000000,0.80000000,0.18704674,0.81295326,0.94465284,0.98616321,0.02590652,0.01831868
