preference_name,method,hyperparameter_name,hyperparameter_value,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,reward_helpfulness,reward_correctness,reward_coherence,reward_complexity,reward_verbosity,avg_reward,preference_weighted_utility,direct_preference_utility,delta_utility_over_direct,lambda_best_utility,lambda_best_source,utility_gap_to_lambda_best,l1_distance_to_p,l2_distance_to_p,r_geometric_distance_to_p,z_best_helpfulness,z_best_correctness,z_best_coherence,z_best_complexity,z_best_verbosity,z_worst_helpfulness,z_worst_correctness,z_worst_coherence,z_worst_complexity,z_worst_verbosity,normalized_shortfall_helpfulness,normalized_shortfall_correctness,normalized_shortfall_coherence,normalized_shortfall_complexity,normalized_shortfall_verbosity,tchebychev_norm,direct_preference_tchebychev_norm,delta_tchebychev_norm_over_direct
balanced,uniform,,,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.4327935500,0.4327935500,0.4327935500,0.0000000000,0.6772400000,fixed_lambda_sweep,0.2444464500,0.0000000000,0.0000000000,0.0000000000,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5160417500,0.4137500000,0.2181757500,0.5468152500,0.2604167500,0.1593602785,0.1712575293,0.1999999852,0.1764740845,0.1199999965,0.1999999852,0.1999999852,0.0000000000
balanced,direct_preference,,,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.4327935500,0.4327935500,0.4327935500,0.0000000000,0.6772400000,fixed_lambda_sweep,0.2444464500,0.0000000000,0.0000000000,0.0000000000,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5160417500,0.4137500000,0.2181757500,0.5468152500,0.2604167500,0.1593602785,0.1712575293,0.1999999852,0.1764740845,0.1199999965,0.1999999852,0.1999999852,0.0000000000
balanced,M1,tau,0.5000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2011724183,0.2014450521,0.1999082255,0.1990939629,0.1983803411,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.4327935500,0.4327935500,0.4327935500,0.0000000000,0.6772400000,fixed_lambda_sweep,0.2444464500,0.0052349408,0.0026297074,0.0000015686,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5160417500,0.4137500000,0.2181757500,0.5468152500,0.2604167500,0.1593602785,0.1712575293,0.1999999852,0.1764740845,0.1199999965,0.1999999852,0.1999999852,0.0000000000
balanced,M1,tau,1.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2023447130,0.2028935297,0.1998095844,0.1981851778,0.1967669952,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.4327935500,0.4327935500,0.4327935500,0.0000000000,0.6772400000,fixed_lambda_sweep,0.2444464500,0.0104764853,0.0052585503,0.0000062656,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5160417500,0.4137500000,0.2181757500,0.5468152500,0.2604167500,0.1593602785,0.1712575293,0.1999999852,0.1764740845,0.1199999965,0.1999999852,0.1999999852,0.0000000000
balanced,M1,tau,2.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2046886138,0.2058004675,0.1995917542,0.1963596744,0.1935594900,0.5160417500,0.4137500000,0.2956757500,0.6498890000,0.3812500000,0.4513213000,0.4513213000,0.4327935500,0.0185277500,0.6772400000,fixed_lambda_sweep,0.2259187000,0.0209781627,0.0105131977,0.0000249900,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5160417500,0.4137500000,0.2181757500,0.5468152500,0.2604167500,0.1999999910,0.1999999713,0.0851985724,0.0509425979,0.1296970144,0.1999999910,0.1999999852,-0.0000000058
balanced,C1,rho,0.1000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1362266768,0.0593402865,0.3053072970,0.2314028259,0.2677229138,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5726615500,0.5726615500,0.4327935500,0.1398680000,0.6772400000,fixed_lambda_sweep,0.1045784500,0.4088660735,0.2012817654,0.0042539862,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5160417500,0.4137500000,0.2181757500,0.5468152500,0.2604167500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1999999852,0.1999999852
balanced,C1,rho,1.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1318866437,0.1703298662,0.2262215319,0.2062654750,0.2652964832,0.6454167500,0.4758335000,0.2573255000,0.5468152500,0.4520835000,0.4754949000,0.4754949000,0.4327935500,0.0427013500,0.6772400000,fixed_lambda_sweep,0.2017451000,0.1955669802,0.1025192752,0.0016686971,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5160417500,0.4137500000,0.2181757500,0.5468152500,0.2604167500,0.0831608178,0.0215568315,0.1420071257,0.1999999855,0.0884847974,0.1999999855,0.1999999852,-0.0000000004
balanced,C1,rho,10.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1931886279,0.1970326664,0.1847348799,0.1884301635,0.2366136623,0.5947917500,0.4479167500,0.3250000000,0.5624122500,0.2604167500,0.4381075000,0.4381075000,0.4327935500,0.0053139500,0.6772400000,fixed_lambda_sweep,0.2391325000,0.0732273246,0.0419838675,0.0002757278,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5160417500,0.4137500000,0.2181757500,0.5468152500,0.2604167500,0.1288804942,0.1017963883,0.0417603101,0.1774447950,0.1999999942,0.1999999942,0.1999999852,-0.0000000090
quality_focused,uniform,,,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.4327935500,0.4089402625,0.3331973125,0.0757429500,0.7088930000,fixed_lambda_sweep,0.2999527375,0.6000000000,0.2738612788,0.0213246006,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4322917500,0.4062500000,0.1375000000,0.3222792500,0.2687500000,0.1734470587,0.2318920091,0.1877900757,0.0168164466,0.0307453331,0.2318920091,0.2999999861,0.0681079770
quality_focused,direct_preference,,,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.4604167500,0.4125000000,0.1375000000,0.3222792500,0.2791665000,0.3223725000,0.3331973125,0.3331973125,0.0000000000,0.7088930000,fixed_lambda_sweep,0.3756956875,0.0000000000,0.0000000000,0.0000000000,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4322917500,0.4062500000,0.1375000000,0.3222792500,0.2687500000,0.2723549323,0.2756756925,0.2999999861,0.0499999986,0.0484472288,0.2999999861,0.2999999861,0.0000000000
