preference_name,method,method_family,hyperparameter_id,hyperparameters_json,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,score_helpfulness,score_correctness,score_coherence,score_complexity,score_verbosity,min_relationship_score,lambda_sum,lambda_min,lambda_max,l1_distance_to_p,l2_distance_to_p,validation_passed
balanced,direct_preference,baseline,default,{},0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,uniform,baseline,default,{},0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,M1,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1721450228,0.1317975685,0.1667783394,0.2625116443,0.2667674251,0.7900127563,0.7940474949,0.7905494520,0.7809764206,0.7805505510,0.7805505510,1.0000000000,0.1317975685,0.2667674251,0.2585581388,0.1220522220,True
balanced,M1,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1863577277,0.1776483488,0.1848063528,0.2247736022,0.2264139684,0.8060189068,0.8147282818,0.8075702785,0.7676030281,0.7659626653,0.7659626653,1.0000000000,0.1776483488,0.2264139684,0.1023751413,0.0472015245,True
balanced,M1,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1979855235,0.1969620207,0.1977922184,0.2035182444,0.2037419930,0.8153559270,0.8255908399,0.8172886366,0.7600283626,0.7577912720,0.7577912720,1.0000000000,0.1969620207,0.2037419930,0.0145204747,0.0066740009,True
balanced,M2,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1930278083,0.1891709118,0.1923133025,0.2123443188,0.2131436587,0.8114688375,0.8211100777,0.8132522119,0.7631746022,0.7611795002,0.7611795002,1.0000000000,0.1891709118,0.2131436587,0.0509759550,0.0234542938,True
balanced,M2,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1991686694,0.1987539519,0.1990900197,0.2014478245,0.2015395346,0.8162691555,0.8266370759,0.8182353462,0.7592902219,0.7569975335,0.7569975335,1.0000000000,0.1987539519,0.2015395346,0.0059747182,0.0027455734,True
balanced,M2,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1999152437,0.1998734857,0.1999073019,0.2001473307,0.2001566380,0.8168430126,0.8272934211,0.8188299681,0.7588265584,0.7564991527,0.7564991527,1.0000000000,0.1998734857,0.2001566380,0.0006079374,0.0002793282,True
balanced,C1,CAGrad-inspired,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,1.0000000000,0.1012164927,0.2798393570,0.3103138678,0.1530301678,True
balanced,C1,CAGrad-inspired,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,1.0000000000,0.1012164927,0.2798393570,0.3103138678,0.1530301678,True
balanced,C1,CAGrad-inspired,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.2798393570,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,0.7853757308,1.0000000000,0.1012164927,0.2798393570,0.3103138678,0.1530301678,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1429465441,0.2431400192,0.1415357791,0.2327552110,0.2396224467,0.7983175425,0.8183169652,0.8005680972,0.7711985384,0.7701634534,0.7701634534,1.0000000000,0.1415357791,0.2431400192,0.2310353537,0.1057216408,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1792884736,0.2017418305,0.1799401257,0.2181145015,0.2209150687,0.8076673157,0.8199525842,0.8098147717,0.7654286144,0.7638295905,0.7638295905,1.0000000000,0.1792884736,0.2209150687,0.0815428015,0.0399996890,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1416175899,0.3094466041,0.1458995605,0.1985869319,0.2044493136,0.8112718266,0.8397120156,0.8150545369,0.7593261365,0.7572766905,0.7572766905,1.0000000000,0.1416175899,0.3094466041,0.2277918354,0.1354094371,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1901489522,0.2174187363,0.1917506555,0.1998826504,0.2007990055,0.8158898312,0.8292981532,0.8183144147,0.7588955782,0.7566133259,0.7566133259,1.0000000000,0.1901489522,0.2174187363,0.0364354836,0.0216600873,True
balanced,C2,CAGrad-inspired,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1551449185,0.3851341672,0.1667041566,0.1452260682,0.1477906895,0.8332040937,0.8701672830,0.8388353070,0.7405066755,0.7367329415,0.7367329415,1.0000000000,0.1452260682,0.3851341672,0.3702683345,0.2076565605,True
balanced,C2,CAGrad-inspired,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1991181602,0.2301588771,0.2014436101,0.1849014468,0.1843779058,0.8226310652,0.8369386466,0.8252737986,0.7535314505,0.7507181663,0.7507181663,1.0000000000,0.1843779058,0.2301588771,0.0632049743,0.0372080052,True
balanced,P1,PCGrad-inspired,beta_0p5,"{""beta"": 0.5}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,P1,PCGrad-inspired,beta_1,"{""beta"": 1.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,P1,PCGrad-inspired,beta_2,"{""beta"": 2.0}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
balanced,P2,PCGrad-inspired,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.8169080360,0.8273677340,0.8188973300,0.7587740300,0.7564427020,0.7564427020,1.0000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,True
