preference_name,method,hyperparameter_name,hyperparameter_value,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,score_helpfulness,score_correctness,score_coherence,score_complexity,score_verbosity,min_relationship_score,l1_distance_to_p,l2_distance_to_p
balanced,direct_preference,,,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.9056869140,0.9083955280,0.8930790060,0.8849160060,0.8777344340,0.8777344340,0.0000000000,0.0000000000
balanced,M1,tau,0.5000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2011724183,0.2014450521,0.1999082255,0.1990939629,0.1983803411,0.9059852528,0.9087382553,0.8933438851,0.8846927203,0.8773975940,0.8773975940,0.0052349408,0.0026297074
balanced,M1,tau,1.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2023447130,0.2028935297,0.1998095844,0.1981851778,0.1967669952,0.9062834116,0.9090807548,0.8936078979,0.8844696291,0.8770617157,0.8770617157,0.0104764853,0.0052585503
balanced,M1,tau,2.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2046886138,0.2058004675,0.1995917542,0.1963596744,0.1935594900,0.9068791206,0.9097649987,0.8941332700,0.8840240882,0.8763929078,0.8763929078,0.0209781627,0.0105131977
balanced,C1,rho,0.1000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1362266768,0.0593402865,0.3053072970,0.2314028259,0.2677229138,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.4088660735,0.2012817654
balanced,C1,rho,1.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1318866566,0.1703298828,0.2262215121,0.2062654672,0.2652964814,0.8937910091,0.8992498279,0.8883131814,0.8883131814,0.8883131814,0.8883131814,0.1955669213,0.1025192551
balanced,C1,rho,10.0000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1931886323,0.1970326596,0.1847348823,0.1884301624,0.2366136634,0.9031818983,0.9052847561,0.8892734581,0.8858292592,0.8832490021,0.8832490021,0.0732273268,0.0419838677
quality_focused,direct_preference,,,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.9344381235,0.9440487620,0.9329287015,0.8503807765,0.8396084185,0.8396084185,0.0000000000,0.0000000000
quality_focused,M1,tau,0.5000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.3009493643,0.3023990023,0.3007223202,0.0480938294,0.0478354838,0.9348206929,0.9446031558,0.9334440658,0.8499412233,0.8390830818,0.8390830818,0.0081413734,0.0039366060
quality_focused,M1,tau,1.0000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.3018442920,0.3047591929,0.3013890252,0.0462515270,0.0457559629,0.9351886551,0.9451403659,0.9339394563,0.8495179872,0.8385776608,0.8385776608,0.0159850202,0.0077487820
quality_focused,M1,tau,2.0000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.3034770099,0.3093666474,0.3025622416,0.0427526719,0.0418414292,0.9358823781,0.9461650943,0.9348725346,0.8487187656,0.8376242694,0.8376242694,0.0308117977,0.0150158185
quality_focused,C1,rho,0.1000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.1362266768,0.0593402865,0.3053072970,0.2314028259,0.2677229138,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.8088660735,0.4062969591
quality_focused,C1,rho,1.0000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.2318865759,0.2703298621,0.1473463662,0.1257704248,0.2246667711,0.9126722733,0.9166158678,0.8947897999,0.8771336407,0.8771336407,0.8771336407,0.5008743918,0.2550931707
quality_focused,C1,rho,10.0000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.2931885407,0.2970329974,0.2847347253,0.0384298806,0.0866138559,0.9319331093,0.9409380163,0.9291231582,0.8512940026,0.8451229982,0.8451229982,0.0732277119,0.0419841613
detailed_answer,direct_preference,,,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.9173991970,0.9212173545,0.9036728345,0.8746896220,0.8656908805,0.8656908805,0.0000000000,0.0000000000
detailed_answer,M1,tau,0.5000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2519876508,0.2524691745,0.2002113080,0.1479981347,0.1473337320,0.9179214413,0.9218330326,0.9041928760,0.8742322382,0.8650909667,0.8650909667,0.0093362666,0.0046052882
detailed_answer,M1,tau,1.0000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2539620200,0.2549335405,0.2003998888,0.1460062647,0.1446982860,0.9184398836,0.9224442105,0.9047069156,0.8737789038,0.8644973292,0.8644973292,0.0185908987,0.0091790756
detailed_answer,M1,tau,2.0000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2578695849,0.2598462961,0.2007093207,0.1420542744,0.1395205239,0.9194650665,0.9236527442,0.9057167643,0.8728846663,0.8633291174,0.8633291174,0.0368504034,0.0182301131
detailed_answer,C1,rho,0.1000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.1362266768,0.0593402865,0.3053072970,0.2314028259,0.2677229138,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.8897083914,0.6088660735,0.2843769097
detailed_answer,C1,rho,1.0000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.1818867444,0.2203301924,0.1598051049,0.1794432533,0.2585347050,0.9017935249,0.9052312177,0.8865167690,0.8865167690,0.8865167690,0.8865167690,0.2759559165,0.1406486047
detailed_answer,C1,rho,10.0000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2431885480,0.2470329898,0.1847347271,0.1384298789,0.1866138562,0.9148941834,0.9181066084,0.8998672912,0.8756028479,0.8712054602,0.8712054602,0.0732277124,0.0419841608
