preference_name,method,hyperparameter_name,hyperparameter_value,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,mean_helpfulness_proxy,mean_correctness_proxy,mean_coherence_proxy,mean_complexity_proxy,mean_verbosity_proxy,mean_length,num_responses,utility_for_preference,l1_distance_to_p,l2_distance_to_p,min_relationship_score,best_fixed_sweep_utility,gap_to_best_fixed_sweep
balanced,uniform,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.56104175,0.42375,0.21817575,0.5630835,0.39791675,47.75,4,0.43279355,0.0,0.0,0.8777344340000002,0.67724,-0.24444644999999993
quality_focused,uniform,,,0.3,0.3,0.3,0.05,0.05,0.2,0.2,0.2,0.2,0.2,0.56104175,0.42375,0.21817575,0.5630835,0.39791675,47.75,4,0.4089402625,0.6,0.27386127875258304,0.8777344340000002,0.708893,-0.2999527375
detailed_answer,uniform,,,0.25,0.25,0.2,0.15,0.15,0.2,0.2,0.2,0.2,0.2,0.56104175,0.42375,0.21817575,0.5630835,0.39791675,47.75,4,0.433983125,0.2,0.1,0.8777344340000002,0.685013,-0.25102987499999996
helpfulness_focused,uniform,,,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.2,0.2,0.2,0.2,0.2,0.56104175,0.42375,0.21817575,0.5630835,0.39791675,47.75,4,0.49691765000000004,0.8,0.44721359549995804,0.8777344340000002,0.777881,-0.28096335
balanced,direct_preference,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.56104175,0.42375,0.21817575,0.5630835,0.39791675,47.75,4,0.43279355,0.0,0.0,0.877734434,0.67724,-0.24444644999999993
balanced,M1,tau,0.5,0.2,0.2,0.2,0.2,0.2,0.20117241832011723,0.2014450521201445,0.19990822551999082,0.1990939629199094,0.19838034111983804,0.56104175,0.42375,0.21817575,0.5630835,0.39791675,47.75,4,0.43279355,0.0052349408,0.0026297074,0.877397594,0.67724,-0.24444644999999993
balanced,M1,tau,1.0,0.2,0.2,0.2,0.2,0.2,0.20234471297976553,0.20289352967971064,0.19980958438001903,0.1981851777801815,0.19676699518032328,0.56104175,0.42375,0.21817575,0.5630835,0.39791675,47.75,4,0.43279355,0.0104764853,0.0052585503,0.8770617157,0.67724,-0.24444644999999993
balanced,M1,tau,2.0,0.2,0.2,0.2,0.2,0.2,0.20468861382046888,0.20580046752058004,0.19959175421995917,0.19635967441963595,0.19355949001935596,0.51604175,0.41375,0.29567575,0.6498889999999999,0.38125,45.75,4,0.4513213,0.0209781627,0.0105131977,0.8763929078,0.67724,-0.22591869999999997
balanced,C1,rho,0.1,0.2,0.2,0.2,0.2,0.2,0.1362266768,0.0593402865,0.305307297,0.2314028259,0.2677229138,0.7375,0.48333349999999997,0.3531915,0.685116,0.60416675,72.5,4,0.57266155,0.4088660735,0.2012817654,0.8897083914,0.67724,-0.10457844999999999
balanced,C1,rho,1.0,0.2,0.2,0.2,0.2,0.2,0.1318866437,0.1703298662,0.2262215319,0.206265475,0.2652964832,0.64541675,0.4758335,0.2573255,0.54681525,0.45208349999999997,54.25,4,0.47549490000000005,0.1955669802,0.1025192752,0.8883131819,0.67724,-0.2017450999999999
