p_name,p,method,params,status,lambda,dist_l2,dist_R,U_p(p),U_p(lambda),Delta U_p,note
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.5,OK,"[0.2073, 0.1943, 0.1989, 0.2047, 0.1949]",0.01164940226640742,0.01050613742061887,0.56482421875,0.56513671875,0.00031250000000004885,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Cert,,FLOOR_COLLAPSED,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0,0.56482421875,0.56482421875,0.0,"certificate: lambda = p, Delta = 0 by construction"
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.5,OK,"[0.2039, 0.1982, 0.198, 0.2019, 0.198]",0.005520826409600632,0.004952120782181159,0.56482421875,0.564560546875,-0.00026367187499998224,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.05",OK,"[0.2023, 0.1983, 0.1996, 0.2014, 0.1984]",0.0036105864035695045,0.003253812483465964,0.56482421875,0.564560546875,-0.00026367187499998224,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.8073, 0.0443, 0.0489, 0.0547, 0.0449]",0.3436708199015821,0.3068681136683272,0.5589920043945312,0.55465087890625,-0.00434112548828125,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.5, 0.125, 0.125, 0.125, 0.125]",0.0,0.0,0.5589920043945312,0.5589920043945312,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.623, 0.0962, 0.0941, 0.0934, 0.0932]",0.13753910621391832,0.12274506913379532,0.5589920043945312,0.558453369140625,-0.0005386352539061834,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.5023, 0.1233, 0.1246, 0.1264, 0.1234]",0.0036105866542407838,0.0032538127050910147,0.5589920043945312,0.5595016479492189,0.0005096435546876332,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.0573, 0.7943, 0.0489, 0.0547, 0.0449]",0.3291348380466813,0.29859537118267304,0.5620620727539062,0.5691452026367188,0.007083129882812567,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.125, 0.5, 0.125, 0.125, 0.125]",0.0,0.0,0.5620620727539062,0.5620620727539062,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.0957, 0.6213, 0.0925, 0.096, 0.0945]",0.13567630131284633,0.12308319970815501,0.5620620727539062,0.5634689331054688,0.0014068603515625666,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.1273, 0.4983, 0.1246, 0.1264, 0.1234]",0.0036105868409056015,0.0032538128764082117,0.5620620727539062,0.5620620727539062,0.0,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.0573, 0.0443, 0.7989, 0.0547, 0.0449]",0.33440231546899346,0.3017447118254008,0.5940582275390626,0.6041152954101562,0.010057067871093617,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.125, 0.125, 0.5, 0.125, 0.125]",0.0,0.0,0.5940582275390626,0.5940582275390626,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.0935, 0.0925, 0.6228, 0.0932, 0.0979]",0.13740548759795013,0.12381948818889642,0.5940582275390626,0.595556640625,0.0014984130859374556,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.1273, 0.1233, 0.4996, 0.1264, 0.1234]",0.00361058640356939,0.003253812483465866,0.5940582275390626,0.5940582275390626,0.0,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Avg,rho=0.5,OK,"[0.0573, 0.0443, 0.0489, 0.8047, 0.0449]",0.3407914591009571,0.30531075813102704,0.5288772583007812,0.5246856689453125,-0.004191589355468706,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.125, 0.125, 0.125, 0.5, 0.125]",0.0,0.0,0.5288772583007812,0.5288772583007812,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",MaxMin,c=0.5,OK,"[0.0932, 0.0964, 0.0936, 0.6229, 0.0938]",0.1374587025228044,0.12306147248226489,0.5288772583007812,0.5296157836914063,0.0007385253906250222,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.1273, 0.1233, 0.1246, 0.5014, 0.1234]",0.00361058681835406,0.0032538128572331573,0.5288772583007812,0.5288772583007812,0.0,
