p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
balanced,Avg,rho=0.5,Avg(rho=0.5),0.56482421875,0.56513671875,0.0003125,-0.0007910156250000002,0.0017285156250000002,False,0.7894,1.0,False,False,False,0.0066479492187500044,0.006960449218750053
balanced,MaxMin,c=0.5,MaxMin(c=0.5),0.56482421875,0.564560546875,-0.000263671875,-0.0007910156250000002,0.0,False,0.7306,1.0,False,False,False,0.0072241210937500355,0.006960449218750053
balanced,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.56482421875,0.564560546875,-0.000263671875,-0.0007910156250000002,0.0,False,0.7306,1.0,False,False,False,0.0072241210937500355,0.006960449218750053
dominant_helpfulness,Avg,rho=0.5,Avg(rho=0.5),0.5589920043945312,0.55465087890625,-0.00434112548828125,-0.01324321746826172,0.004345779418945312,False,0.3238,1.0,False,False,False,0.01322174072265625,0.008880615234375
dominant_helpfulness,MaxMin,c=0.5,MaxMin(c=0.5),0.5589920043945312,0.558453369140625,-0.00053863525390625,-0.006898612976074219,0.006038017272949217,False,0.877,1.0,False,False,False,0.009419250488281183,0.008880615234375
dominant_helpfulness,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5589920043945312,0.5595016479492189,0.0005096435546875,0.0,0.0015289306640625,False,0.7268,1.0,False,False,False,0.008370971679687367,0.008880615234375
dominant_correctness,Avg,rho=0.5,Avg(rho=0.5),0.5620620727539062,0.5691452026367188,0.0070831298828125,-0.0014374542236328125,0.01618659973144531,False,0.1096,1.0,False,False,False,0.0,0.007083129882812567
dominant_correctness,MaxMin,c=0.5,MaxMin(c=0.5),0.5620620727539062,0.5634689331054688,0.0014068603515625,-0.005838241577148438,0.0096954345703125,False,0.7528,1.0,False,False,False,0.00567626953125,0.007083129882812567
dominant_correctness,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5620620727539062,0.5620620727539062,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.007083129882812567,0.007083129882812567
dominant_coherence,Avg,rho=0.5,Avg(rho=0.5),0.5940582275390626,0.6041152954101562,0.01005706787109375,0.002075157165527344,0.018356361389160157,True,0.0108,0.19440000000000002,False,False,False,0.004974365234375,0.015031433105468617
dominant_coherence,MaxMin,c=0.5,MaxMin(c=0.5),0.5940582275390626,0.595556640625,0.0014984130859375,-0.0029053497314453125,0.0064790344238281235,False,0.5212,1.0,False,False,False,0.013533020019531161,0.015031433105468617
dominant_coherence,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5940582275390626,0.5940582275390626,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.015031433105468617,0.015031433105468617
dominant_complexity,Avg,rho=0.5,Avg(rho=0.5),0.5288772583007812,0.5246856689453125,-0.00419158935546875,-0.013858184814453126,0.005310096740722655,False,0.3842,1.0,False,False,False,0.020051574707031117,0.01585998535156241
dominant_complexity,MaxMin,c=0.5,MaxMin(c=0.5),0.5288772583007812,0.5296157836914063,0.000738525390625,-0.006518783569335937,0.00798042297363281,False,0.8496,1.0,False,False,False,0.015121459960937389,0.01585998535156241
dominant_complexity,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5288772583007812,0.5288772583007812,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.01585998535156241,0.01585998535156241
dominant_verbosity,Avg,rho=0.5,Avg(rho=0.5),0.5688934326171875,0.5623092651367188,-0.00658416748046875,-0.015640296936035157,0.0024139404296875,False,0.1532,1.0,False,False,False,0.00711822509765625,0.0005340576171875
dominant_verbosity,MaxMin,c=0.5,MaxMin(c=0.5),0.5688934326171875,0.5628494262695313,-0.00604400634765625,-0.01353626251220703,0.0010398864746093638,False,0.095,1.0,False,False,False,0.006578063964843728,0.0005340576171875
dominant_verbosity,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5688934326171875,0.569427490234375,0.0005340576171875,0.0,0.0016021728515625,False,0.725,1.0,False,False,False,0.0,0.0005340576171875
