p_name,argmax_agrees,argmax_identity,argmax_minmax,argmax_rank,rho_identity_vs_minmax,rho_identity_vs_rank,rho_minmax_vs_rank
balanced,True,17,17,17,0.994575936883629,0.9472386587771201,0.9556213017751477
dominant_helpfulness,True,17,17,17,0.9995069033530569,0.9906311637080867,0.9911242603550293
dominant_correctness,True,17,17,17,0.9950690335305719,0.989644970414201,0.9921104536489148
dominant_coherence,True,17,17,17,0.9965483234714002,0.993712250185806,0.9949451437964586
dominant_complexity,True,17,17,17,0.9975345167652859,0.9833559438563262,0.9836025225784566
dominant_verbosity,False,28,17,7,0.9911242603550293,0.9694280078895462,0.9585798816568046
only_helpfulness,True,17,17,17,0.9999999999999998,0.9999999999999998,0.9999999999999998
only_correctness,True,17,17,17,0.9999999999999998,0.9999999999999998,0.9999999999999998
only_coherence,True,17,17,17,1.0,1.0,1.0
only_complexity,True,15,15,15,1.0,1.0,1.0
only_verbosity,True,28,28,28,0.9999999999999998,0.9999999999999998,0.9999999999999998
