p_name,p,method,params,status,lambda,dist_l2,dist_R,U_p(p),U_p(lambda),Delta U_p,note
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.5,OK,"[0.2073, 0.1943, 0.1989, 0.2047, 0.1949]",0.01164940226640742,0.01050613742061887,0.56482421875,0.56513671875,0.00031250000000004885,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Cert,,FLOOR_COLLAPSED,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0,0.56482421875,0.56482421875,0.0,"certificate: lambda = p, Delta = 0 by construction"
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.0,OK_EXACT_D0,"[0.2059, 0.1952, 0.1992, 0.2038, 0.1959]",0.009477348365003718,0.008551324817840558,0.56482421875,0.56513671875,0.00031250000000004885,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.25,OK,"[0.2051, 0.1969, 0.1984, 0.203, 0.1967]",0.007622533133936885,0.006854552629208819,0.56482421875,0.564560546875,-0.00026367187499998224,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.5,OK,"[0.2039, 0.1982, 0.198, 0.2019, 0.198]",0.005520826409600632,0.004952120782181159,0.56482421875,0.564560546875,-0.00026367187499998224,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.75,OK,"[0.2024, 0.1991, 0.1991, 0.2003, 0.1991]",0.0028769241459779956,0.0025751966104394933,0.56482421875,0.564560546875,-0.00026367187499998224,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.9,OK,"[0.2013, 0.1997, 0.1997, 0.1997, 0.1997]",0.0015005814379251167,0.0013391752891903656,0.56482421875,0.56482421875,0.0,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=1.0,OK,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0,0.56482421875,0.56482421875,0.0,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.0,eps=0.02",OK,"[0.3042, 0.1756, 0.1738, 0.1732, 0.1731]",0.11653812337110382,0.10400300251814025,0.56482421875,0.5629150390625001,-0.001909179687499929,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.0,eps=0.05",OK,"[0.4605, 0.1391, 0.1346, 0.1331, 0.1326]",0.29134530842775946,0.2600075062953506,0.56482421875,0.5651196289062501,0.0002954101562501199,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.0,eps=0.1",OK,"[0.7211, 0.0782, 0.0692, 0.0662, 0.0653]",0.5826906168555189,0.5200150125907012,0.56482421875,0.5606201171875,-0.004204101562499951,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.02",OK,"[0.2009, 0.1993, 0.1998, 0.2006, 0.1994]",0.0014442341052821842,0.0013015245803886478,0.56482421875,0.56482421875,0.0,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.05",OK,"[0.2023, 0.1983, 0.1996, 0.2014, 0.1984]",0.0036105864035695045,0.003253812483465964,0.56482421875,0.564560546875,-0.00026367187499998224,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.1",OK,"[0.2046, 0.1966, 0.1992, 0.2028, 0.1968]",0.007221173717451525,0.006507625785085343,0.56482421875,0.56513671875,0.00031250000000004885,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.02",OK,"[0.2005, 0.1997, 0.1999, 0.2003, 0.1997]",0.0007207128889095259,0.000649538238400885,0.56482421875,0.56482421875,0.0,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.05",OK,"[0.2012, 0.1991, 0.1998, 0.2007, 0.1992]",0.0018017821999935075,0.001623845575664547,0.56482421875,0.56482421875,0.0,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.1",OK,"[0.2023, 0.1983, 0.1996, 0.2014, 0.1984]",0.0036035643941504402,0.003247691145695708,0.56482421875,0.564560546875,-0.00026367187499998224,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.8073, 0.0443, 0.0489, 0.0547, 0.0449]",0.3436708199015821,0.3068681136683272,0.5589920043945312,0.55465087890625,-0.00434112548828125,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.5, 0.125, 0.125, 0.125, 0.125]",0.0,0.0,0.5589920043945312,0.5589920043945312,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.0,OK_EXACT_D0,"[0.745, 0.0564, 0.0646, 0.0708, 0.0633]",0.27405358455062606,0.24479150636942268,0.5589920043945312,0.554766845703125,-0.004225158691406272,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.25,OK,"[0.685, 0.0817, 0.0786, 0.0775, 0.0772]",0.20690777576833258,0.1846522777420358,0.5589920043945312,0.55526123046875,-0.00373077392578125,
