p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
balanced,Avg,rho=0.5,Avg(rho=0.5),0.56482421875,0.56513671875,0.0003125,-0.0007910156250000002,0.0017285156250000002,False,0.7894,1.0,False,False,False,0.0066479492187500044,0.006960449218750053
balanced,MaxMin,c=0.0,MaxMin(c=0.0),0.56482421875,0.56513671875,0.0003125,-0.0007910156250000002,0.0017285156250000002,False,0.7894,1.0,False,False,False,0.0066479492187500044,0.006960449218750053
balanced,MaxMin,c=0.25,MaxMin(c=0.25),0.56482421875,0.564560546875,-0.000263671875,-0.0007910156250000002,0.0,False,0.7306,1.0,False,False,False,0.0072241210937500355,0.006960449218750053
balanced,MaxMin,c=0.5,MaxMin(c=0.5),0.56482421875,0.564560546875,-0.000263671875,-0.0007910156250000002,0.0,False,0.7306,1.0,False,False,False,0.0072241210937500355,0.006960449218750053
balanced,MaxMin,c=0.75,MaxMin(c=0.75),0.56482421875,0.564560546875,-0.000263671875,-0.0007910156250000002,0.0,False,0.7306,1.0,False,False,False,0.0072241210937500355,0.006960449218750053
balanced,MaxMin,c=0.9,MaxMin(c=0.9),0.56482421875,0.56482421875,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.006960449218750053,0.006960449218750053
balanced,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.56482421875,0.5629150390625001,-0.0019091796875000005,-0.007656250000000001,0.0037255859375,False,0.4878,1.0,False,False,False,0.008869628906249982,0.006960449218750053
balanced,Fair,"alpha=0.0,eps=0.05","Fair(alpha=0.0,eps=0.05)",0.56482421875,0.5651196289062501,0.0002954101562500002,-0.0060595703125,0.006838562011718748,False,0.9548,1.0,False,False,False,0.006665039062499933,0.006960449218750053
balanced,Fair,"alpha=0.0,eps=0.1","Fair(alpha=0.0,eps=0.1)",0.56482421875,0.5606201171875,-0.0042041015625000015,-0.013777099609375001,0.004726562499999999,False,0.367,1.0,False,False,False,0.011164550781250004,0.006960449218750053
balanced,Fair,"alpha=1.0,eps=0.02","Fair(alpha=1.0,eps=0.02)",0.56482421875,0.56482421875,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.006960449218750053,0.006960449218750053
