p_name,argmax_agrees,argmax_identity,argmax_minmax,argmax_rank,rho_identity_vs_minmax,rho_identity_vs_rank,rho_minmax_vs_rank
balanced,False,33,33,102,0.9959177572887181,0.9661698785130307,0.9745471279902489
dominant_helpfulness,True,33,33,33,0.9994301674933906,0.9915677502818082,0.9904887585075295
dominant_correctness,True,33,33,33,0.998883688778036,0.9931386240924411,0.9929821529601955
dominant_coherence,True,33,33,33,0.9955323676328137,0.9933137315567058,0.9927136171286046
dominant_complexity,False,33,33,102,0.9976179132920439,0.9870812931424372,0.9865114360148959
dominant_verbosity,False,92,92,102,0.9940763039319428,0.9667278950765917,0.9546711450236115
only_helpfulness,True,34,34,34,1.0,1.0,1.0
only_correctness,True,33,33,33,1.0,1.0,1.0
only_coherence,True,33,33,33,1.0,1.0,1.0
only_complexity,True,57,57,57,0.9999999999999998,0.9999999999999998,0.9999999999999998
only_verbosity,True,92,92,92,1.0,1.0,1.0
dirichlet_11,True,33,33,33,0.985618735345496,0.9756046296555783,0.9721109024839092
dirichlet_12,False,33,33,41,0.9966090295098505,0.9838298349354033,0.9901587123653652
dirichlet_13,True,33,33,33,0.9978514512045884,0.9918495268521892,0.9933208157012209
dirichlet_14,False,33,33,102,0.9948808489570196,0.9712187876579883,0.9637268914235535
dirichlet_15,True,33,33,33,0.9999532924174911,0.9837644443198907,0.9838858840344139
dirichlet_16,False,33,33,41,0.9998271819447168,0.9832600024287941,0.9834374912423283
dirichlet_17,True,33,33,33,0.9969359825874132,0.9955861334529047,0.9952545096170912
dirichlet_18,False,34,34,102,0.9934609384487477,0.9369447636129249,0.9349923866640509
dirichlet_19,True,33,33,33,0.9988883595362871,0.9967398107408756,0.9968799334884024
dirichlet_20,False,33,33,102,0.9989303963605451,0.9864921671384131,0.9843389475847508
dirichlet_21,True,33,33,33,0.9986127847994843,0.9944604807144392,0.994240955076647
dirichlet_22,False,92,33,102,0.9833440760773103,0.9786406225186596,0.974549038290876
dirichlet_23,True,33,33,33,0.9997010714719428,0.9973049724892338,0.9974217414455061
dirichlet_24,True,33,33,33,0.9989350671187959,0.9962260273332773,0.9956421825519155
dirichlet_25,True,33,33,33,0.9980616353258788,0.9973937168960008,0.9958336836402021
dirichlet_26,False,92,33,102,0.9800792160599352,0.9774215546151762,0.9729189436613138
dirichlet_27,False,92,33,102,0.9877532718661546,0.9608730581322571,0.9411717998299843
dirichlet_28,True,33,33,33,0.9985146988762155,0.9930405702061671,0.9934983045147548
dirichlet_29,True,33,33,33,0.9986875169314985,0.9911675961475586,0.9901867369148707
dirichlet_30,True,33,33,33,0.9993974721856345,0.9954086446393705,0.9945772496707114
dirichlet_31,True,33,33,33,0.9935169875477584,0.9718726938131137,0.9788741604312042
dirichlet_32,False,92,92,102,0.9983558930956851,0.970121159469028,0.9681594410036525
dirichlet_33,False,33,33,102,0.9882857383067567,0.9592196097114405,0.9527319265009481
dirichlet_34,True,33,33,33,0.9991312389653334,0.9930218871731635,0.9920410279404757
dirichlet_35,False,92,92,102,0.9825313641416548,0.9872114639090509,0.9663938943848144
dirichlet_36,False,33,33,41,0.9892385729899391,0.9597053685695336,0.9708124316901605
dirichlet_37,True,33,33,33,0.9977440237648179,0.993269437360461,0.993045240964418
dirichlet_38,False,33,33,102,0.9985941017664808,0.986809778699474,0.9855066371474743
dirichlet_39,False,33,33,102,0.9942316135601453,0.9824939980756475,0.9803921568627448
dirichlet_40,False,33,33,102,0.9997944866369607,0.9797569337406232,0.9809666601276051
dirichlet_41,True,33,33,33,0.9917000625881605,0.9869779259965062,0.99070519108072
dirichlet_42,False,92,33,102,0.9884305318125345,0.9839886407159337,0.9779353380227745
dirichlet_43,False,33,33,102,0.9976272548085455,0.9611206083195545,0.9583928855010322
dirichlet_44,True,33,33,33,0.9994768750758998,0.964376126820428,0.9616343917271528
dirichlet_45,True,33,33,33,0.9951330699025679,0.9878980653719324,0.9890844379676597
dirichlet_46,False,33,33,102,0.995081691561808,0.9796261525095984,0.9770245401638501
dirichlet_47,False,92,92,102,0.9951003745948117,0.9737830339377294,0.9610692299787946
dirichlet_48,True,33,33,33,0.9994535212846454,0.9951143868695643,0.9941662229446329
dirichlet_49,True,33,33,33,0.999117226690581,0.9947453969677437,0.9944698222309408
dirichlet_50,True,33,33,33,0.9977346822483161,0.9912890358620818,0.993671122570038
dirichlet_51,False,33,33,102,0.9962633933992843,0.9835962970228587,0.9796822016086091
dirichlet_52,False,33,33,34,0.9988463227120289,0.9954833767713851,0.9954880475296358
dirichlet_53,False,33,33,41,0.9982811609636707,0.9615783426281421,0.9626759708171022
dirichlet_54,False,33,33,102,0.9913964633018524,0.9851796840699119,0.9820222514923072
dirichlet_55,False,33,33,41,0.9917701239619239,0.9613027678913394,0.9765060859980008
dirichlet_56,False,33,33,102,0.9959364403217217,0.9587431923698492,0.9523582658408766
dirichlet_57,True,92,92,92,0.9947967753085035,0.9886313744173227,0.9806770731160496
dirichlet_58,True,33,33,33,0.9991078851740791,0.9938205868340664,0.993045240964418
dirichlet_59,False,92,33,102,0.9884772393950434,0.9777251539014842,0.9699670244467488
dirichlet_60,False,34,34,102,0.9970620930601873,0.9431802258778689,0.9369634466459283
dirichlet_61,False,33,33,102,0.9979542078861082,0.980919952545096,0.9786873301011686
dirichlet_62,True,33,33,33,0.9852357331689225,0.9777018001102298,0.9915599398406335
dirichlet_63,True,33,33,33,0.9997944866369607,0.9680239890143765,0.9668796532429075
dirichlet_64,False,33,33,102,0.9986921876897494,0.9933768648002315,0.9928117030518733
dirichlet_65,False,92,33,102,0.9962120150585246,0.9740772917075357,0.9707797363824043
dirichlet_66,False,33,33,102,0.9959177572887181,0.949326943736046,0.9453567992227857
dirichlet_67,False,92,92,102,0.9986454801072405,0.9891871946491793,0.989640258199516
dirichlet_68,True,33,33,33,0.9977113284570616,0.9960438677614921,0.9944091023736793
dirichlet_69,True,33,33,33,0.9982951732384235,0.9919522835337087,0.9923492979850348
dirichlet_70,False,33,33,102,0.9906724957729638,0.9804014983792467,0.975791459985614
dirichlet_71,False,33,33,102,0.9930125456566619,0.9494203589010639,0.9594858429317416
dirichlet_72,True,33,33,33,0.9994815458341506,0.9954086446393705,0.9946613233192276
dirichlet_73,False,33,33,102,0.9965623219273416,0.9736335696737006,0.9702612822165548
dirichlet_74,True,33,33,33,0.9988883595362871,0.9868331324907283,0.9851890255864135
