p_name,phase_b,floor_lp_collapsed,lambda_equals_p,lambda_minus_p_l2,t_star_lp,t_star_cert
balanced,True,True,True,0.0,-0.0,0.0
dominant_helpfulness,True,True,True,0.0,-0.0,0.0
dominant_correctness,True,True,True,0.0,-0.0,0.0
dominant_coherence,True,True,True,0.0,-0.0,0.0
dominant_complexity,True,True,True,0.0,-0.0,0.0
dominant_verbosity,True,True,True,0.0,-0.0,0.0
only_helpfulness,True,True,True,0.0,-0.0,0.0
only_correctness,True,True,True,0.0,-0.0,0.0
only_coherence,True,True,True,0.0,-0.0,0.0
only_complexity,True,True,True,0.0,-0.0,0.0
only_verbosity,True,True,True,0.0,-0.0,0.0
dirichlet_11,False,True,True,0.0,-0.0,0.0
dirichlet_12,False,True,True,0.0,-0.0,0.0
dirichlet_13,False,True,True,1.0031442548020353e-16,-0.0,1.0675954996397109e-17
dirichlet_14,False,True,True,9.205483015737869e-17,-0.0,3.270929701611348e-17
dirichlet_15,False,True,True,1.2813490069415586e-16,-0.0,0.0
dirichlet_16,False,True,True,0.0,-0.0,0.0
dirichlet_17,False,True,True,8.328486549353166e-17,-0.0,9.446882434479815e-19
dirichlet_18,False,True,True,0.0,-0.0,0.0
dirichlet_19,False,True,True,1.3619512758127423e-16,-0.0,0.0
dirichlet_20,False,True,True,6.947562107041945e-17,-0.0,8.307530011120366e-18
dirichlet_21,False,True,True,1.1616172636829685e-16,-0.0,5.218301527652541e-18
dirichlet_22,False,True,True,0.0,-0.0,0.0
dirichlet_23,False,True,True,1.27993912314e-16,-0.0,0.0
dirichlet_24,False,True,True,9.640209695879514e-17,-0.0,2.1772650762091054e-18
dirichlet_25,False,True,True,1.2794982158516685e-16,-0.0,5.102661683520845e-18
dirichlet_26,False,True,True,0.0,-0.0,0.0
dirichlet_27,False,True,True,0.0,-0.0,0.0
dirichlet_28,False,True,True,6.941061969544858e-17,-0.0,4.449675573431069e-18
dirichlet_29,False,True,True,7.473417450352271e-17,-0.0,1.8966716410569256e-17
dirichlet_30,False,True,True,2.3520701021126763e-16,-0.0,2.852676759931842e-17
dirichlet_31,False,True,True,0.0,-0.0,0.0
dirichlet_32,False,True,True,0.0,-0.0,0.0
dirichlet_33,False,True,True,0.0,-0.0,0.0
dirichlet_34,False,True,True,0.0,-0.0,0.0
dirichlet_35,False,True,True,0.0,-0.0,0.0
dirichlet_36,False,True,True,1.3602931225955671e-16,-0.0,7.7908185951007e-18
dirichlet_37,False,True,True,0.0,-0.0,0.0
dirichlet_38,False,True,True,0.0,-0.0,0.0
dirichlet_39,False,True,True,1.0103182026100663e-16,-0.0,0.0
dirichlet_40,False,True,True,1.2794982158516685e-16,-0.0,7.33749541183833e-18
dirichlet_41,False,True,True,1.2794982158516685e-16,-0.0,0.0
dirichlet_42,False,True,True,0.0,-0.0,0.0
dirichlet_43,False,True,True,0.0,-0.0,0.0
dirichlet_44,False,True,True,0.0,-0.0,0.0
dirichlet_45,False,True,True,7.376145397762941e-17,-0.0,1.2370877193881078e-17
dirichlet_46,False,True,True,0.0,-0.0,0.0
dirichlet_47,False,True,True,0.0,-0.0,0.0
dirichlet_48,False,True,True,0.0,-0.0,0.0
dirichlet_49,False,True,True,1.2869730969111293e-16,-0.0,0.0
dirichlet_50,False,True,True,1.138063217752167e-16,-0.0,0.0
dirichlet_51,False,True,True,1.3092278833360675e-16,-0.0,0.0
dirichlet_52,False,True,True,0.0,-0.0,0.0
dirichlet_53,False,True,True,1.2586013583571652e-16,-0.0,1.573274781352307e-17
dirichlet_54,False,True,True,9.739201700399851e-17,-0.0,1.2129759324582532e-17
dirichlet_55,False,True,True,8.554842949272357e-17,-0.0,1.7613967754846928e-17
dirichlet_56,False,True,True,9.739201700399851e-17,-0.0,1.190185002012476e-17
dirichlet_57,False,True,True,1.1553831367574147e-16,-0.0,5.932015059581317e-18
dirichlet_58,False,True,True,1.1693631858900543e-16,-0.0,1.5585035866745473e-17
dirichlet_59,False,True,True,1.2813490069415586e-16,-0.0,1.2845261079877559e-17
dirichlet_60,False,True,True,0.0,-0.0,0.0
dirichlet_61,False,True,True,7.376145397762941e-17,-0.0,1.0600833861099497e-17
dirichlet_62,False,True,True,0.0,-0.0,0.0
dirichlet_63,False,True,True,0.0,-0.0,0.0
dirichlet_64,False,True,True,0.0,-0.0,0.0
dirichlet_65,False,True,True,0.0,-0.0,0.0
dirichlet_66,False,True,True,0.0,-0.0,0.0
dirichlet_67,False,True,True,0.0,-0.0,0.0
dirichlet_68,False,True,True,0.0,-0.0,0.0
dirichlet_69,False,True,True,0.0,-0.0,0.0
dirichlet_70,False,True,True,0.0,-0.0,0.0
dirichlet_71,False,True,True,0.0,-0.0,0.0
dirichlet_72,False,True,True,1.2118257228641695e-16,-0.0,0.0
dirichlet_73,False,True,True,0.0,-0.0,0.0
dirichlet_74,False,True,True,1.3311106448512297e-16,-0.0,3.047558240603184e-17
