evaluator,evaluator_role,p_name,p,method,params,status,lambda,dist_l2,dist_R,proxy_delta_p,proxy_min_delta,U_p(p),U_p(lambda),Delta U_p,U_p(p)_0_4,U_p(lambda)_0_4,Delta U_p_percent,note
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.0,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.8944271909999142,0.8750365403992634,0.005267308930060976,-0.2071034550543905,0.5641748046875,0.5684912109375,0.00431640624999996,2.3208740234375003,2.3424560546875,0.9299096388710605,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.1,OK,"[0.225551, 0.223826, 0.20806, 0.189974, 0.152589]",0.06028135833696468,0.06127367913823707,0.0007508927476634226,-0.04758910807787511,0.5641748046875,0.56466796875,0.0004931640624999956,2.3208740234375003,2.3233398437500004,0.1062453320429648,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.2,OK,"[0.212776, 0.211913, 0.20403, 0.194987, 0.176294]",0.03014074812226531,0.030636909769494864,0.00037544723441798106,-0.023794649145011823,0.5641748046875,0.56966552734375,0.005490722656249947,2.3208740234375003,2.34832763671875,1.1828997612109748,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.5,OK,"[0.20511, 0.204765, 0.201612, 0.197995, 0.190518]",0.012056057386280848,0.012254525841706774,0.00015017597644101247,-0.009517660545028075,0.5641748046875,0.56636962890625,0.0021948242187499467,2.3208740234375003,2.33184814453125,0.472844324290196,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.0,OK_EXACT_D0,"[0.205267, 0.204942, 0.201922, 0.197537, 0.190332]",0.012465936964217817,0.012689719502770268,0.00015539958439585202,-0.00972485604169014,0.5641748046875,0.56666748046875,0.002492675781250009,2.3208740234375003,2.33333740234375,0.5370122971082257,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.1,OK,"[0.204987, 0.204661, 0.201636, 0.197246, 0.19147]",0.011384416110295616,0.01160293908493326,0.0001416921273393655,-0.00860673854863451,0.5641748046875,0.5668994140625,0.0027246093749999645,2.3208740234375003,2.3344970703125,0.5869791611878361,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.25,OK,"[0.204566, 0.204239, 0.201208, 0.19681, 0.193178]",0.009848295486034298,0.010053139029093827,0.00012113094202258545,-0.006929562309036583,0.5641748046875,0.5649609375,0.0007861328124999512,2.3208740234375003,2.3248046875,0.16936137088034822,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.5,OK,"[0.203864, 0.203536, 0.200493, 0.196082, 0.196024]",0.007670170329285968,0.007825014436419074,8.686229995122974e-05,-0.0041342685756023505,0.5641748046875,0.565263671875,0.0010888671875000089,2.3208740234375003,2.326318359375,0.2345812776790052,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.75,OK,"[0.202413, 0.202083, 0.199017, 0.198226, 0.198261]",0.004159513879736523,0.004185994310113574,4.229816597732788e-05,-0.0018071608931484386,0.5641748046875,0.56564453125,0.0014697265624999956,2.3208740234375003,2.3282226562500004,0.31663212816763997,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.9,OK,"[0.201166, 0.200833, 0.199259, 0.199365, 0.199376]",0.001842317708848357,0.0018348646768139819,1.6430136739807442e-05,-0.0006469194567941142,0.5641748046875,0.5645556640625,0.0003808593749999867,2.3208740234375003,2.3227783203125,0.08205085048861567,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.95,OK,"[0.200652, 0.200318, 0.19964, 0.199692, 0.199697]",0.0009175896363360688,0.0009124378710351011,8.000722798384531e-06,-0.0003138983246930921,0.5641748046875,0.5641259765625001,-4.882812499995559e-05,2.3208740234375003,2.3206298828125003,-0.01051933980623376,
