evaluator,p_name,argmax_agrees,argmax_identity,argmax_minmax,argmax_rank,rho_identity_vs_minmax,rho_identity_vs_rank,rho_minmax_vs_rank
armorm,balanced,True,113,113,113,0.9834580179106901,0.9356147581470714,0.9334596839529744
armorm,dominant_helpfulness,True,113,113,113,0.995804367474921,0.966159762474743,0.9714037204561295
armorm,dominant_correctness,True,113,113,113,0.9927957798815671,0.9503095414962958,0.9658191313145679
armorm,dominant_coherence,True,113,113,113,0.9876453738058154,0.9417222902849229,0.9711662619468338
armorm,dominant_complexity,False,13,13,118,0.9889265540706529,0.9249533540726872,0.894453116833084
armorm,dominant_verbosity,False,107,118,118,0.9731353067043317,0.9626323531398522,0.9391776535608637
armorm,only_helpfulness,True,64,64,64,1.0,1.0,1.0
armorm,only_correctness,True,40,40,40,1.0,1.0,1.0
armorm,only_coherence,True,66,66,66,0.9999999999999999,0.9999999999999999,0.9999999999999999
armorm,only_complexity,True,86,86,86,1.0,1.0,1.0
armorm,only_verbosity,True,107,107,107,0.9999999999999999,0.9999999999999999,0.9999999999999999
urm,balanced,False,63,114,114,0.9698746460599819,0.9513530942987231,0.9928686209941786
urm,dominant_helpfulness,True,63,63,63,0.9937261360292586,0.9847616396337793,0.9944438277555416
urm,dominant_correctness,True,14,14,14,0.9905639488341198,0.9800665798201875,0.994920175870508
urm,dominant_coherence,False,40,40,114,0.9910279398972995,0.9765651452949686,0.992562904034778
urm,dominant_complexity,False,114,186,186,0.9161327343345753,0.8652721911974148,0.9792379241914198
urm,dominant_verbosity,True,114,114,114,0.9158425930874731,0.884328953425745,0.9815718183312904
urm,only_helpfulness,True,159,159,159,1.0,1.0,1.0
urm,only_correctness,True,40,40,40,1.0,1.0,1.0
urm,only_coherence,True,158,158,158,1.0,1.0,1.0
urm,only_complexity,True,134,134,134,1.0,1.0,1.0
urm,only_verbosity,True,111,111,111,1.0,1.0,1.0
