evaluator,p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
armorm,balanced,Avg,rho=0.0,0.005267308930060976,-0.2071034550543905,0.004316406249999982
armorm,balanced,Avg,rho=0.1,0.0007508927476634226,-0.04758910807787511,0.0004931640624999956
armorm,balanced,Avg,rho=0.2,0.00037544723441798106,-0.023794649145011823,0.005490722656249992
armorm,balanced,Avg,rho=0.5,0.00015017597644101247,-0.009517660545028075,0.0021948242187499914
armorm,balanced,MaxMin,c=0.0,0.00015539958439585202,-0.00972485604169014,0.0024926757812499868
armorm,balanced,MaxMin,c=0.1,0.0001416921273393655,-0.00860673854863451,0.002724609374999987
armorm,balanced,MaxMin,c=0.25,0.00012113094202258545,-0.006929562309036583,0.0007861328124999733
armorm,balanced,MaxMin,c=0.5,8.686229995122974e-05,-0.0041342685756023505,0.0010888671875000089
armorm,balanced,MaxMin,c=0.75,4.229816597732788e-05,-0.0018071608931484386,0.001469726562500018
armorm,balanced,MaxMin,c=0.9,1.6430136739807442e-05,-0.0006469194567941142,0.00038085937499998673
armorm,balanced,MaxMin,c=0.95,8.000722798384531e-06,-0.0003138983246930921,-4.882812499999997e-05
armorm,balanced,Fair,"alpha=0.0,eps=0.01",0.0002622284169485681,-0.01000000000000001,0.0022265624999999734
armorm,balanced,Fair,"alpha=0.0,eps=0.02",0.0005244568338971422,-0.020000000000000018,0.011013183593749988
armorm,balanced,Fair,"alpha=0.0,eps=0.05",0.0013111420847428629,-0.05000000000000002,0.007849121093749977
armorm,balanced,Fair,"alpha=0.0,eps=0.1",0.0026222841694856897,-0.10000000000000005,0.005725097656250001
armorm,balanced,Fair,"alpha=0.5,eps=0.01",1.4108634385489824e-05,-0.0008913129357855758,-0.00034667968749997337
armorm,balanced,Fair,"alpha=0.5,eps=0.02",2.8217276864856207e-05,-0.0017826262552892976,0.0008544921874999779
armorm,balanced,Fair,"alpha=0.5,eps=0.05",7.054318771016254e-05,-0.004456565340760537,0.00047851562499998676
