p_name,p,method,params,status,lambda,dist_l2,dist_R,proxy_delta_p,proxy_min_delta,U_p(p),U_p(lambda),Delta U_p,note
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.0,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.8944271909999151,0.8749655636136114,0.006815265885783763,-0.2030005065827833,0.57245361328125,0.5520751953125,-0.02037841796874995,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.1,OK,"[0.23371, 0.224072, 0.206405, 0.187068, 0.148746]",0.0674610206165966,0.0684228222661096,0.0009363364617943769,-0.051424901487614486,0.57245361328125,0.5692370605468751,-0.0032165527343749334,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.2,OK,"[0.216855, 0.212036, 0.203202, 0.193534, 0.174373]",0.03373050481954954,0.03421140881174374,0.0004681681991330684,-0.02571243101050521,0.57245361328125,0.5710791015625,-0.0013745117187500266,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Avg,rho=0.5,OK,"[0.206741, 0.204815, 0.201281, 0.197414, 0.189749]",0.01349200466354888,0.013684369961351401,0.00018726463073600978,-0.010284863989910808,0.57245361328125,0.57095947265625,-0.0014941406249999734,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Cert,,FLOOR_COLLAPSED,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0,0.0,0.0,0.57245361328125,0.57245361328125,0.0,same merge point as baseline
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.0,OK_EXACT_D0,"[0.206815, 0.205032, 0.2016, 0.197025, 0.189528]",0.013887038119564207,0.014099500531856322,0.0001928498277341926,-0.010520384337970885,0.57245361328125,0.5703710937500001,-0.002082519531249938,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.1,OK,"[0.206507, 0.20472, 0.201283, 0.196701, 0.190789]",0.01272739430885892,0.012929808589428977,0.00017642383726147571,-0.009275643137781722,0.57245361328125,0.5714916992187501,-0.0009619140624999023,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.25,OK,"[0.206044, 0.204253, 0.200807, 0.196216, 0.192681]",0.011097268587541597,0.011278778735297075,0.00015178485174728405,-0.007408531346116255,0.57245361328125,0.5731860351562501,0.000732421875000111,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.5,OK,"[0.205173, 0.203374, 0.199912, 0.195726, 0.195814]",0.008598842220063182,0.00871513599636663,0.0001086432753363665,-0.004304926239766943,0.57245361328125,0.57320068359375,0.0007470703124999867,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.75,OK,"[0.203583, 0.201768, 0.198276, 0.198174, 0.198199]",0.00505106847990168,0.005037012131430914,5.4852960547235084e-05,-0.0018416473971042244,0.57245361328125,0.57133544921875,-0.0011181640624999822,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=0.9,OK,"[0.201926, 0.200094, 0.19926, 0.199358, 0.199363]",0.002254456979734428,0.002223685162233356,2.099375245053606e-05,-0.0006487097121697889,0.57245361328125,0.5722290039062501,-0.00022460937499990674,
