p_name,argmax_agrees,argmax_identity,argmax_minmax,argmax_rank,rho_identity_vs_minmax,rho_identity_vs_rank,rho_minmax_vs_rank
balanced,True,112,112,112,0.9954157713690243,0.9700160940410454,0.974494083733401
dominant_helpfulness,True,112,112,112,0.9980012551786522,0.986560958163748,0.9865515353085803
dominant_correctness,True,112,112,112,0.9981709106917914,0.9804730048683685,0.9793417869074245
dominant_coherence,True,112,112,112,0.9952558032712334,0.964670184816913,0.9764714520721032
dominant_complexity,False,109,109,112,0.9920441557781612,0.969442732889718,0.9784321533740347
dominant_verbosity,True,112,112,112,0.993300764590376,0.9671090462509492,0.9782508529067614
only_helpfulness,True,89,89,89,0.9999999999999999,0.9999999999999999,0.9999999999999999
only_correctness,True,58,58,58,0.9999999999999999,0.9999999999999999,0.9999999999999999
only_coherence,True,58,58,58,1.0,1.0,1.0
only_complexity,True,109,109,109,0.9999999999999999,0.9999999999999999,0.9999999999999999
only_verbosity,True,112,112,112,0.9999999999999999,0.9999999999999999,0.9999999999999999
