p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
balanced,Avg,rho=0.0,Avg(rho=0.0),0.57245361328125,0.5520751953125,-0.02037841796875,-0.03286871337890625,-0.008369689941406277,True,0.0008,0.18000000000000002,False,False,False,0.024462890624999956,0.0040844726562500044
balanced,Avg,rho=0.1,Avg(rho=0.1),0.57245361328125,0.5692370605468751,-0.003216552734375,-0.012902954101562503,0.006638275146484375,False,0.5142,1.0,False,False,False,0.007301025390624938,0.0040844726562500044
balanced,Avg,rho=0.2,Avg(rho=0.2),0.57245361328125,0.5710791015625,-0.0013745117187500002,-0.009321350097656248,0.006455200195312497,False,0.7338,1.0,False,False,False,0.005458984375000031,0.0040844726562500044
balanced,Avg,rho=0.5,Avg(rho=0.5),0.57245361328125,0.57095947265625,-0.001494140625,-0.0064063720703125,0.003413208007812498,False,0.5626,1.0,False,False,False,0.005578613281249978,0.0040844726562500044
balanced,MaxMin,c=0.0,MaxMin(c=0.0),0.57245361328125,0.5703710937500001,-0.0020825195312500003,-0.0073755493164062505,0.003130004882812498,False,0.445,1.0,False,False,False,0.006166992187499942,0.0040844726562500044
balanced,MaxMin,c=0.1,MaxMin(c=0.1),0.57245361328125,0.5714916992187501,-0.0009619140625,-0.005776489257812501,0.0037941894531249966,False,0.6952,1.0,False,False,False,0.005046386718749907,0.0040844726562500044
balanced,MaxMin,c=0.25,MaxMin(c=0.25),0.57245361328125,0.5731860351562501,0.0007324218750000002,-0.0039747314453125,0.0053955078125,False,0.7626,1.0,False,False,False,0.0033520507812498934,0.0040844726562500044
balanced,MaxMin,c=0.5,MaxMin(c=0.5),0.57245361328125,0.57320068359375,0.0007470703125000001,-0.0032618408203125004,0.005073364257812498,False,0.7566,1.0,False,False,False,0.0033374023437500178,0.0040844726562500044
balanced,MaxMin,c=0.75,MaxMin(c=0.75),0.57245361328125,0.57133544921875,-0.0011181640625,-0.0027979736328124995,0.000400390625,False,0.1524,1.0,False,False,False,0.005202636718749987,0.0040844726562500044
balanced,MaxMin,c=0.9,MaxMin(c=0.9),0.57245361328125,0.5722290039062501,-0.00022460937499999998,-0.0007910156250000002,0.00011718750000000014,False,0.5452,1.0,False,False,False,0.004309082031249911,0.0040844726562500044
balanced,MaxMin,c=0.95,MaxMin(c=0.95),0.57245361328125,0.5716625976562499,-0.0007910156250000002,-0.0022607421875000004,9.765625000000009e-05,False,0.2678,1.0,False,False,False,0.004875488281250062,0.0040844726562500044
balanced,Fair,"alpha=0.0,eps=0.01","Fair(alpha=0.0,eps=0.01)",0.57245361328125,0.5682604980468751,-0.004193115234375,-0.01246636962890625,0.003997894287109374,False,0.3204,1.0,False,False,False,0.008277587890624938,0.0040844726562500044
balanced,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.57245361328125,0.567705078125,-0.00474853515625,-0.013951171875,0.004804748535156249,False,0.316,1.0,False,False,False,0.00883300781249996,0.0040844726562500044
