p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
balanced,Avg,rho=0.0,0.006815265885783763,-0.2030005065827833,-0.02037841796875002
balanced,Avg,rho=0.1,0.0009363364617943769,-0.051424901487614486,-0.0032165527343750223
balanced,Avg,rho=0.2,0.0004681681991330684,-0.02571243101050521,-0.0013745117187500269
balanced,Avg,rho=0.5,0.00018726463073600978,-0.010284863989910808,-0.0014941406249999957
balanced,MaxMin,c=0.0,0.0001928498277341926,-0.010520384337970885,-0.0020825195312500267
balanced,MaxMin,c=0.1,0.00017642383726147571,-0.009275643137781722,-0.0009619140625000133
balanced,MaxMin,c=0.25,0.00015178485174728405,-0.007408531346116255,0.0007324218749999778
balanced,MaxMin,c=0.5,0.0001086432753363665,-0.004304926239766943,0.0007470703124999645
balanced,MaxMin,c=0.75,5.4852960547235084e-05,-0.0018416473971042244,-0.0011181640625000046
balanced,MaxMin,c=0.9,2.099375245053606e-05,-0.0006487097121697889,-0.00022460937499997328
balanced,MaxMin,c=0.95,1.0613535999176548e-05,-0.00030423962807447924,-0.0007910156250000577
balanced,Fair,"alpha=0.0,eps=0.01",0.0003488544890207021,-0.010000000000000014,-0.004193115234375022
balanced,Fair,"alpha=0.0,eps=0.02",0.0006977089780414033,-0.020000000000000007,-0.00474853515625
balanced,Fair,"alpha=0.0,eps=0.05",0.0017442724451035064,-0.05000000000000001,-0.003808593750000023
balanced,Fair,"alpha=0.0,eps=0.1",0.0034885448902070054,-0.10000000000000002,-0.019638671875000024
balanced,Fair,"alpha=0.5,eps=0.01",1.774799461957635e-05,-0.0009594213325677487,-0.00013183593750001334
balanced,Fair,"alpha=0.5,eps=0.02",3.5495990987914326e-05,-0.001918842758077028,-0.00013183593750001334
balanced,Fair,"alpha=0.5,eps=0.05",8.873996795919329e-05,-0.004797106444113065,-0.0004980468750000133
balanced,Fair,"alpha=0.5,eps=0.1",0.00017747994887449696,-0.009594213019830825,-0.0016455078125000356
balanced,Fair,"alpha=1.0,eps=0.01",8.94994625338701e-06,-0.0004875502985304049,-0.00013183593750001334
balanced,Fair,"alpha=1.0,eps=0.02",1.7899892157913175e-05,-0.0009751006755934876,-0.00013183593750001334
