attribute,global_step,grad_norm
coherence,10,0.25
coherence,20,0.34960938
coherence,30,0.45898438
coherence,40,0.48046875
coherence,50,0.609375
coherence,60,0.39257812
coherence,70,0.4765625
coherence,80,0.50390625
coherence,90,0.36328125
coherence,100,0.45117188
coherence,110,0.34765625
coherence,120,0.5390625
coherence,130,0.40625
coherence,140,0.40625
coherence,150,0.34765625
coherence,160,0.65625
coherence,170,0.3515625
coherence,180,0.41992188
coherence,190,0.5
coherence,200,0.35742188
coherence,210,0.4453125
coherence,220,0.47070312
coherence,230,0.47851562
coherence,240,0.29492188
coherence,250,0.46289062
coherence,251,0.55859375
coherence,260,0.3515625
coherence,270,0.48828125
coherence,280,0.4921875
coherence,290,0.3359375
coherence,300,0.58203125
coherence,310,0.44335938
coherence,320,0.45898438
coherence,330,0.39257812
coherence,340,0.453125
coherence,350,0.41992188
coherence,360,0.50390625
coherence,370,0.40625
coherence,380,0.4609375
coherence,390,0.5
coherence,400,0.41601562
coherence,410,0.6015625
coherence,420,0.35351562
coherence,430,0.48632812
coherence,440,0.43164062
coherence,450,0.51953125
coherence,460,0.51171875
coherence,470,0.47265625
coherence,480,0.67578125
coherence,490,0.578125
coherence,500,0.5390625
coherence,502,0.5546875
coherence,510,0.58984375
coherence,520,0.63671875
coherence,530,0.78515625
coherence,540,0.48046875
coherence,550,0.4609375
coherence,560,0.4765625
coherence,570,0.40234375
coherence,580,0.48242188
coherence,590,0.48046875
coherence,600,0.41992188
coherence,610,0.47070312
coherence,620,0.41992188
coherence,630,0.5703125
coherence,640,0.39648438
coherence,650,0.609375
coherence,660,0.59765625
coherence,670,0.60546875
coherence,680,0.48632812
coherence,690,0.515625
coherence,700,0.52734375
coherence,710,0.44921875
coherence,720,0.5625
coherence,730,0.49414062
coherence,740,0.60546875
coherence,750,0.55078125
coherence,753,0.54296875
