attribute,global_step,train_loss
coherence,10,0.92555515
coherence,20,0.86307019
coherence,30,0.88846434
coherence,40,0.87847906
coherence,50,0.89123346
coherence,60,0.79559195
coherence,70,0.80965477
coherence,80,0.96768999
coherence,90,0.82297251
coherence,100,0.8232125
coherence,110,0.82807952
coherence,120,0.86741126
coherence,130,0.80174322
coherence,140,0.70497841
coherence,150,0.80669544
coherence,160,0.8633582
coherence,170,0.7767323
coherence,180,0.843629
coherence,190,0.85626811
coherence,200,0.80775398
coherence,210,0.77982005
coherence,220,1.00359654
coherence,230,0.81160536
coherence,240,0.7043134
coherence,250,0.81013967
coherence,251,0.83853687
coherence,260,0.68740851
coherence,270,0.76981415
coherence,280,0.87697697
coherence,290,0.77473617
coherence,300,0.89775777
coherence,310,0.76420177
coherence,320,0.70922863
coherence,330,0.76674593
coherence,340,0.75749063
coherence,350,0.78331476
coherence,360,0.87588328
coherence,370,0.75227216
coherence,380,0.85474962
coherence,390,0.85385714
coherence,400,0.79684198
coherence,410,0.78635714
coherence,420,0.64936483
coherence,430,0.79091054
coherence,440,0.68499643
coherence,450,0.75944017
coherence,460,0.83771992
coherence,470,0.84067352
coherence,480,0.85374975
coherence,490,0.84606114
coherence,500,0.85083818
coherence,502,0.78396763
coherence,510,0.75502162
coherence,520,0.84276086
coherence,530,0.79551829
coherence,540,0.72770834
coherence,550,0.75466898
coherence,560,0.70253134
coherence,570,0.7852165
coherence,580,0.73161787
coherence,590,0.76020074
coherence,600,0.76052487
coherence,610,0.74112566
coherence,620,0.78860241
coherence,630,0.7867027
coherence,640,0.77226317
coherence,650,0.72833931
coherence,660,0.76575089
coherence,670,0.73624336
coherence,680,0.65640384
coherence,690,0.75605723
coherence,700,0.69881916
coherence,710,0.70239357
coherence,720,0.84682316
coherence,730,0.75543203
coherence,740,0.83392984
coherence,750,0.75522878
coherence,753,0.74857065
