attribute,global_step,grad_norm
correctness,10,0.41992188
correctness,20,0.3203125
correctness,30,0.44140625
correctness,40,0.50390625
correctness,50,0.42773438
correctness,60,0.46289062
correctness,70,0.39648438
correctness,80,0.37890625
correctness,90,0.46875
correctness,100,0.46679688
correctness,110,0.37695312
correctness,120,0.4140625
correctness,130,0.46289062
correctness,140,0.4453125
correctness,150,0.4140625
correctness,160,0.29882812
correctness,170,0.40820312
correctness,180,0.421875
correctness,190,0.3828125
correctness,200,0.33007812
correctness,210,0.49804688
correctness,220,0.32617188
correctness,230,0.33789062
correctness,240,0.3359375
correctness,250,0.48046875
correctness,251,0.8671875
correctness,260,0.3828125
correctness,270,0.34570312
correctness,280,0.44726562
correctness,290,0.39453125
correctness,300,0.47070312
correctness,310,0.45117188
correctness,320,0.32421875
correctness,330,0.49609375
correctness,340,0.50390625
correctness,350,0.48632812
correctness,360,0.48632812
correctness,370,0.4765625
correctness,380,0.46289062
correctness,390,0.53125
correctness,400,0.5390625
correctness,410,0.45898438
correctness,420,0.4921875
correctness,430,0.4375
correctness,440,0.45703125
correctness,450,0.53515625
correctness,460,0.48632812
correctness,470,0.54296875
correctness,480,0.55859375
correctness,490,0.39648438
correctness,500,0.4375
correctness,502,0.51171875
correctness,510,0.546875
correctness,520,0.67578125
correctness,530,0.47265625
correctness,540,0.625
correctness,550,0.49609375
correctness,560,0.609375
correctness,570,0.43554688
correctness,580,0.45507812
correctness,590,0.46289062
correctness,600,0.515625
correctness,610,0.53125
correctness,620,0.49023438
correctness,630,0.5703125
correctness,640,0.6484375
correctness,650,0.45507812
correctness,660,0.56640625
correctness,670,0.46875
correctness,680,0.47265625
correctness,690,0.49804688
correctness,700,0.484375
correctness,710,0.5390625
correctness,720,0.53515625
correctness,730,0.49609375
correctness,740,0.49414062
correctness,750,0.47265625
correctness,753,0.7109375
