attribute,global_step,train_loss
correctness,10,0.98035983
correctness,20,0.84734094
correctness,30,0.90982409
correctness,40,1.0104177
correctness,50,0.88907059
correctness,60,0.83460557
correctness,70,0.84866483
correctness,80,0.88480711
correctness,90,0.83555223
correctness,100,0.96783304
correctness,110,0.83865288
correctness,120,0.83871233
correctness,130,0.95091111
correctness,140,0.87281811
correctness,150,0.90154726
correctness,160,0.67811161
correctness,170,0.87176204
correctness,180,0.95382684
correctness,190,0.83855711
correctness,200,0.66407567
correctness,210,0.87608238
correctness,220,0.98757178
correctness,230,0.89167926
correctness,240,0.86052883
correctness,250,0.83362025
correctness,251,0.87716607
correctness,260,0.83934647
correctness,270,0.80279842
correctness,280,0.85578859
correctness,290,0.82764287
correctness,300,0.91476083
correctness,310,0.78535227
correctness,320,0.8022964
correctness,330,0.85250711
correctness,340,1.0254494
correctness,350,0.79570024
correctness,360,0.72237712
correctness,370,0.84347929
correctness,380,0.80535764
correctness,390,0.80909819
correctness,400,1.12789333
correctness,410,0.80801649
correctness,420,0.89258415
correctness,430,0.83192158
correctness,440,0.8795476
correctness,450,0.82124095
correctness,460,0.82806778
correctness,470,0.82416244
correctness,480,0.82919997
correctness,490,0.79181392
correctness,500,0.95270807
correctness,502,0.82385274
correctness,510,0.76368178
correctness,520,0.90134746
correctness,530,0.76371217
correctness,540,0.76498944
correctness,550,0.82223676
correctness,560,0.7288785
correctness,570,0.84060836
correctness,580,0.86518699
correctness,590,0.7480875
correctness,600,0.65288818
correctness,610,0.790145
correctness,620,0.72649938
correctness,630,0.8087675
correctness,640,0.87295258
correctness,650,0.79404383
correctness,660,0.7855773
correctness,670,0.82000983
correctness,680,0.73534065
correctness,690,0.77606747
correctness,700,0.8681199
correctness,710,0.7651382
correctness,720,0.82249892
correctness,730,0.75814668
correctness,740,0.77717263
correctness,750,0.78794189
correctness,753,0.78704388
