attribute,global_step,grad_norm
helpfulness,10,0.40039062
helpfulness,20,0.44335938
helpfulness,30,0.47070312
helpfulness,40,0.49804688
helpfulness,50,0.5390625
helpfulness,60,0.51171875
helpfulness,70,0.54296875
helpfulness,80,0.40234375
helpfulness,90,0.5234375
helpfulness,100,0.35742188
helpfulness,110,0.41210938
helpfulness,120,0.515625
helpfulness,130,0.6015625
helpfulness,140,0.32421875
helpfulness,150,0.5859375
helpfulness,160,0.46289062
helpfulness,170,0.3828125
helpfulness,180,0.54296875
helpfulness,190,0.5390625
helpfulness,200,0.46484375
helpfulness,210,0.44140625
helpfulness,220,0.46875
helpfulness,230,0.37695312
helpfulness,240,0.34570312
helpfulness,250,0.5078125
helpfulness,251,0.6640625
helpfulness,260,0.53125
helpfulness,270,0.30859375
helpfulness,280,0.38085938
helpfulness,290,0.765625
helpfulness,300,0.42382812
helpfulness,310,0.46875
helpfulness,320,0.45703125
helpfulness,330,0.37695312
helpfulness,340,0.609375
helpfulness,350,0.42578125
helpfulness,360,0.484375
helpfulness,370,0.49414062
helpfulness,380,0.46875
helpfulness,390,0.45117188
helpfulness,400,0.546875
helpfulness,410,0.43554688
helpfulness,420,0.54296875
helpfulness,430,0.5703125
helpfulness,440,0.49804688
helpfulness,450,0.52734375
helpfulness,460,0.57421875
helpfulness,470,0.45703125
helpfulness,480,0.45507812
helpfulness,490,0.609375
helpfulness,500,0.53125
helpfulness,502,0.64453125
helpfulness,510,0.53125
helpfulness,520,0.45507812
helpfulness,530,0.53515625
helpfulness,540,0.546875
helpfulness,550,0.5078125
helpfulness,560,0.50390625
helpfulness,570,0.55078125
helpfulness,580,0.60546875
helpfulness,590,0.50390625
helpfulness,600,0.56640625
helpfulness,610,0.62109375
helpfulness,620,0.5703125
helpfulness,630,0.5625
helpfulness,640,0.5078125
helpfulness,650,0.58203125
helpfulness,660,0.51953125
helpfulness,670,0.57421875
helpfulness,680,0.53515625
helpfulness,690,0.6796875
helpfulness,700,0.45703125
helpfulness,710,0.59375
helpfulness,720,0.609375
helpfulness,730,0.453125
helpfulness,740,0.47460938
helpfulness,750,0.625
helpfulness,753,0.734375
