attribute,global_step,grad_norm
helpfulness,10,0.40039062
helpfulness,20,0.44335938
helpfulness,30,0.47070312
helpfulness,40,0.49804688
helpfulness,50,0.5390625
helpfulness,60,0.51171875
helpfulness,70,0.54296875
helpfulness,80,0.40234375
helpfulness,90,0.5234375
helpfulness,100,0.35742188
helpfulness,110,0.41210938
helpfulness,120,0.515625
helpfulness,130,0.6015625
helpfulness,140,0.32421875
helpfulness,150,0.5859375
helpfulness,160,0.46289062
helpfulness,170,0.3828125
helpfulness,180,0.54296875
helpfulness,190,0.5390625
helpfulness,200,0.46484375
helpfulness,210,0.44140625
helpfulness,220,0.46875
helpfulness,230,0.37695312
helpfulness,240,0.34570312
helpfulness,250,0.5078125
helpfulness,251,0.6640625
helpfulness,260,0.53125
helpfulness,270,0.30859375
helpfulness,280,0.38085938
helpfulness,290,0.765625
helpfulness,300,0.42382812
helpfulness,310,0.46875
helpfulness,320,0.45703125
helpfulness,330,0.37695312
helpfulness,340,0.609375
helpfulness,350,0.42578125
helpfulness,360,0.484375
helpfulness,370,0.49414062
helpfulness,380,0.46875
helpfulness,390,0.45117188
helpfulness,400,0.546875
helpfulness,410,0.43554688
helpfulness,420,0.54296875
helpfulness,430,0.5703125
helpfulness,440,0.49804688
helpfulness,450,0.52734375
helpfulness,460,0.57421875
helpfulness,470,0.45703125
helpfulness,480,0.45507812
helpfulness,490,0.609375
helpfulness,500,0.53125
helpfulness,502,0.64453125
helpfulness,510,0.53125
helpfulness,520,0.45507812
helpfulness,530,0.53515625
helpfulness,540,0.546875
helpfulness,550,0.5078125
helpfulness,560,0.50390625
helpfulness,570,0.55078125
helpfulness,580,0.60546875
helpfulness,590,0.50390625
helpfulness,600,0.56640625
helpfulness,610,0.62109375
helpfulness,620,0.5703125
helpfulness,630,0.5625
helpfulness,640,0.5078125
helpfulness,650,0.58203125
helpfulness,660,0.51953125
helpfulness,670,0.57421875
helpfulness,680,0.53515625
helpfulness,690,0.6796875
helpfulness,700,0.45703125
helpfulness,710,0.59375
helpfulness,720,0.609375
helpfulness,730,0.453125
helpfulness,740,0.47460938
helpfulness,750,0.625
helpfulness,753,0.734375
correctness,10,0.41992188
correctness,20,0.3203125
correctness,30,0.44140625
correctness,40,0.50390625
correctness,50,0.42773438
correctness,60,0.46289062
correctness,70,0.39648438
correctness,80,0.37890625
correctness,90,0.46875
correctness,100,0.46679688
correctness,110,0.37695312
correctness,120,0.4140625
correctness,130,0.46289062
correctness,140,0.4453125
correctness,150,0.4140625
correctness,160,0.29882812
correctness,170,0.40820312
correctness,180,0.421875
correctness,190,0.3828125
correctness,200,0.33007812
correctness,210,0.49804688
correctness,220,0.32617188
correctness,230,0.33789062
correctness,240,0.3359375
correctness,250,0.48046875
correctness,251,0.8671875
correctness,260,0.3828125
correctness,270,0.34570312
correctness,280,0.44726562
correctness,290,0.39453125
correctness,300,0.47070312
correctness,310,0.45117188
correctness,320,0.32421875
correctness,330,0.49609375
correctness,340,0.50390625
correctness,350,0.48632812
correctness,360,0.48632812
correctness,370,0.4765625
correctness,380,0.46289062
correctness,390,0.53125
correctness,400,0.5390625
correctness,410,0.45898438
correctness,420,0.4921875
correctness,430,0.4375
correctness,440,0.45703125
correctness,450,0.53515625
correctness,460,0.48632812
correctness,470,0.54296875
correctness,480,0.55859375
correctness,490,0.39648438
correctness,500,0.4375
correctness,502,0.51171875
correctness,510,0.546875
correctness,520,0.67578125
correctness,530,0.47265625
correctness,540,0.625
correctness,550,0.49609375
correctness,560,0.609375
correctness,570,0.43554688
correctness,580,0.45507812
correctness,590,0.46289062
correctness,600,0.515625
correctness,610,0.53125
correctness,620,0.49023438
correctness,630,0.5703125
correctness,640,0.6484375
correctness,650,0.45507812
correctness,660,0.56640625
correctness,670,0.46875
correctness,680,0.47265625
correctness,690,0.49804688
correctness,700,0.484375
correctness,710,0.5390625
correctness,720,0.53515625
correctness,730,0.49609375
correctness,740,0.49414062
correctness,750,0.47265625
correctness,753,0.7109375
coherence,10,0.25
coherence,20,0.34960938
coherence,30,0.45898438
coherence,40,0.48046875
coherence,50,0.609375
coherence,60,0.39257812
coherence,70,0.4765625
coherence,80,0.50390625
coherence,90,0.36328125
coherence,100,0.45117188
coherence,110,0.34765625
coherence,120,0.5390625
coherence,130,0.40625
coherence,140,0.40625
coherence,150,0.34765625
coherence,160,0.65625
coherence,170,0.3515625
coherence,180,0.41992188
coherence,190,0.5
coherence,200,0.35742188
coherence,210,0.4453125
coherence,220,0.47070312
coherence,230,0.47851562
coherence,240,0.29492188
coherence,250,0.46289062
coherence,251,0.55859375
coherence,260,0.3515625
coherence,270,0.48828125
coherence,280,0.4921875
coherence,290,0.3359375
coherence,300,0.58203125
coherence,310,0.44335938
coherence,320,0.45898438
coherence,330,0.39257812
coherence,340,0.453125
coherence,350,0.41992188
coherence,360,0.50390625
coherence,370,0.40625
coherence,380,0.4609375
coherence,390,0.5
coherence,400,0.41601562
coherence,410,0.6015625
coherence,420,0.35351562
coherence,430,0.48632812
coherence,440,0.43164062
coherence,450,0.51953125
coherence,460,0.51171875
coherence,470,0.47265625
coherence,480,0.67578125
coherence,490,0.578125
coherence,500,0.5390625
coherence,502,0.5546875
coherence,510,0.58984375
coherence,520,0.63671875
coherence,530,0.78515625
coherence,540,0.48046875
coherence,550,0.4609375
coherence,560,0.4765625
coherence,570,0.40234375
coherence,580,0.48242188
coherence,590,0.48046875
coherence,600,0.41992188
coherence,610,0.47070312
coherence,620,0.41992188
coherence,630,0.5703125
coherence,640,0.39648438
coherence,650,0.609375
coherence,660,0.59765625
coherence,670,0.60546875
coherence,680,0.48632812
coherence,690,0.515625
coherence,700,0.52734375
coherence,710,0.44921875
coherence,720,0.5625
coherence,730,0.49414062
coherence,740,0.60546875
coherence,750,0.55078125
coherence,753,0.54296875
complexity,10,0.3125
complexity,20,0.33789062
complexity,30,0.38085938
complexity,40,0.34570312
complexity,50,0.36523438
complexity,60,0.36132812
complexity,70,0.32617188
complexity,80,0.328125
complexity,90,0.35546875
complexity,100,0.34375
complexity,110,0.33398438
complexity,120,0.34570312
complexity,130,0.33007812
complexity,140,0.359375
complexity,150,0.36328125
complexity,160,0.38476562
complexity,170,0.26171875
complexity,180,0.3515625
complexity,190,0.31445312
complexity,200,0.28710938
complexity,210,0.36914062
complexity,220,0.29492188
complexity,230,0.29882812
complexity,240,0.32421875
complexity,250,0.26757812
complexity,251,0.4609375
complexity,260,0.34765625
complexity,270,0.30273438
complexity,280,0.37695312
complexity,290,0.359375
complexity,300,0.45898438
complexity,310,0.421875
complexity,320,0.38671875
complexity,330,0.3125
complexity,340,0.31640625
complexity,350,0.515625
complexity,360,0.47851562
complexity,370,0.34765625
complexity,380,0.45507812
complexity,390,0.34765625
complexity,400,0.37304688
complexity,410,0.4375
complexity,420,0.37304688
complexity,430,0.37890625
complexity,440,0.46679688
complexity,450,0.41601562
complexity,460,0.421875
complexity,470,0.50390625
complexity,480,0.453125
complexity,490,0.38476562
complexity,500,0.54296875
complexity,502,0.56640625
complexity,510,0.45898438
complexity,520,0.40234375
complexity,530,0.37109375
complexity,540,0.5
complexity,550,0.3984375
complexity,560,0.47265625
complexity,570,0.5078125
complexity,580,0.44921875
complexity,590,0.45117188
complexity,600,0.39453125
complexity,610,0.39648438
complexity,620,0.33789062
complexity,630,0.45898438
complexity,640,0.34765625
complexity,650,0.45117188
complexity,660,0.43554688
complexity,670,0.359375
complexity,680,0.39453125
complexity,690,0.45507812
complexity,700,0.49414062
complexity,710,0.5078125
complexity,720,0.3828125
complexity,730,0.35742188
complexity,740,0.43164062
complexity,750,0.37695312
complexity,753,0.671875
verbosity,10,0.33398438
verbosity,20,0.328125
verbosity,30,0.30078125
verbosity,40,0.34375
verbosity,50,0.3203125
verbosity,60,0.28125
verbosity,70,0.2890625
verbosity,80,0.35546875
verbosity,90,0.28515625
verbosity,100,0.34375
verbosity,110,0.33789062
verbosity,120,0.29101562
verbosity,130,0.3203125
verbosity,140,0.31445312
verbosity,150,0.32421875
verbosity,160,0.30078125
verbosity,170,0.30859375
verbosity,180,0.29296875
verbosity,190,0.27734375
verbosity,200,0.3203125
verbosity,210,0.36914062
verbosity,220,0.34570312
verbosity,230,0.37304688
verbosity,240,0.29101562
verbosity,250,0.32226562
verbosity,251,0.36132812
verbosity,260,0.23535156
verbosity,270,0.328125
verbosity,280,0.32421875
verbosity,290,0.29492188
verbosity,300,0.30664062
verbosity,310,0.32617188
verbosity,320,0.37890625
verbosity,330,0.359375
verbosity,340,0.34960938
verbosity,350,0.3671875
verbosity,360,0.38085938
verbosity,370,0.34960938
verbosity,380,0.40429688
verbosity,390,0.3671875
verbosity,400,0.37109375
verbosity,410,0.38476562
verbosity,420,0.3203125
verbosity,430,0.43554688
verbosity,440,0.35351562
verbosity,450,0.37695312
verbosity,460,0.43359375
verbosity,470,0.3671875
verbosity,480,0.42578125
verbosity,490,0.39648438
verbosity,500,0.42773438
verbosity,502,0.609375
verbosity,510,0.41601562
verbosity,520,0.37304688
verbosity,530,0.33789062
verbosity,540,0.30859375
verbosity,550,0.39453125
verbosity,560,0.42578125
verbosity,570,0.3984375
verbosity,580,0.37890625
verbosity,590,0.43164062
verbosity,600,0.3984375
verbosity,610,0.49609375
verbosity,620,0.38867188
verbosity,630,0.3984375
verbosity,640,0.40820312
verbosity,650,0.43359375
verbosity,660,0.37304688
verbosity,670,0.25976562
verbosity,680,0.4453125
verbosity,690,0.33984375
verbosity,700,0.38867188
verbosity,710,0.41796875
verbosity,720,0.46289062
verbosity,730,0.42773438
verbosity,740,0.3359375
verbosity,750,0.4375
verbosity,753,0.60546875
