attribute,global_step,train_loss
helpfulness,10,0.87380838
helpfulness,20,0.88292462
helpfulness,30,0.8606815
helpfulness,40,0.83190113
helpfulness,50,0.88560544
helpfulness,60,0.86868125
helpfulness,70,0.82399518
helpfulness,80,0.84424448
helpfulness,90,0.82439169
helpfulness,100,0.676202
helpfulness,110,0.78431096
helpfulness,120,0.83753991
helpfulness,130,0.85512195
helpfulness,140,0.70931143
helpfulness,150,0.80976558
helpfulness,160,0.84766817
helpfulness,170,0.78727698
helpfulness,180,0.87164015
helpfulness,190,0.77921736
helpfulness,200,0.78500122
helpfulness,210,0.76477815
helpfulness,220,0.9270432
helpfulness,230,0.77231417
helpfulness,240,0.79135668
helpfulness,250,0.80406487
helpfulness,251,0.82657729
helpfulness,260,0.77142692
helpfulness,270,0.81339628
helpfulness,280,0.67980188
helpfulness,290,0.74961763
helpfulness,300,0.80135214
helpfulness,310,0.79243043
helpfulness,320,0.807935
helpfulness,330,0.76323239
helpfulness,340,0.67585039
helpfulness,350,0.76649705
helpfulness,360,0.65932208
helpfulness,370,0.76889414
helpfulness,380,0.73605722
helpfulness,390,0.7475041
helpfulness,400,0.68937331
helpfulness,410,0.69245544
helpfulness,420,0.75275993
helpfulness,430,0.75207208
helpfulness,440,0.87200797
helpfulness,450,0.80070892
helpfulness,460,0.71352965
helpfulness,470,0.74186813
helpfulness,480,0.89222389
helpfulness,490,0.75318666
helpfulness,500,0.75214541
helpfulness,502,0.76719517
helpfulness,510,0.70524039
helpfulness,520,0.61795276
helpfulness,530,0.71282093
helpfulness,540,0.87500846
helpfulness,550,0.76136296
helpfulness,560,0.92791873
helpfulness,570,0.76515347
helpfulness,580,0.73027879
helpfulness,590,0.70223612
helpfulness,600,0.68579412
helpfulness,610,0.76428046
helpfulness,620,0.67954093
helpfulness,630,0.6996136
helpfulness,640,0.83487523
helpfulness,650,0.68553191
helpfulness,660,0.59250748
helpfulness,670,0.70700898
helpfulness,680,0.74051005
helpfulness,690,0.67694774
helpfulness,700,0.69546688
helpfulness,710,0.72762682
helpfulness,720,0.69555956
helpfulness,730,0.77653143
helpfulness,740,0.76181513
helpfulness,750,0.77338866
helpfulness,753,0.73029064
correctness,10,0.98035983
correctness,20,0.84734094
correctness,30,0.90982409
correctness,40,1.0104177
correctness,50,0.88907059
correctness,60,0.83460557
correctness,70,0.84866483
correctness,80,0.88480711
correctness,90,0.83555223
correctness,100,0.96783304
correctness,110,0.83865288
correctness,120,0.83871233
correctness,130,0.95091111
correctness,140,0.87281811
correctness,150,0.90154726
correctness,160,0.67811161
correctness,170,0.87176204
correctness,180,0.95382684
correctness,190,0.83855711
correctness,200,0.66407567
correctness,210,0.87608238
correctness,220,0.98757178
correctness,230,0.89167926
correctness,240,0.86052883
correctness,250,0.83362025
correctness,251,0.87716607
correctness,260,0.83934647
correctness,270,0.80279842
correctness,280,0.85578859
correctness,290,0.82764287
correctness,300,0.91476083
correctness,310,0.78535227
correctness,320,0.8022964
correctness,330,0.85250711
correctness,340,1.0254494
correctness,350,0.79570024
correctness,360,0.72237712
correctness,370,0.84347929
correctness,380,0.80535764
correctness,390,0.80909819
correctness,400,1.12789333
correctness,410,0.80801649
correctness,420,0.89258415
correctness,430,0.83192158
correctness,440,0.8795476
correctness,450,0.82124095
correctness,460,0.82806778
correctness,470,0.82416244
correctness,480,0.82919997
correctness,490,0.79181392
correctness,500,0.95270807
correctness,502,0.82385274
correctness,510,0.76368178
correctness,520,0.90134746
correctness,530,0.76371217
correctness,540,0.76498944
correctness,550,0.82223676
correctness,560,0.7288785
correctness,570,0.84060836
correctness,580,0.86518699
correctness,590,0.7480875
correctness,600,0.65288818
correctness,610,0.790145
correctness,620,0.72649938
