attribute,global_step,grad_norm
verbosity,10,0.33398438
verbosity,20,0.328125
verbosity,30,0.30078125
verbosity,40,0.34375
verbosity,50,0.3203125
verbosity,60,0.28125
verbosity,70,0.2890625
verbosity,80,0.35546875
verbosity,90,0.28515625
verbosity,100,0.34375
verbosity,110,0.33789062
verbosity,120,0.29101562
verbosity,130,0.3203125
verbosity,140,0.31445312
verbosity,150,0.32421875
verbosity,160,0.30078125
verbosity,170,0.30859375
verbosity,180,0.29296875
verbosity,190,0.27734375
verbosity,200,0.3203125
verbosity,210,0.36914062
verbosity,220,0.34570312
verbosity,230,0.37304688
verbosity,240,0.29101562
verbosity,250,0.32226562
verbosity,251,0.36132812
verbosity,260,0.23535156
verbosity,270,0.328125
verbosity,280,0.32421875
verbosity,290,0.29492188
verbosity,300,0.30664062
verbosity,310,0.32617188
verbosity,320,0.37890625
verbosity,330,0.359375
verbosity,340,0.34960938
verbosity,350,0.3671875
verbosity,360,0.38085938
verbosity,370,0.34960938
verbosity,380,0.40429688
verbosity,390,0.3671875
verbosity,400,0.37109375
verbosity,410,0.38476562
verbosity,420,0.3203125
verbosity,430,0.43554688
verbosity,440,0.35351562
verbosity,450,0.37695312
verbosity,460,0.43359375
verbosity,470,0.3671875
verbosity,480,0.42578125
verbosity,490,0.39648438
verbosity,500,0.42773438
verbosity,502,0.609375
verbosity,510,0.41601562
verbosity,520,0.37304688
verbosity,530,0.33789062
verbosity,540,0.30859375
verbosity,550,0.39453125
verbosity,560,0.42578125
verbosity,570,0.3984375
verbosity,580,0.37890625
verbosity,590,0.43164062
verbosity,600,0.3984375
verbosity,610,0.49609375
verbosity,620,0.38867188
verbosity,630,0.3984375
verbosity,640,0.40820312
verbosity,650,0.43359375
verbosity,660,0.37304688
verbosity,670,0.25976562
verbosity,680,0.4453125
verbosity,690,0.33984375
verbosity,700,0.38867188
verbosity,710,0.41796875
verbosity,720,0.46289062
verbosity,730,0.42773438
verbosity,740,0.3359375
verbosity,750,0.4375
verbosity,753,0.60546875
