attribute,global_step,train_loss
verbosity,10,0.83844275
verbosity,20,0.87119186
verbosity,30,0.82365075
verbosity,40,0.70811468
verbosity,50,0.8222208
verbosity,60,0.64315277
verbosity,70,0.81826587
verbosity,80,0.77337134
verbosity,90,0.78934804
verbosity,100,0.831779
verbosity,110,0.75942292
verbosity,120,0.7802363
verbosity,130,0.75015359
verbosity,140,0.72488624
verbosity,150,0.83107283
verbosity,160,0.68370485
verbosity,170,0.8136516
verbosity,180,0.83996564
verbosity,190,0.76340154
verbosity,200,0.74457169
verbosity,210,0.78192548
verbosity,220,0.90937459
verbosity,230,0.77592322
verbosity,240,0.8234297
verbosity,250,0.73448062
verbosity,251,0.79396249
verbosity,260,0.71512914
verbosity,270,0.74978992
verbosity,280,0.80582494
verbosity,290,0.77105608
verbosity,300,0.81296468
verbosity,310,0.71981874
verbosity,320,0.84785461
verbosity,330,0.7159882
verbosity,340,0.69954967
verbosity,350,0.74672984
verbosity,360,0.68759656
verbosity,370,0.72776095
verbosity,380,0.71949774
verbosity,390,0.7121502
verbosity,400,0.73780084
verbosity,410,0.80630105
verbosity,420,0.58856195
verbosity,430,0.77799929
verbosity,440,0.88433671
verbosity,450,0.72167768
verbosity,460,0.96233684
verbosity,470,0.74659942
verbosity,480,0.81138033
verbosity,490,0.73214173
verbosity,500,0.81784779
verbosity,502,0.74947669
verbosity,510,0.72286082
verbosity,520,0.64389735
verbosity,530,0.65661258
verbosity,540,0.55604208
verbosity,550,0.74556559
verbosity,560,0.95560849
verbosity,570,0.72094612
verbosity,580,0.78743064
verbosity,590,0.7251716
verbosity,600,0.69402361
verbosity,610,0.78091087
verbosity,620,0.62954444
verbosity,630,0.70785026
verbosity,640,0.74404764
verbosity,650,0.70866286
verbosity,660,0.72819
verbosity,670,0.678834
verbosity,680,0.68211013
verbosity,690,0.77371446
verbosity,700,0.71361738
verbosity,710,0.7442094
verbosity,720,0.83787721
verbosity,730,0.71498538
verbosity,740,0.72758853
verbosity,750,0.77742621
verbosity,753,0.72204557
