attribute,global_step,grad_norm
coherence,10,0.328125
coherence,20,0.35351562
coherence,30,0.39648438
coherence,40,0.48242188
coherence,50,0.4453125
coherence,60,0.41992188
coherence,70,0.3125
coherence,80,0.34765625
coherence,90,0.32421875
coherence,100,0.390625
coherence,110,0.41210938
coherence,120,0.36914062
coherence,130,0.34570312
coherence,140,0.53125
coherence,150,0.37304688
coherence,160,0.37695312
coherence,170,0.484375
coherence,180,0.34960938
coherence,190,0.31054688
coherence,200,0.34375
coherence,210,0.421875
coherence,220,0.44335938
coherence,230,0.32226562
coherence,240,0.375
coherence,250,0.40625
coherence,251,0.40234375
coherence,260,0.32421875
coherence,270,0.34570312
coherence,280,0.41992188
coherence,290,0.36328125
coherence,300,0.40429688
coherence,310,0.4453125
coherence,320,0.41992188
coherence,330,0.42773438
coherence,340,0.45703125
coherence,350,0.5234375
coherence,360,0.31640625
coherence,370,0.44921875
coherence,380,0.33007812
coherence,390,0.51953125
coherence,400,0.3828125
coherence,410,0.56640625
coherence,420,0.43945312
coherence,430,0.56640625
coherence,440,0.41601562
coherence,450,0.4375
coherence,460,0.515625
coherence,470,0.44140625
coherence,480,0.34570312
coherence,490,0.5078125
coherence,500,0.47460938
coherence,502,0.5859375
coherence,510,0.33789062
coherence,520,0.50390625
coherence,530,0.44140625
coherence,540,0.44335938
coherence,550,0.5546875
coherence,560,0.5
coherence,570,0.37890625
coherence,580,0.44726562
coherence,590,0.3984375
coherence,600,0.50390625
coherence,610,0.45507812
coherence,620,0.53125
coherence,630,0.46679688
coherence,640,0.40429688
coherence,650,0.43359375
coherence,660,0.45898438
coherence,670,0.47070312
coherence,680,0.609375
coherence,690,0.515625
coherence,700,0.46289062
coherence,710,0.4609375
coherence,720,0.47070312
coherence,730,0.40429688
coherence,740,0.5625
coherence,750,0.41601562
coherence,753,0.86328125
