attribute,global_step,learning_rate
coherence,10,2.22222222222e-05
coherence,20,4.44444444444e-05
coherence,30,6.66666666667e-05
coherence,40,8.88888888889e-05
coherence,50,9.99929119899e-05
coherence,60,9.9913197517e-05
coherence,70,9.97450660095e-05
coherence,80,9.94888484544e-05
coherence,90,9.91450492468e-05
coherence,100,9.87143451969e-05
coherence,110,9.81975841974e-05
coherence,120,9.75957835546e-05
coherence,130,9.69101279854e-05
coherence,140,9.61419672853e-05
coherence,150,9.52928136711e-05
coherence,160,9.43643388039e-05
coherence,170,9.33583704983e-05
coherence,180,9.22768891239e-05
coherence,190,9.11220237069e-05
coherence,200,8.98960477389e-05
coherence,210,8.86013747012e-05
coherence,220,8.72405533134e-05
coherence,230,8.58162625163e-05
coherence,240,8.43313061976e-05
coherence,250,8.27886076726e-05
coherence,251,8.26312779698e-05
coherence,260,8.1191203929e-05
coherence,270,7.95422396483e-05
coherence,280,7.78449610152e-05
coherence,290,7.6102709327e-05
coherence,300,7.43189144157e-05
coherence,310,7.24970878963e-05
coherence,320,7.06408162536e-05
coherence,330,6.87537537817e-05
coherence,340,6.68396153902e-05
coherence,350,6.4902169291e-05
coherence,360,6.29452295797e-05
coherence,370,6.09726487278e-05
coherence,380,5.8988309998e-05
coherence,390,5.69961198e-05
coherence,400,5.5e-05
coherence,410,5.30038802e-05
coherence,420,5.1011690002e-05
coherence,430,4.90273512722e-05
coherence,440,4.70547704203e-05
coherence,450,4.5097830709e-05
coherence,460,4.31603846098e-05
coherence,470,4.12462462183e-05
coherence,480,3.93591837464e-05
coherence,490,3.75029121037e-05
coherence,500,3.56810855843e-05
coherence,502,3.53211705794e-05
coherence,510,3.3897290673e-05
coherence,520,3.21550389848e-05
coherence,530,3.04577603517e-05
coherence,540,2.8808796071e-05
coherence,550,2.72113923274e-05
coherence,560,2.56686938024e-05
coherence,570,2.41837374837e-05
coherence,580,2.27594466866e-05
coherence,590,2.13986252988e-05
coherence,600,2.01039522611e-05
coherence,610,1.88779762931e-05
coherence,620,1.77231108761e-05
coherence,630,1.66416295017e-05
coherence,640,1.56356611961e-05
coherence,650,1.47071863289e-05
coherence,660,1.38580327147e-05
coherence,670,1.30898720146e-05
coherence,680,1.24042164454e-05
coherence,690,1.18024158026e-05
coherence,700,1.12856548031e-05
coherence,710,1.08549507532e-05
coherence,720,1.05111515456e-05
coherence,730,1.02549339905e-05
coherence,740,1.0086802483e-05
coherence,750,1.00070880101e-05
coherence,753,1.00004430115e-05
