attribute,global_step,train_loss
coherence,10,0.88064462
coherence,20,0.90464413
coherence,30,0.97644293
coherence,40,0.88309556
coherence,50,1.00639307
coherence,60,0.95484912
coherence,70,0.89211041
coherence,80,0.67753774
coherence,90,0.73725539
coherence,100,0.89950603
coherence,110,0.65107667
coherence,120,0.76600683
coherence,130,0.90077621
coherence,140,0.94373739
coherence,150,0.80794179
coherence,160,1.07993603
coherence,170,0.86332524
coherence,180,0.71434897
coherence,190,0.79550791
coherence,200,1.19465518
coherence,210,1.09703231
coherence,220,0.88757712
coherence,230,0.75325131
coherence,240,0.71006423
coherence,250,0.91502887
coherence,251,0.87417721
coherence,260,0.99594605
coherence,270,0.79696304
coherence,280,0.93238282
coherence,290,0.96669251
coherence,300,0.70809764
coherence,310,0.76674956
coherence,320,0.95572001
coherence,330,0.76159936
coherence,340,0.7812435
coherence,350,0.92992175
coherence,360,0.65498704
coherence,370,0.78399765
coherence,380,0.68736225
coherence,390,0.88903314
coherence,400,0.66629106
coherence,410,0.72713274
coherence,420,0.86620176
coherence,430,0.70000631
coherence,440,1.24287713
coherence,450,0.79270262
coherence,460,0.76811278
coherence,470,0.86485457
coherence,480,0.80675322
coherence,490,0.87455392
coherence,500,0.75598902
coherence,502,0.82378214
coherence,510,0.8105396
coherence,520,0.78327268
coherence,530,0.60062563
coherence,540,0.57323503
coherence,550,0.75702989
coherence,560,0.8101424
coherence,570,0.70448428
coherence,580,0.81386173
coherence,590,0.75649089
coherence,600,0.89362329
coherence,610,1.09189844
coherence,620,0.7596873
coherence,630,0.86511564
coherence,640,0.71460009
coherence,650,0.92568517
coherence,660,0.70592165
coherence,670,0.79845643
coherence,680,0.85045952
coherence,690,1.00932777
coherence,700,0.72079027
coherence,710,0.77522856
coherence,720,0.63916516
coherence,730,0.89794844
coherence,740,0.78149903
coherence,750,1.15911579
coherence,753,0.79294226
