attribute,global_step,grad_norm
complexity,10,0.3359375
complexity,20,0.40039062
complexity,30,0.39648438
complexity,40,0.41015625
complexity,50,0.39257812
complexity,60,0.390625
complexity,70,0.35546875
complexity,80,0.328125
complexity,90,0.38476562
complexity,100,0.34765625
complexity,110,0.35742188
complexity,120,0.359375
complexity,130,0.3203125
complexity,140,0.38671875
complexity,150,0.38085938
complexity,160,0.32617188
complexity,170,0.38671875
complexity,180,0.32226562
complexity,190,0.31445312
complexity,200,0.2578125
complexity,210,0.359375
complexity,220,0.34765625
complexity,230,0.38085938
complexity,240,0.27929688
complexity,250,0.28125
complexity,251,0.3984375
complexity,260,0.28125
complexity,270,0.31054688
complexity,280,0.296875
complexity,290,0.359375
complexity,300,0.34375
complexity,310,0.36914062
complexity,320,0.41210938
complexity,330,0.3984375
complexity,340,0.38867188
complexity,350,0.375
complexity,360,0.359375
complexity,370,0.35546875
complexity,380,0.29101562
complexity,390,0.40234375
complexity,400,0.3828125
complexity,410,0.40429688
complexity,420,0.34570312
complexity,430,0.45117188
complexity,440,0.46484375
complexity,450,0.43554688
complexity,460,0.38085938
complexity,470,0.43359375
complexity,480,0.34179688
complexity,490,0.3046875
complexity,500,0.41015625
complexity,502,0.60546875
complexity,510,0.47460938
complexity,520,0.54296875
complexity,530,0.36132812
complexity,540,0.36523438
complexity,550,0.36132812
complexity,560,0.359375
complexity,570,0.48242188
complexity,580,0.4140625
complexity,590,0.41210938
complexity,600,0.47070312
complexity,610,0.43554688
complexity,620,0.43164062
complexity,630,0.46875
complexity,640,0.46289062
complexity,650,0.5625
complexity,660,0.3828125
complexity,670,0.5
complexity,680,0.421875
complexity,690,0.5078125
complexity,700,0.5625
complexity,710,0.3984375
complexity,720,0.48242188
complexity,730,0.48242188
complexity,740,0.453125
complexity,750,0.50390625
complexity,753,0.6015625
