attribute,global_step,learning_rate
complexity,10,2.22222222222e-05
complexity,20,4.44444444444e-05
complexity,30,6.66666666667e-05
complexity,40,8.88888888889e-05
complexity,50,9.99929119899e-05
complexity,60,9.9913197517e-05
complexity,70,9.97450660095e-05
complexity,80,9.94888484544e-05
complexity,90,9.91450492468e-05
complexity,100,9.87143451969e-05
complexity,110,9.81975841974e-05
complexity,120,9.75957835546e-05
complexity,130,9.69101279854e-05
complexity,140,9.61419672853e-05
complexity,150,9.52928136711e-05
complexity,160,9.43643388039e-05
complexity,170,9.33583704983e-05
complexity,180,9.22768891239e-05
complexity,190,9.11220237069e-05
complexity,200,8.98960477389e-05
complexity,210,8.86013747012e-05
complexity,220,8.72405533134e-05
complexity,230,8.58162625163e-05
complexity,240,8.43313061976e-05
complexity,250,8.27886076726e-05
complexity,251,8.26312779698e-05
complexity,260,8.1191203929e-05
complexity,270,7.95422396483e-05
complexity,280,7.78449610152e-05
complexity,290,7.6102709327e-05
complexity,300,7.43189144157e-05
complexity,310,7.24970878963e-05
complexity,320,7.06408162536e-05
complexity,330,6.87537537817e-05
complexity,340,6.68396153902e-05
complexity,350,6.4902169291e-05
complexity,360,6.29452295797e-05
complexity,370,6.09726487278e-05
complexity,380,5.8988309998e-05
complexity,390,5.69961198e-05
complexity,400,5.5e-05
complexity,410,5.30038802e-05
complexity,420,5.1011690002e-05
complexity,430,4.90273512722e-05
complexity,440,4.70547704203e-05
complexity,450,4.5097830709e-05
complexity,460,4.31603846098e-05
complexity,470,4.12462462183e-05
complexity,480,3.93591837464e-05
complexity,490,3.75029121037e-05
complexity,500,3.56810855843e-05
complexity,502,3.53211705794e-05
complexity,510,3.3897290673e-05
complexity,520,3.21550389848e-05
complexity,530,3.04577603517e-05
complexity,540,2.8808796071e-05
complexity,550,2.72113923274e-05
complexity,560,2.56686938024e-05
complexity,570,2.41837374837e-05
complexity,580,2.27594466866e-05
complexity,590,2.13986252988e-05
complexity,600,2.01039522611e-05
complexity,610,1.88779762931e-05
complexity,620,1.77231108761e-05
complexity,630,1.66416295017e-05
complexity,640,1.56356611961e-05
complexity,650,1.47071863289e-05
complexity,660,1.38580327147e-05
complexity,670,1.30898720146e-05
complexity,680,1.24042164454e-05
complexity,690,1.18024158026e-05
complexity,700,1.12856548031e-05
complexity,710,1.08549507532e-05
complexity,720,1.05111515456e-05
complexity,730,1.02549339905e-05
complexity,740,1.0086802483e-05
complexity,750,1.00070880101e-05
complexity,753,1.00004430115e-05
