attribute,global_step,train_loss
complexity,10,0.85811561
complexity,20,0.93394959
complexity,30,0.8915208
complexity,40,0.80485308
complexity,50,0.85559624
complexity,60,0.90466833
complexity,70,0.83573931
complexity,80,0.77473521
complexity,90,0.95870566
complexity,100,0.9202866
complexity,110,0.84037405
complexity,120,0.81814235
complexity,130,0.73924381
complexity,140,0.7304253
complexity,150,0.85241234
complexity,160,0.7412039
complexity,170,0.77626449
complexity,180,0.79607159
complexity,190,0.62513554
complexity,200,0.60418963
complexity,210,0.71222413
complexity,220,0.82418394
complexity,230,0.77599257
complexity,240,1.06104505
complexity,250,0.76578969
complexity,251,0.81474045
complexity,260,0.73735923
complexity,270,0.85951811
complexity,280,0.62397557
complexity,290,0.72929531
complexity,300,0.6971944
complexity,310,1.03661036
complexity,320,0.72233796
complexity,330,0.66296208
complexity,340,0.80643386
complexity,350,0.73695642
complexity,360,0.8405357
complexity,370,0.57460314
complexity,380,0.67391753
complexity,390,0.95758533
complexity,400,0.74548024
complexity,410,0.81951338
complexity,420,1.3846339
complexity,430,0.6946525
complexity,440,0.82661813
complexity,450,0.78466529
complexity,460,0.70252764
complexity,470,0.7902326
complexity,480,0.702398
complexity,490,0.60504413
complexity,500,0.94844389
complexity,502,0.76531346
complexity,510,0.72601044
complexity,520,0.82710928
complexity,530,0.61472106
complexity,540,0.68906701
complexity,550,0.61115175
complexity,560,0.65740991
complexity,570,0.71218669
complexity,580,0.89696318
complexity,590,0.66782135
complexity,600,0.69650155
complexity,610,0.81138128
complexity,620,0.96048689
complexity,630,0.83545202
complexity,640,0.7426787
complexity,650,0.92170095
complexity,660,0.52122611
complexity,670,0.74437624
complexity,680,0.70396596
complexity,690,0.70843518
complexity,700,0.77066541
complexity,710,0.73795605
complexity,720,0.77545112
complexity,730,0.77242184
complexity,740,0.85704118
complexity,750,0.67897516
complexity,753,0.73933365
