attribute,global_step,grad_norm
correctness,10,0.3203125
correctness,20,0.33984375
correctness,30,0.46679688
correctness,40,0.43554688
correctness,50,0.33203125
correctness,60,0.46679688
correctness,70,0.33789062
correctness,80,0.4453125
correctness,90,0.5078125
correctness,100,0.3515625
correctness,110,0.37695312
correctness,120,0.32226562
correctness,130,0.39257812
correctness,140,0.328125
correctness,150,0.45703125
correctness,160,0.42773438
correctness,170,0.4609375
correctness,180,0.328125
correctness,190,0.41210938
correctness,200,0.36914062
correctness,210,0.44140625
correctness,220,0.44140625
correctness,230,0.41992188
correctness,240,0.26757812
correctness,250,0.34765625
correctness,251,0.41796875
correctness,260,0.3671875
correctness,270,0.25976562
correctness,280,0.38476562
correctness,290,0.515625
correctness,300,0.39453125
correctness,310,0.27929688
correctness,320,0.40820312
correctness,330,0.421875
correctness,340,0.52734375
correctness,350,0.453125
correctness,360,0.640625
correctness,370,0.49609375
correctness,380,0.41601562
correctness,390,0.44726562
correctness,400,0.32421875
correctness,410,0.50390625
correctness,420,0.42773438
correctness,430,0.49023438
correctness,440,0.42578125
correctness,450,0.58984375
correctness,460,0.40429688
correctness,470,0.53515625
correctness,480,0.5234375
correctness,490,0.54296875
correctness,500,0.45703125
correctness,502,0.4765625
correctness,510,0.38085938
correctness,520,0.5
correctness,530,0.47460938
correctness,540,0.38476562
correctness,550,0.578125
correctness,560,0.37304688
correctness,570,0.48242188
correctness,580,0.55078125
correctness,590,0.4140625
correctness,600,0.51953125
correctness,610,0.39453125
correctness,620,0.45703125
correctness,630,0.40039062
correctness,640,0.69921875
correctness,650,0.48242188
correctness,660,0.6328125
correctness,670,0.42382812
correctness,680,0.546875
correctness,690,0.453125
correctness,700,0.4921875
correctness,710,0.5078125
correctness,720,0.48632812
correctness,730,0.48828125
correctness,740,0.51171875
correctness,750,0.53515625
correctness,753,0.39648438
