attribute,global_step,train_loss
correctness,10,0.88553882
correctness,20,0.81138289
correctness,30,1.06481302
correctness,40,0.8928315
correctness,50,0.97045445
correctness,60,0.82769018
correctness,70,0.84388179
correctness,80,0.75087935
correctness,90,1.15727258
correctness,100,1.05127573
correctness,110,0.7681033
correctness,120,0.81328833
correctness,130,0.93761784
correctness,140,0.85274529
correctness,150,0.85963219
correctness,160,0.84284002
correctness,170,1.12030518
correctness,180,0.8040269
correctness,190,1.29751897
correctness,200,0.78244722
correctness,210,1.03958452
correctness,220,0.75135863
correctness,230,0.81168437
correctness,240,0.85941976
correctness,250,0.76156682
correctness,251,0.895468
correctness,260,0.98643357
correctness,270,0.64403564
correctness,280,0.88006872
correctness,290,0.89960492
correctness,300,0.79506254
correctness,310,1.075418
correctness,320,0.89789456
correctness,330,0.76118702
correctness,340,0.80453467
correctness,350,0.86926281
correctness,360,0.90619695
correctness,370,0.83908677
correctness,380,0.73685831
correctness,390,0.81425554
correctness,400,0.6048376
correctness,410,0.62795025
correctness,420,1.03191769
correctness,430,0.70705003
correctness,440,0.77986312
correctness,450,0.79388505
correctness,460,0.77818274
correctness,470,0.88492209
correctness,480,0.82378066
correctness,490,1.14017689
correctness,500,0.79649055
correctness,502,0.84407427
correctness,510,0.58804989
correctness,520,0.77869397
correctness,530,0.66295904
correctness,540,1.01081753
correctness,550,0.86860502
correctness,560,0.95234454
correctness,570,1.14649987
correctness,580,0.77762401
correctness,590,0.77514231
correctness,600,0.71342975
correctness,610,0.76518375
correctness,620,0.76772314
correctness,630,0.66783744
correctness,640,1.02002263
correctness,650,1.15268755
correctness,660,0.83714128
correctness,670,0.81003773
correctness,680,0.84679365
correctness,690,0.74750203
correctness,700,0.77898204
correctness,710,0.64244002
correctness,720,0.73470277
correctness,730,0.69653982
correctness,740,0.7841422
correctness,750,0.92147744
correctness,753,0.81498913
