attribute,global_step,grad_norm
helpfulness,10,0.3359375
helpfulness,20,0.35351562
helpfulness,30,0.36132812
helpfulness,40,0.5546875
helpfulness,50,0.38867188
helpfulness,60,0.37695312
helpfulness,70,0.35546875
helpfulness,80,0.33007812
helpfulness,90,0.46679688
helpfulness,100,0.41601562
helpfulness,110,0.43554688
helpfulness,120,0.42578125
helpfulness,130,0.41601562
helpfulness,140,0.44726562
helpfulness,150,0.58203125
helpfulness,160,0.33203125
helpfulness,170,0.32617188
helpfulness,180,0.37304688
helpfulness,190,0.40234375
helpfulness,200,0.33398438
helpfulness,210,0.44140625
helpfulness,220,0.3828125
helpfulness,230,0.46679688
helpfulness,240,0.51953125
helpfulness,250,0.4609375
helpfulness,251,0.28710938
helpfulness,260,0.34179688
helpfulness,270,0.44921875
helpfulness,280,0.33203125
helpfulness,290,0.390625
helpfulness,300,0.390625
helpfulness,310,0.5625
helpfulness,320,0.45703125
helpfulness,330,0.43945312
helpfulness,340,0.3984375
helpfulness,350,0.38476562
helpfulness,360,0.40429688
helpfulness,370,0.53515625
helpfulness,380,0.42382812
helpfulness,390,0.578125
helpfulness,400,0.39453125
helpfulness,410,0.515625
helpfulness,420,0.47851562
helpfulness,430,0.45703125
helpfulness,440,0.43554688
helpfulness,450,0.51171875
helpfulness,460,0.53515625
helpfulness,470,0.51171875
helpfulness,480,0.46484375
helpfulness,490,0.41210938
helpfulness,500,0.5078125
helpfulness,502,0.58984375
helpfulness,510,0.55859375
helpfulness,520,0.43554688
helpfulness,530,0.56640625
helpfulness,540,0.52734375
helpfulness,550,0.47070312
helpfulness,560,0.42382812
helpfulness,570,0.5
helpfulness,580,0.51953125
helpfulness,590,0.41015625
helpfulness,600,0.35742188
helpfulness,610,0.53515625
helpfulness,620,0.48046875
helpfulness,630,0.44335938
helpfulness,640,0.484375
helpfulness,650,0.50390625
helpfulness,660,0.58203125
helpfulness,670,0.5078125
helpfulness,680,0.515625
helpfulness,690,0.671875
helpfulness,700,0.46484375
helpfulness,710,0.53125
helpfulness,720,0.46875
helpfulness,730,0.5859375
helpfulness,740,0.515625
helpfulness,750,0.43359375
helpfulness,753,0.69921875
