attribute,global_step,train_loss
helpfulness,10,0.9611603
helpfulness,20,1.08324933
helpfulness,30,0.96698689
helpfulness,40,1.2804116
helpfulness,50,0.92751932
helpfulness,60,0.72612721
helpfulness,70,0.89349365
helpfulness,80,0.68395531
helpfulness,90,0.95421487
helpfulness,100,0.89352733
helpfulness,110,0.87425113
helpfulness,120,0.88655722
helpfulness,130,0.72233534
helpfulness,140,1.20254672
helpfulness,150,0.87527812
helpfulness,160,0.99380219
helpfulness,170,0.86502486
helpfulness,180,1.02496541
helpfulness,190,0.84629345
helpfulness,200,0.86202997
helpfulness,210,0.83055305
helpfulness,220,0.84558737
helpfulness,230,1.02146673
helpfulness,240,1.43405902
helpfulness,250,0.85262334
helpfulness,251,0.88661203
helpfulness,260,0.92691427
helpfulness,270,1.03365278
helpfulness,280,0.8218199
helpfulness,290,0.69751167
helpfulness,300,0.7624712
helpfulness,310,0.80935466
helpfulness,320,0.92674166
helpfulness,330,0.73282325
helpfulness,340,0.92819673
helpfulness,350,1.15103674
helpfulness,360,0.82031178
helpfulness,370,0.9396562
helpfulness,380,0.81623799
helpfulness,390,0.98203498
helpfulness,400,0.75464976
helpfulness,410,0.7904321
helpfulness,420,0.93792534
helpfulness,430,0.69068104
helpfulness,440,0.81670403
helpfulness,450,0.69088775
helpfulness,460,1.00524032
helpfulness,470,0.72309899
helpfulness,480,0.96230495
helpfulness,490,0.83684886
helpfulness,500,0.77209002
helpfulness,502,0.83184137
helpfulness,510,0.89115864
helpfulness,520,0.64670622
helpfulness,530,0.70969993
helpfulness,540,0.74362671
helpfulness,550,0.81928229
helpfulness,560,0.79887283
helpfulness,570,0.65484083
helpfulness,580,0.84783375
helpfulness,590,0.78550363
helpfulness,600,0.70435488
helpfulness,610,0.95581198
helpfulness,620,0.84071088
helpfulness,630,0.75164342
helpfulness,640,0.71902978
helpfulness,650,0.80667531
helpfulness,660,0.71035314
helpfulness,670,0.96393239
helpfulness,680,0.65457922
helpfulness,690,0.87480301
helpfulness,700,0.71501112
helpfulness,710,0.78388673
helpfulness,720,0.71505243
helpfulness,730,0.8601234
helpfulness,740,0.74820024
helpfulness,750,1.00036538
helpfulness,753,0.79905423
