attribute_a,attribute_b,overlap_count,overlap_percent,size_a,size_b
helpfulness,helpfulness,1918,100.000000,1918,1918
helpfulness,correctness,534,27.841502,1918,1914
helpfulness,coherence,385,20.072993,1918,1911
helpfulness,complexity,288,15.015641,1918,1347
helpfulness,verbosity,349,18.196038,1918,1892
correctness,helpfulness,534,27.899687,1914,1918
correctness,correctness,1914,100.000000,1914,1914
correctness,coherence,393,20.532915,1914,1911
correctness,complexity,317,16.562173,1914,1347
correctness,verbosity,367,19.174504,1914,1892
coherence,helpfulness,385,20.146520,1911,1918
coherence,correctness,393,20.565149,1911,1914
coherence,coherence,1911,100.000000,1911,1911
coherence,complexity,242,12.663527,1911,1347
coherence,verbosity,351,18.367347,1911,1892
complexity,helpfulness,288,21.380846,1347,1918
complexity,correctness,317,23.533779,1347,1914
complexity,coherence,242,17.965850,1347,1911
complexity,complexity,1347,100.000000,1347,1347
complexity,verbosity,352,26.132146,1347,1892
verbosity,helpfulness,349,18.446089,1892,1918
verbosity,correctness,367,19.397463,1892,1914
verbosity,coherence,351,18.551797,1892,1911
verbosity,complexity,352,18.604651,1892,1347
verbosity,verbosity,1892,100.000000,1892,1892
