attribute,global_step,grad_norm
helpfulness,10,0.3359375
helpfulness,20,0.35351562
helpfulness,30,0.36132812
helpfulness,40,0.5546875
helpfulness,50,0.38867188
helpfulness,60,0.37695312
helpfulness,70,0.35546875
helpfulness,80,0.33007812
helpfulness,90,0.46679688
helpfulness,100,0.41601562
helpfulness,110,0.43554688
helpfulness,120,0.42578125
helpfulness,130,0.41601562
helpfulness,140,0.44726562
helpfulness,150,0.58203125
helpfulness,160,0.33203125
helpfulness,170,0.32617188
helpfulness,180,0.37304688
helpfulness,190,0.40234375
helpfulness,200,0.33398438
helpfulness,210,0.44140625
helpfulness,220,0.3828125
helpfulness,230,0.46679688
helpfulness,240,0.51953125
helpfulness,250,0.4609375
helpfulness,251,0.28710938
helpfulness,260,0.34179688
helpfulness,270,0.44921875
helpfulness,280,0.33203125
helpfulness,290,0.390625
helpfulness,300,0.390625
helpfulness,310,0.5625
helpfulness,320,0.45703125
helpfulness,330,0.43945312
helpfulness,340,0.3984375
helpfulness,350,0.38476562
helpfulness,360,0.40429688
helpfulness,370,0.53515625
helpfulness,380,0.42382812
helpfulness,390,0.578125
helpfulness,400,0.39453125
helpfulness,410,0.515625
helpfulness,420,0.47851562
helpfulness,430,0.45703125
helpfulness,440,0.43554688
helpfulness,450,0.51171875
helpfulness,460,0.53515625
helpfulness,470,0.51171875
helpfulness,480,0.46484375
helpfulness,490,0.41210938
helpfulness,500,0.5078125
helpfulness,502,0.58984375
helpfulness,510,0.55859375
helpfulness,520,0.43554688
helpfulness,530,0.56640625
helpfulness,540,0.52734375
helpfulness,550,0.47070312
helpfulness,560,0.42382812
helpfulness,570,0.5
helpfulness,580,0.51953125
helpfulness,590,0.41015625
helpfulness,600,0.35742188
helpfulness,610,0.53515625
helpfulness,620,0.48046875
helpfulness,630,0.44335938
helpfulness,640,0.484375
helpfulness,650,0.50390625
helpfulness,660,0.58203125
helpfulness,670,0.5078125
helpfulness,680,0.515625
helpfulness,690,0.671875
helpfulness,700,0.46484375
helpfulness,710,0.53125
helpfulness,720,0.46875
helpfulness,730,0.5859375
helpfulness,740,0.515625
helpfulness,750,0.43359375
helpfulness,753,0.69921875
correctness,10,0.3203125
correctness,20,0.33984375
correctness,30,0.46679688
correctness,40,0.43554688
correctness,50,0.33203125
correctness,60,0.46679688
correctness,70,0.33789062
correctness,80,0.4453125
correctness,90,0.5078125
correctness,100,0.3515625
correctness,110,0.37695312
correctness,120,0.32226562
correctness,130,0.39257812
correctness,140,0.328125
correctness,150,0.45703125
correctness,160,0.42773438
correctness,170,0.4609375
correctness,180,0.328125
correctness,190,0.41210938
correctness,200,0.36914062
correctness,210,0.44140625
correctness,220,0.44140625
correctness,230,0.41992188
correctness,240,0.26757812
correctness,250,0.34765625
correctness,251,0.41796875
correctness,260,0.3671875
correctness,270,0.25976562
correctness,280,0.38476562
correctness,290,0.515625
correctness,300,0.39453125
correctness,310,0.27929688
correctness,320,0.40820312
correctness,330,0.421875
correctness,340,0.52734375
correctness,350,0.453125
correctness,360,0.640625
correctness,370,0.49609375
correctness,380,0.41601562
correctness,390,0.44726562
correctness,400,0.32421875
correctness,410,0.50390625
correctness,420,0.42773438
correctness,430,0.49023438
correctness,440,0.42578125
correctness,450,0.58984375
correctness,460,0.40429688
correctness,470,0.53515625
correctness,480,0.5234375
correctness,490,0.54296875
correctness,500,0.45703125
correctness,502,0.4765625
correctness,510,0.38085938
correctness,520,0.5
correctness,530,0.47460938
correctness,540,0.38476562
correctness,550,0.578125
correctness,560,0.37304688
correctness,570,0.48242188
correctness,580,0.55078125
correctness,590,0.4140625
correctness,600,0.51953125
correctness,610,0.39453125
correctness,620,0.45703125
correctness,630,0.40039062
correctness,640,0.69921875
correctness,650,0.48242188
correctness,660,0.6328125
correctness,670,0.42382812
correctness,680,0.546875
correctness,690,0.453125
correctness,700,0.4921875
correctness,710,0.5078125
correctness,720,0.48632812
correctness,730,0.48828125
correctness,740,0.51171875
correctness,750,0.53515625
correctness,753,0.39648438
coherence,10,0.328125
coherence,20,0.35351562
coherence,30,0.39648438
coherence,40,0.48242188
coherence,50,0.4453125
coherence,60,0.41992188
coherence,70,0.3125
coherence,80,0.34765625
coherence,90,0.32421875
coherence,100,0.390625
coherence,110,0.41210938
coherence,120,0.36914062
coherence,130,0.34570312
coherence,140,0.53125
coherence,150,0.37304688
coherence,160,0.37695312
coherence,170,0.484375
coherence,180,0.34960938
coherence,190,0.31054688
coherence,200,0.34375
coherence,210,0.421875
coherence,220,0.44335938
coherence,230,0.32226562
coherence,240,0.375
coherence,250,0.40625
coherence,251,0.40234375
coherence,260,0.32421875
coherence,270,0.34570312
coherence,280,0.41992188
coherence,290,0.36328125
coherence,300,0.40429688
coherence,310,0.4453125
coherence,320,0.41992188
coherence,330,0.42773438
coherence,340,0.45703125
coherence,350,0.5234375
coherence,360,0.31640625
coherence,370,0.44921875
coherence,380,0.33007812
coherence,390,0.51953125
coherence,400,0.3828125
coherence,410,0.56640625
coherence,420,0.43945312
coherence,430,0.56640625
coherence,440,0.41601562
coherence,450,0.4375
coherence,460,0.515625
coherence,470,0.44140625
coherence,480,0.34570312
coherence,490,0.5078125
coherence,500,0.47460938
coherence,502,0.5859375
coherence,510,0.33789062
coherence,520,0.50390625
coherence,530,0.44140625
coherence,540,0.44335938
coherence,550,0.5546875
coherence,560,0.5
coherence,570,0.37890625
coherence,580,0.44726562
coherence,590,0.3984375
coherence,600,0.50390625
coherence,610,0.45507812
coherence,620,0.53125
coherence,630,0.46679688
coherence,640,0.40429688
coherence,650,0.43359375
coherence,660,0.45898438
coherence,670,0.47070312
coherence,680,0.609375
coherence,690,0.515625
coherence,700,0.46289062
coherence,710,0.4609375
coherence,720,0.47070312
coherence,730,0.40429688
coherence,740,0.5625
coherence,750,0.41601562
coherence,753,0.86328125
complexity,10,0.3359375
complexity,20,0.40039062
complexity,30,0.39648438
complexity,40,0.41015625
complexity,50,0.39257812
complexity,60,0.390625
