attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
coherence,10,0.039900,0.92048973,,2.22222222222e-05,0.32812500,2026-07-01T10:34:42.236293+00:00
coherence,10,0.039900,0.88064462,0.94883635,2.22222222222e-05,0.32812500,2026-07-01T10:35:00.573403+00:00
coherence,20,0.079800,0.97159904,,4.44444444444e-05,0.35351562,2026-07-01T10:35:09.405474+00:00
coherence,20,0.079800,0.90464413,0.93906033,4.44444444444e-05,0.35351562,2026-07-01T10:35:27.148362+00:00
coherence,30,0.119701,1.01890312,,6.66666666667e-05,0.39648438,2026-07-01T10:35:36.146058+00:00
coherence,30,0.119701,0.97644293,0.91068266,6.66666666667e-05,0.39648438,2026-07-01T10:35:53.899972+00:00
coherence,40,0.159601,0.87173197,,8.88888888889e-05,0.48242188,2026-07-01T10:36:02.165938+00:00
coherence,40,0.159601,0.88309556,0.88916954,8.88888888889e-05,0.48242188,2026-07-01T10:36:19.908552+00:00
coherence,50,0.199501,0.87741940,,9.99929119899e-05,0.44531250,2026-07-01T10:36:28.070251+00:00
coherence,50,0.199501,1.00639307,0.87978384,9.99929119899e-05,0.44531250,2026-07-01T10:36:45.823614+00:00
coherence,60,0.239401,0.91147819,,9.9913197517e-05,0.41992188,2026-07-01T10:36:53.105039+00:00
coherence,60,0.239401,0.95484912,0.87318855,9.9913197517e-05,0.41992188,2026-07-01T10:37:10.860811+00:00
coherence,70,0.279302,0.82340671,,9.97450660095e-05,0.31250000,2026-07-01T10:37:20.307549+00:00
coherence,70,0.279302,0.89211041,0.86988695,9.97450660095e-05,0.31250000,2026-07-01T10:37:38.062240+00:00
coherence,80,0.319202,0.79281382,,9.94888484544e-05,0.34765625,2026-07-01T10:37:47.111015+00:00
coherence,80,0.319202,0.67753774,0.86704594,9.94888484544e-05,0.34765625,2026-07-01T10:38:04.865750+00:00
coherence,90,0.359102,0.80597412,,9.91450492468e-05,0.32421875,2026-07-01T10:38:14.051070+00:00
coherence,90,0.359102,0.73725539,0.86528947,9.91450492468e-05,0.32421875,2026-07-01T10:38:31.799890+00:00
coherence,100,0.399002,0.86020617,,9.87143451969e-05,0.39062500,2026-07-01T10:38:39.850373+00:00
coherence,100,0.399002,0.89950603,0.86390872,9.87143451969e-05,0.39062500,2026-07-01T10:38:57.608885+00:00
coherence,110,0.438903,0.82557931,,9.81975841974e-05,0.41210938,2026-07-01T10:39:06.958947+00:00
coherence,110,0.438903,0.65107667,0.86286762,9.81975841974e-05,0.41210938,2026-07-01T10:39:24.723339+00:00
coherence,120,0.478803,0.85306577,,9.75957835546e-05,0.36914062,2026-07-01T10:39:31.554954+00:00
