attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
complexity,10,0.039900,0.88896717,,2.22222222222e-05,0.33593750,2026-07-01T11:07:58.601107+00:00
complexity,10,0.039900,0.85811561,0.92604199,2.22222222222e-05,0.33593750,2026-07-01T11:08:15.709158+00:00
complexity,20,0.079800,0.87471681,,4.44444444444e-05,0.40039062,2026-07-01T11:08:23.574313+00:00
complexity,20,0.079800,0.93394959,0.91674599,4.44444444444e-05,0.40039062,2026-07-01T11:08:40.134913+00:00
complexity,30,0.119701,0.82088507,,6.66666666667e-05,0.39648438,2026-07-01T11:08:48.513483+00:00
complexity,30,0.119701,0.89152080,0.89200642,6.66666666667e-05,0.39648438,2026-07-01T11:09:05.067805+00:00
complexity,40,0.159601,0.81929411,,8.88888888889e-05,0.41015625,2026-07-01T11:09:14.869284+00:00
complexity,40,0.159601,0.80485308,0.87410935,8.88888888889e-05,0.41015625,2026-07-01T11:09:31.425806+00:00
complexity,50,0.199501,0.88035249,,9.99929119899e-05,0.39257812,2026-07-01T11:09:40.331982+00:00
complexity,50,0.199501,0.85559624,0.86555192,9.99929119899e-05,0.39257812,2026-07-01T11:09:56.883852+00:00
complexity,60,0.239401,0.78823099,,9.9913197517e-05,0.39062500,2026-07-01T11:10:06.841321+00:00
complexity,60,0.239401,0.90466833,0.86058865,9.9913197517e-05,0.39062500,2026-07-01T11:10:23.387489+00:00
complexity,70,0.279302,0.76622991,,9.97450660095e-05,0.35546875,2026-07-01T11:10:34.418206+00:00
complexity,70,0.279302,0.83573931,0.85800420,9.97450660095e-05,0.35546875,2026-07-01T11:10:50.965711+00:00
complexity,80,0.319202,0.82089254,,9.94888484544e-05,0.32812500,2026-07-01T11:10:59.100187+00:00
complexity,80,0.319202,0.77473521,0.85603430,9.94888484544e-05,0.32812500,2026-07-01T11:11:15.648082+00:00
complexity,90,0.359102,0.81293557,,9.91450492468e-05,0.38476562,2026-07-01T11:11:24.373847+00:00
complexity,90,0.359102,0.95870566,0.85511986,9.91450492468e-05,0.38476562,2026-07-01T11:11:40.926145+00:00
complexity,100,0.399002,0.86324632,,9.87143451969e-05,0.34765625,2026-07-01T11:11:50.864550+00:00
complexity,100,0.399002,0.92028660,0.85388188,9.87143451969e-05,0.34765625,2026-07-01T11:12:07.411259+00:00
complexity,110,0.438903,0.75146487,,9.81975841974e-05,0.35742188,2026-07-01T11:12:17.626964+00:00
complexity,110,0.438903,0.84037405,0.85287643,9.81975841974e-05,0.35742188,2026-07-01T11:12:34.158701+00:00
complexity,120,0.478803,0.79970295,,9.75957835546e-05,0.35937500,2026-07-01T11:12:43.381877+00:00
complexity,120,0.478803,0.81814235,0.85237806,9.75957835546e-05,0.35937500,2026-07-01T11:12:59.926778+00:00
complexity,130,0.518703,0.80426205,,9.69101279854e-05,0.32031250,2026-07-01T11:13:11.470385+00:00
complexity,130,0.518703,0.73924381,0.85136701,9.69101279854e-05,0.32031250,2026-07-01T11:13:28.012471+00:00
complexity,140,0.558603,0.78652350,,9.61419672853e-05,0.38671875,2026-07-01T11:13:37.482889+00:00
complexity,140,0.558603,0.73042530,0.85063334,9.61419672853e-05,0.38671875,2026-07-01T11:13:54.027596+00:00
complexity,150,0.598504,0.81972742,,9.52928136711e-05,0.38085938,2026-07-01T11:14:04.063444+00:00
complexity,150,0.598504,0.85241234,0.84984439,9.52928136711e-05,0.38085938,2026-07-01T11:14:20.616185+00:00
complexity,160,0.638404,0.83731001,,9.43643388039e-05,0.32617188,2026-07-01T11:14:28.999150+00:00
complexity,160,0.638404,0.74120390,0.84968300,9.43643388039e-05,0.32617188,2026-07-01T11:14:45.524833+00:00
complexity,170,0.678304,0.81332354,,9.33583704983e-05,0.38671875,2026-07-01T11:14:55.412356+00:00
complexity,170,0.678304,0.77626449,0.84929471,9.33583704983e-05,0.38671875,2026-07-01T11:15:11.958682+00:00
