attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
correctness,10,0.039900,0.93550451,,2.22222222222e-05,0.32031250,2026-07-01T10:08:51.007385+00:00
correctness,10,0.039900,0.88553882,0.95954652,2.22222222222e-05,0.32031250,2026-07-01T10:09:03.841738+00:00
correctness,20,0.079800,0.94767849,,4.44444444444e-05,0.33984375,2026-07-01T10:09:11.455862+00:00
correctness,20,0.079800,0.81138289,0.95022236,4.44444444444e-05,0.33984375,2026-07-01T10:09:23.909432+00:00
correctness,30,0.119701,0.99750615,,6.66666666667e-05,0.46679688,2026-07-01T10:09:30.836018+00:00
correctness,30,0.119701,1.06481302,0.92368169,6.66666666667e-05,0.46679688,2026-07-01T10:09:43.281089+00:00
correctness,40,0.159601,0.88184955,,8.88888888889e-05,0.43554688,2026-07-01T10:09:50.989209+00:00
correctness,40,0.159601,0.89283150,0.90393415,8.88888888889e-05,0.43554688,2026-07-01T10:10:03.437124+00:00
correctness,50,0.199501,0.96093463,,9.99929119899e-05,0.33203125,2026-07-01T10:10:11.985223+00:00
correctness,50,0.199501,0.97045445,0.89625775,9.99929119899e-05,0.33203125,2026-07-01T10:10:24.443658+00:00
correctness,60,0.239401,0.88601431,,9.9913197517e-05,0.46679688,2026-07-01T10:10:32.781885+00:00
correctness,60,0.239401,0.82769018,0.89036248,9.9913197517e-05,0.46679688,2026-07-01T10:10:45.284473+00:00
correctness,70,0.279302,0.90171424,,9.97450660095e-05,0.33789062,2026-07-01T10:10:53.604568+00:00
correctness,70,0.279302,0.84388179,0.88670263,9.97450660095e-05,0.33789062,2026-07-01T10:11:06.107530+00:00
correctness,80,0.319202,0.86188564,,9.94888484544e-05,0.44531250,2026-07-01T10:11:13.562792+00:00
correctness,80,0.319202,0.75087935,0.88466562,9.94888484544e-05,0.44531250,2026-07-01T10:11:26.069877+00:00
correctness,90,0.359102,0.87419135,,9.91450492468e-05,0.50781250,2026-07-01T10:11:32.741809+00:00
correctness,90,0.359102,1.15727258,0.88390574,9.91450492468e-05,0.50781250,2026-07-01T10:11:45.213406+00:00
correctness,100,0.399002,0.91603565,,9.87143451969e-05,0.35156250,2026-07-01T10:11:52.764869+00:00
correctness,100,0.399002,1.05127573,0.88260987,9.87143451969e-05,0.35156250,2026-07-01T10:12:05.266156+00:00
correctness,110,0.438903,0.90585955,,9.81975841974e-05,0.37695312,2026-07-01T10:12:12.324904+00:00
correctness,110,0.438903,0.76810330,0.88115905,9.81975841974e-05,0.37695312,2026-07-01T10:12:24.819983+00:00
correctness,120,0.478803,0.88341308,,9.75957835546e-05,0.32226562,2026-07-01T10:12:34.015673+00:00
correctness,120,0.478803,0.81328833,0.88044324,9.75957835546e-05,0.32226562,2026-07-01T10:12:46.492685+00:00
correctness,130,0.518703,0.88027617,,9.69101279854e-05,0.39257812,2026-07-01T10:12:55.379055+00:00
