attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
helpfulness,10,0.039900,0.91467870,,2.22222222222e-05,0.33593750,2026-07-01T09:44:27.368204+00:00
helpfulness,10,0.039900,0.96116030,0.96059914,2.22222222222e-05,0.33593750,2026-07-01T09:44:38.878463+00:00
helpfulness,20,0.079800,0.91187293,,4.44444444444e-05,0.35351562,2026-07-01T09:44:47.095260+00:00
helpfulness,20,0.079800,1.08324933,0.95140218,4.44444444444e-05,0.35351562,2026-07-01T09:44:58.279202+00:00
helpfulness,30,0.119701,0.86359640,,6.66666666667e-05,0.36132812,2026-07-01T09:45:07.167420+00:00
helpfulness,30,0.119701,0.96698689,0.92431733,6.66666666667e-05,0.36132812,2026-07-01T09:45:18.348436+00:00
helpfulness,40,0.159601,0.92285054,,8.88888888889e-05,0.55468750,2026-07-01T09:45:26.280696+00:00
helpfulness,40,0.159601,1.28041160,0.90607932,8.88888888889e-05,0.55468750,2026-07-01T09:45:37.460894+00:00
helpfulness,50,0.199501,0.86735578,,9.99929119899e-05,0.38867188,2026-07-01T09:45:45.087093+00:00
helpfulness,50,0.199501,0.92751932,0.89651265,9.99929119899e-05,0.38867188,2026-07-01T09:45:56.271135+00:00
helpfulness,60,0.239401,0.85001018,,9.9913197517e-05,0.37695312,2026-07-01T09:46:05.943617+00:00
helpfulness,60,0.239401,0.72612721,0.89193828,9.9913197517e-05,0.37695312,2026-07-01T09:46:17.135628+00:00
helpfulness,70,0.279302,0.90670817,,9.97450660095e-05,0.35546875,2026-07-01T09:46:25.083360+00:00
helpfulness,70,0.279302,0.89349365,0.88849027,9.97450660095e-05,0.35546875,2026-07-01T09:46:36.274050+00:00
helpfulness,80,0.319202,0.91977699,,9.94888484544e-05,0.33007812,2026-07-01T09:46:45.295531+00:00
helpfulness,80,0.319202,0.68395531,0.88646292,9.94888484544e-05,0.33007812,2026-07-01T09:46:56.481476+00:00
helpfulness,90,0.359102,0.86780899,,9.91450492468e-05,0.46679688,2026-07-01T09:47:06.424179+00:00
helpfulness,90,0.359102,0.95421487,0.88491018,9.91450492468e-05,0.46679688,2026-07-01T09:47:17.611366+00:00
helpfulness,100,0.399002,0.88214842,,9.87143451969e-05,0.41601562,2026-07-01T09:47:26.498563+00:00
helpfulness,100,0.399002,0.89352733,0.88488061,9.87143451969e-05,0.41601562,2026-07-01T09:47:37.686749+00:00
helpfulness,110,0.438903,0.98239608,,9.81975841974e-05,0.43554688,2026-07-01T09:47:44.732605+00:00
helpfulness,110,0.438903,0.87425113,0.88408629,9.81975841974e-05,0.43554688,2026-07-01T09:47:55.921607+00:00
helpfulness,120,0.478803,0.90929956,,9.75957835546e-05,0.42578125,2026-07-01T09:48:02.259403+00:00
helpfulness,120,0.478803,0.88655722,0.88159851,9.75957835546e-05,0.42578125,2026-07-01T09:48:13.451601+00:00
helpfulness,130,0.518703,0.94480553,,9.69101279854e-05,0.41601562,2026-07-01T09:48:20.735771+00:00
helpfulness,130,0.518703,0.72233534,0.88046855,9.69101279854e-05,0.41601562,2026-07-01T09:48:31.927754+00:00
helpfulness,140,0.558603,0.96089966,,9.61419672853e-05,0.44726562,2026-07-01T09:48:38.922540+00:00
helpfulness,140,0.558603,1.20254672,0.87994713,9.61419672853e-05,0.44726562,2026-07-01T09:48:50.117877+00:00
helpfulness,150,0.598504,0.82354380,,9.52928136711e-05,0.58203125,2026-07-01T09:48:57.880991+00:00
helpfulness,150,0.598504,0.87527812,0.87915352,9.52928136711e-05,0.58203125,2026-07-01T09:49:09.076744+00:00
helpfulness,160,0.638404,0.92049170,,9.43643388039e-05,0.33203125,2026-07-01T09:49:17.404556+00:00
helpfulness,160,0.638404,0.99380219,0.87871300,9.43643388039e-05,0.33203125,2026-07-01T09:49:28.596349+00:00
helpfulness,170,0.678304,0.85555777,,9.33583704983e-05,0.32617188,2026-07-01T09:49:36.650324+00:00
helpfulness,170,0.678304,0.86502486,0.87787171,9.33583704983e-05,0.32617188,2026-07-01T09:49:47.848237+00:00
helpfulness,180,0.718204,0.85800194,,9.22768891239e-05,0.37304688,2026-07-01T09:49:55.294092+00:00
helpfulness,180,0.718204,1.02496541,0.87776168,9.22768891239e-05,0.37304688,2026-07-01T09:50:06.482923+00:00
helpfulness,190,0.758105,0.81825768,,9.11220237069e-05,0.40234375,2026-07-01T09:50:15.515942+00:00
helpfulness,190,0.758105,0.84629345,0.87706205,9.11220237069e-05,0.40234375,2026-07-01T09:50:26.708647+00:00
helpfulness,200,0.798005,0.84623448,,8.98960477389e-05,0.33398438,2026-07-01T09:50:35.004551+00:00
helpfulness,200,0.798005,0.86202997,0.87661511,8.98960477389e-05,0.33398438,2026-07-01T09:50:46.196909+00:00
helpfulness,210,0.837905,0.84277971,,8.86013747012e-05,0.44140625,2026-07-01T09:50:55.578353+00:00
helpfulness,210,0.837905,0.83055305,0.87601294,8.86013747012e-05,0.44140625,2026-07-01T09:51:06.770482+00:00
helpfulness,220,0.877805,0.88078272,,8.72405533134e-05,0.38281250,2026-07-01T09:51:15.116808+00:00
helpfulness,220,0.877805,0.84558737,0.87532549,8.72405533134e-05,0.38281250,2026-07-01T09:51:26.307798+00:00
helpfulness,230,0.917706,0.86272132,,8.58162625163e-05,0.46679688,2026-07-01T09:51:34.483760+00:00
helpfulness,230,0.917706,1.02146673,0.87526699,8.58162625163e-05,0.46679688,2026-07-01T09:51:45.677152+00:00
helpfulness,240,0.957606,0.91200003,,8.43313061976e-05,0.51953125,2026-07-01T09:51:54.722796+00:00
helpfulness,240,0.957606,1.43405902,0.87496653,8.43313061976e-05,0.51953125,2026-07-01T09:52:05.911465+00:00
helpfulness,250,0.997506,0.82340974,,8.27886076726e-05,0.46093750,2026-07-01T09:52:14.212129+00:00
helpfulness,250,0.997506,0.85262334,0.87464101,8.27886076726e-05,0.46093750,2026-07-01T09:52:25.409657+00:00
helpfulness,251,1.000000,0.88661203,0.87462876,8.26312779698e-05,0.28710938,2026-07-01T09:52:37.857091+00:00
helpfulness,260,1.035910,0.91026668,,8.1191203929e-05,0.34179688,2026-07-01T09:52:45.984037+00:00
helpfulness,260,1.035910,0.92691427,0.87450978,8.1191203929e-05,0.34179688,2026-07-01T09:52:57.178192+00:00
helpfulness,270,1.075810,0.83344049,,7.95422396483e-05,0.44921875,2026-07-01T09:53:05.646596+00:00
helpfulness,270,1.075810,1.03365278,0.87423250,7.95422396483e-05,0.44921875,2026-07-01T09:53:16.842928+00:00
helpfulness,280,1.115711,0.78762254,,7.78449610152e-05,0.33203125,2026-07-01T09:53:24.763800+00:00
helpfulness,280,1.115711,0.82181990,0.87360920,7.78449610152e-05,0.33203125,2026-07-01T09:53:35.961253+00:00
helpfulness,290,1.155611,0.76634027,,7.6102709327e-05,0.39062500,2026-07-01T09:53:43.002355+00:00
helpfulness,290,1.155611,0.69751167,0.87446689,7.6102709327e-05,0.39062500,2026-07-01T09:53:54.199428+00:00
helpfulness,300,1.195511,0.82080826,,7.43189144157e-05,0.39062500,2026-07-01T09:54:01.693503+00:00
helpfulness,300,1.195511,0.76247120,0.87479840,7.43189144157e-05,0.39062500,2026-07-01T09:54:12.897865+00:00
helpfulness,310,1.235411,0.80053947,,7.24970878963e-05,0.56250000,2026-07-01T09:54:19.369272+00:00
helpfulness,310,1.235411,0.80935466,0.87454508,7.24970878963e-05,0.56250000,2026-07-01T09:54:30.574303+00:00
helpfulness,320,1.275312,0.83320181,,7.06408162536e-05,0.45703125,2026-07-01T09:54:38.948974+00:00
helpfulness,320,1.275312,0.92674166,0.87391056,7.06408162536e-05,0.45703125,2026-07-01T09:54:50.145691+00:00
helpfulness,330,1.315212,0.86751835,,6.87537537817e-05,0.43945312,2026-07-01T09:54:57.662489+00:00
helpfulness,330,1.315212,0.73282325,0.87429786,6.87537537817e-05,0.43945312,2026-07-01T09:55:08.859285+00:00
helpfulness,340,1.355112,0.79520999,,6.68396153902e-05,0.39843750,2026-07-01T09:55:16.886250+00:00
helpfulness,340,1.355112,0.92819673,0.87411458,6.68396153902e-05,0.39843750,2026-07-01T09:55:28.080187+00:00
helpfulness,350,1.395012,0.90642447,,6.4902169291e-05,0.38476562,2026-07-01T09:55:35.993622+00:00
helpfulness,350,1.395012,1.15103674,0.87360922,6.4902169291e-05,0.38476562,2026-07-01T09:55:47.206978+00:00
helpfulness,360,1.434913,0.84578522,,6.29452295797e-05,0.40429688,2026-07-01T09:55:54.626475+00:00
helpfulness,360,1.434913,0.82031178,0.87393369,6.29452295797e-05,0.40429688,2026-07-01T09:56:05.830485+00:00
helpfulness,370,1.474813,0.86788918,,6.09726487278e-05,0.53515625,2026-07-01T09:56:14.386062+00:00
helpfulness,370,1.474813,0.93965620,0.87439332,6.09726487278e-05,0.53515625,2026-07-01T09:56:25.583046+00:00
helpfulness,380,1.514713,0.77369946,,5.8988309998e-05,0.42382812,2026-07-01T09:56:34.247926+00:00
helpfulness,380,1.514713,0.81623799,0.87368665,5.8988309998e-05,0.42382812,2026-07-01T09:56:45.449191+00:00
helpfulness,390,1.554613,0.85419263,,5.69961198e-05,0.57812500,2026-07-01T09:56:52.236947+00:00
helpfulness,390,1.554613,0.98203498,0.87361170,5.69961198e-05,0.57812500,2026-07-01T09:57:03.446513+00:00
helpfulness,400,1.594514,0.82707438,,5.5e-05,0.39453125,2026-07-01T09:57:10.377958+00:00
helpfulness,400,1.594514,0.75464976,0.87378138,5.5e-05,0.39453125,2026-07-01T09:57:21.587182+00:00
helpfulness,410,1.634414,0.84617190,,5.30038802e-05,0.51562500,2026-07-01T09:57:28.778788+00:00
helpfulness,410,1.634414,0.79043210,0.87287815,5.30038802e-05,0.51562500,2026-07-01T09:57:39.984989+00:00
helpfulness,420,1.674314,0.88319262,,5.1011690002e-05,0.47851562,2026-07-01T09:57:47.791518+00:00
helpfulness,420,1.674314,0.93792534,0.87275362,5.1011690002e-05,0.47851562,2026-07-01T09:57:58.985912+00:00
helpfulness,430,1.714214,0.84876027,,4.90273512722e-05,0.45703125,2026-07-01T09:58:07.210164+00:00
helpfulness,430,1.714214,0.69068104,0.87298693,4.90273512722e-05,0.45703125,2026-07-01T09:58:18.394455+00:00
helpfulness,440,1.754115,0.82330545,,4.70547704203e-05,0.43554688,2026-07-01T09:58:25.131644+00:00
helpfulness,440,1.754115,0.81670403,0.87265236,4.70547704203e-05,0.43554688,2026-07-01T09:58:36.316548+00:00
helpfulness,450,1.794015,0.77013419,,4.5097830709e-05,0.51171875,2026-07-01T09:58:44.847944+00:00
helpfulness,450,1.794015,0.69088775,0.87267124,4.5097830709e-05,0.51171875,2026-07-01T09:58:56.032904+00:00
helpfulness,460,1.833915,0.86960708,,4.31603846098e-05,0.53515625,2026-07-01T09:59:02.242920+00:00
helpfulness,460,1.833915,1.00524032,0.87254258,4.31603846098e-05,0.53515625,2026-07-01T09:59:13.427744+00:00
helpfulness,470,1.873815,0.79864176,,4.12462462183e-05,0.51171875,2026-07-01T09:59:21.331647+00:00
helpfulness,470,1.873815,0.72309899,0.87281648,4.12462462183e-05,0.51171875,2026-07-01T09:59:32.512145+00:00
helpfulness,480,1.913716,0.85100893,,3.93591837464e-05,0.46484375,2026-07-01T09:59:40.082239+00:00
helpfulness,480,1.913716,0.96230495,0.87290618,3.93591837464e-05,0.46484375,2026-07-01T09:59:51.262178+00:00
helpfulness,490,1.953616,0.84574436,,3.75029121037e-05,0.41210938,2026-07-01T09:59:58.283798+00:00
helpfulness,490,1.953616,0.83684886,0.87203408,3.75029121037e-05,0.41210938,2026-07-01T10:00:09.461165+00:00
helpfulness,500,1.993516,0.79087093,,3.56810855843e-05,0.50781250,2026-07-01T10:00:18.135218+00:00
helpfulness,500,1.993516,0.77209002,0.87166528,3.56810855843e-05,0.50781250,2026-07-01T10:00:29.314886+00:00
helpfulness,502,2.000000,0.83184137,0.87148127,3.53211705794e-05,0.58984375,2026-07-01T10:00:43.059344+00:00
helpfulness,510,2.031920,0.82181853,,3.3897290673e-05,0.55859375,2026-07-01T10:00:50.533881+00:00
helpfulness,510,2.031920,0.89115864,0.87186825,3.3897290673e-05,0.55859375,2026-07-01T10:01:01.711029+00:00
helpfulness,520,2.071820,0.82707694,,3.21550389848e-05,0.43554688,2026-07-01T10:01:07.260296+00:00
helpfulness,520,2.071820,0.64670622,0.87271604,3.21550389848e-05,0.43554688,2026-07-01T10:01:18.439568+00:00
helpfulness,530,2.111721,0.82236799,,3.04577603517e-05,0.56640625,2026-07-01T10:01:26.466466+00:00
helpfulness,530,2.111721,0.70969993,0.87340822,3.04577603517e-05,0.56640625,2026-07-01T10:01:37.642706+00:00
helpfulness,540,2.151621,0.77830676,,2.8808796071e-05,0.52734375,2026-07-01T10:01:44.308946+00:00
helpfulness,540,2.151621,0.74362671,0.87359305,2.8808796071e-05,0.52734375,2026-07-01T10:01:55.482783+00:00
helpfulness,550,2.191521,0.78163366,,2.72113923274e-05,0.47070312,2026-07-01T10:02:03.767154+00:00
helpfulness,550,2.191521,0.81928229,0.87363893,2.72113923274e-05,0.47070312,2026-07-01T10:02:14.945671+00:00
helpfulness,560,2.231421,0.78000695,,2.56686938024e-05,0.42382812,2026-07-01T10:02:21.111278+00:00
helpfulness,560,2.231421,0.79887283,0.87396459,2.56686938024e-05,0.42382812,2026-07-01T10:02:32.293570+00:00
helpfulness,570,2.271322,0.79034562,,2.41837374837e-05,0.50000000,2026-07-01T10:02:39.214208+00:00
helpfulness,570,2.271322,0.65484083,0.87419487,2.41837374837e-05,0.50000000,2026-07-01T10:02:50.400165+00:00
helpfulness,580,2.311222,0.77379843,,2.27594466866e-05,0.51953125,2026-07-01T10:02:57.944634+00:00
helpfulness,580,2.311222,0.84783375,0.87421869,2.27594466866e-05,0.51953125,2026-07-01T10:03:09.128169+00:00
helpfulness,590,2.351122,0.74425880,,2.13986252988e-05,0.41015625,2026-07-01T10:03:17.358423+00:00
helpfulness,590,2.351122,0.78550363,0.87434380,2.13986252988e-05,0.41015625,2026-07-01T10:03:28.554939+00:00
helpfulness,600,2.391022,0.75483516,,2.01039522611e-05,0.35742188,2026-07-01T10:03:37.030290+00:00
helpfulness,600,2.391022,0.70435488,0.87449689,2.01039522611e-05,0.35742188,2026-07-01T10:03:48.220418+00:00
helpfulness,610,2.430923,0.85115891,,1.88779762931e-05,0.53515625,2026-07-01T10:03:55.774415+00:00
helpfulness,610,2.430923,0.95581198,0.87422763,1.88779762931e-05,0.53515625,2026-07-01T10:04:06.955139+00:00
helpfulness,620,2.470823,0.81856923,,1.77231108761e-05,0.48046875,2026-07-01T10:04:14.853711+00:00
helpfulness,620,2.470823,0.84071088,0.87421998,1.77231108761e-05,0.48046875,2026-07-01T10:04:26.040013+00:00
helpfulness,630,2.510723,0.78619365,,1.66416295017e-05,0.44335938,2026-07-01T10:04:34.011742+00:00
helpfulness,630,2.510723,0.75164342,0.87399447,1.66416295017e-05,0.44335938,2026-07-01T10:04:45.191765+00:00
helpfulness,640,2.550623,0.79294359,,1.56356611961e-05,0.48437500,2026-07-01T10:04:52.639628+00:00
helpfulness,640,2.550623,0.71902978,0.87398672,1.56356611961e-05,0.48437500,2026-07-01T10:05:03.818435+00:00
helpfulness,650,2.590524,0.76453410,,1.47071863289e-05,0.50390625,2026-07-01T10:05:10.742678+00:00
helpfulness,650,2.590524,0.80667531,0.87411265,1.47071863289e-05,0.50390625,2026-07-01T10:05:21.923636+00:00
helpfulness,660,2.630424,0.81881889,,1.38580327147e-05,0.58203125,2026-07-01T10:05:28.113240+00:00
helpfulness,660,2.630424,0.71035314,0.87386975,1.38580327147e-05,0.58203125,2026-07-01T10:05:39.303937+00:00
helpfulness,670,2.670324,0.85323651,,1.30898720146e-05,0.50781250,2026-07-01T10:05:46.340892+00:00
helpfulness,670,2.670324,0.96393239,0.87392549,1.30898720146e-05,0.50781250,2026-07-01T10:05:57.521961+00:00
helpfulness,680,2.710224,0.86581038,,1.24042164454e-05,0.51562500,2026-07-01T10:06:05.574688+00:00
helpfulness,680,2.710224,0.65457922,0.87391005,1.24042164454e-05,0.51562500,2026-07-01T10:06:16.761086+00:00
