attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
verbosity,10,0.039900,0.82952273,,2.22222222222e-05,0.23144531,2026-07-01T11:41:06.922405+00:00
verbosity,10,0.039900,0.67766148,0.87499280,2.22222222222e-05,0.23144531,2026-07-01T11:41:12.699941+00:00
verbosity,20,0.079800,0.82218735,,4.44444444444e-05,0.28906250,2026-07-01T11:41:23.502640+00:00
verbosity,20,0.079800,0.69795948,0.86623079,4.44444444444e-05,0.28906250,2026-07-01T11:41:29.080506+00:00
verbosity,30,0.119701,0.82941383,,6.66666666667e-05,0.32617188,2026-07-01T11:41:40.810422+00:00
verbosity,30,0.119701,0.82950956,0.84324081,6.66666666667e-05,0.32617188,2026-07-01T11:41:46.384613+00:00
verbosity,40,0.159601,0.87011951,,8.88888888889e-05,0.30664062,2026-07-01T11:41:56.420167+00:00
verbosity,40,0.159601,1.11083686,0.82753006,8.88888888889e-05,0.30664062,2026-07-01T11:42:02.002767+00:00
verbosity,50,0.199501,0.78456311,,9.99929119899e-05,0.35156250,2026-07-01T11:42:13.129536+00:00
verbosity,50,0.199501,0.87618744,0.81803385,9.99929119899e-05,0.35156250,2026-07-01T11:42:18.711346+00:00
verbosity,60,0.239401,0.75874780,,9.9913197517e-05,0.31640625,2026-07-01T11:42:29.720240+00:00
verbosity,60,0.239401,0.75991726,0.81419638,9.9913197517e-05,0.31640625,2026-07-01T11:42:35.293965+00:00
verbosity,70,0.279302,0.78187877,,9.97450660095e-05,0.32031250,2026-07-01T11:42:44.870389+00:00
verbosity,70,0.279302,0.95083338,0.81119968,9.97450660095e-05,0.32031250,2026-07-01T11:42:50.442364+00:00
verbosity,80,0.319202,0.81056081,,9.94888484544e-05,0.30078125,2026-07-01T11:43:01.115758+00:00
verbosity,80,0.319202,0.93668467,0.80972593,9.94888484544e-05,0.30078125,2026-07-01T11:43:06.679046+00:00
