attribute,global_step,train_loss
verbosity,10,0.67766148
verbosity,20,0.69795948
verbosity,30,0.82950956
verbosity,40,1.11083686
verbosity,50,0.87618744
verbosity,60,0.75991726
verbosity,70,0.95083338
verbosity,80,0.93668467
verbosity,90,0.87073076
verbosity,100,0.74353939
verbosity,110,0.91020221
verbosity,120,0.78031886
verbosity,130,0.91831297
verbosity,140,0.79098362
verbosity,150,0.76252764
verbosity,160,0.78127319
verbosity,170,0.78390998
verbosity,180,0.75103122
verbosity,190,0.71052247
verbosity,200,0.78545266
verbosity,210,0.84980839
verbosity,220,0.72132772
verbosity,230,0.81810397
verbosity,240,0.69559056
verbosity,250,0.97383946
verbosity,251,0.78704863
verbosity,260,0.77970159
verbosity,270,0.92100716
verbosity,280,0.65094227
verbosity,290,0.77486819
verbosity,300,1.06463981
verbosity,310,0.64353657
verbosity,320,0.73865372
verbosity,330,0.76919538
verbosity,340,0.76268834
verbosity,350,0.64619082
verbosity,360,0.69066942
verbosity,370,0.82951528
verbosity,380,0.68181974
verbosity,390,0.74427915
verbosity,400,0.68147075
verbosity,410,0.85759914
verbosity,420,0.67599195
verbosity,430,0.78783804
verbosity,440,0.79500711
verbosity,450,0.7664873
verbosity,460,0.61201096
verbosity,470,0.77885622
verbosity,480,0.73096478
verbosity,490,0.81720132
verbosity,500,0.66627598
verbosity,502,0.74784353
verbosity,510,0.6775713
verbosity,520,1.00160563
verbosity,530,0.68570364
verbosity,540,0.68479842
verbosity,550,0.69125956
verbosity,560,0.67093885
verbosity,570,0.94806337
verbosity,580,0.86650187
verbosity,590,0.82701987
verbosity,600,0.53010243
verbosity,610,0.61743802
verbosity,620,1.19639039
verbosity,630,0.82985282
verbosity,640,0.7945981
verbosity,650,0.76442707
verbosity,660,0.80215412
verbosity,670,0.6295191
verbosity,680,0.57073694
verbosity,690,0.69741875
verbosity,700,0.60388666
verbosity,710,0.77471608
verbosity,720,0.88565224
verbosity,730,0.87458402
verbosity,740,0.75951248
verbosity,750,0.84501326
verbosity,753,0.7207444
