attribute,global_step,epoch,train_loss,eval_loss,learning_rate,timestamp
helpfulness,10,0.014104,1.49835278,,0.0001,2026-06-22T13:17:47.508718+00:00
helpfulness,20,0.028209,1.25382078,,0.0001,2026-06-22T13:17:51.332974+00:00
helpfulness,30,0.042313,1.20382879,,0.0001,2026-06-22T13:17:55.128377+00:00
helpfulness,40,0.056417,1.24982236,,0.0001,2026-06-22T13:17:58.920522+00:00
helpfulness,50,0.070522,1.24133318,,0.0001,2026-06-22T13:18:02.697633+00:00
helpfulness,50,0.070522,0.97551090,1.20196825,0.0001,2026-06-22T13:18:10.873835+00:00
helpfulness,60,0.084626,1.25740145,,0.0001,2026-06-22T13:18:14.710898+00:00
helpfulness,70,0.098731,1.10639197,,0.0001,2026-06-22T13:18:18.503886+00:00
helpfulness,80,0.112835,1.09604682,,0.0001,2026-06-22T13:18:22.358639+00:00
helpfulness,90,0.126939,1.29184330,,0.0001,2026-06-22T13:18:26.186216+00:00
helpfulness,100,0.141044,1.12504332,,0.0001,2026-06-22T13:18:29.990231+00:00
helpfulness,100,0.141044,1.02311778,1.18621117,0.0001,2026-06-22T13:18:38.205441+00:00
helpfulness,110,0.155148,1.17715554,,0.0001,2026-06-22T13:18:42.007292+00:00
helpfulness,120,0.169252,1.28488535,,0.0001,2026-06-22T13:18:45.808080+00:00
helpfulness,130,0.183357,1.19973415,,0.0001,2026-06-22T13:18:49.644229+00:00
helpfulness,140,0.197461,1.32293931,,0.0001,2026-06-22T13:18:53.437334+00:00
helpfulness,150,0.211566,1.12713549,,0.0001,2026-06-22T13:18:57.328418+00:00
helpfulness,150,0.211566,0.88350433,1.17530735,0.0001,2026-06-22T13:19:05.344984+00:00
helpfulness,160,0.225670,1.10966520,,0.0001,2026-06-22T13:19:09.185045+00:00
helpfulness,170,0.239774,1.15974944,,0.0001,2026-06-22T13:19:12.999830+00:00
helpfulness,180,0.253879,1.16637297,,0.0001,2026-06-22T13:19:16.793386+00:00
helpfulness,190,0.267983,1.24082894,,0.0001,2026-06-22T13:19:20.656789+00:00
helpfulness,200,0.282087,1.15539246,,0.0001,2026-06-22T13:19:24.435146+00:00
helpfulness,200,0.282087,1.90763366,1.17329893,0.0001,2026-06-22T13:19:32.583077+00:00
helpfulness,210,0.296192,1.00024028,,0.0001,2026-06-22T13:19:36.413108+00:00
helpfulness,220,0.310296,1.00065126,,0.0001,2026-06-22T13:19:40.240426+00:00
helpfulness,230,0.324401,1.24877911,,0.0001,2026-06-22T13:19:44.076494+00:00
helpfulness,240,0.338505,1.33397129,,0.0001,2026-06-22T13:19:47.892153+00:00
helpfulness,250,0.352609,1.18751635,,0.0001,2026-06-22T13:19:51.699297+00:00
helpfulness,250,0.352609,0.90789533,1.16569040,0.0001,2026-06-22T13:19:59.837448+00:00
helpfulness,260,0.366714,1.07786109,,0.0001,2026-06-22T13:20:03.661791+00:00
helpfulness,270,0.380818,1.11790532,,0.0001,2026-06-22T13:20:07.513218+00:00
helpfulness,280,0.394922,1.18188905,,0.0001,2026-06-22T13:20:11.323120+00:00
helpfulness,290,0.409027,1.15394787,,0.0001,2026-06-22T13:20:15.167712+00:00
helpfulness,300,0.423131,1.44515021,,0.0001,2026-06-22T13:20:19.046383+00:00
helpfulness,300,0.423131,0.85415202,1.16666353,0.0001,2026-06-22T13:20:27.229134+00:00
helpfulness,310,0.437236,1.48311855,,0.0001,2026-06-22T13:20:31.097639+00:00
helpfulness,320,0.451340,0.92347051,,0.0001,2026-06-22T13:20:34.947221+00:00
helpfulness,330,0.465444,1.04301355,,0.0001,2026-06-22T13:20:38.788011+00:00
helpfulness,340,0.479549,1.20575627,,0.0001,2026-06-22T13:20:42.604256+00:00
helpfulness,350,0.493653,1.20554253,,0.0001,2026-06-22T13:20:46.571811+00:00
helpfulness,350,0.493653,1.62313306,1.16174602,0.0001,2026-06-22T13:20:54.678855+00:00
helpfulness,360,0.507757,1.16918165,,0.0001,2026-06-22T13:20:58.593812+00:00
helpfulness,370,0.521862,1.24806240,,0.0001,2026-06-22T13:21:02.384130+00:00
helpfulness,380,0.535966,1.12777659,,0.0001,2026-06-22T13:21:06.186398+00:00
helpfulness,390,0.550071,1.30936095,,0.0001,2026-06-22T13:21:10.060050+00:00
helpfulness,400,0.564175,1.23137451,,0.0001,2026-06-22T13:21:13.899460+00:00
helpfulness,400,0.564175,1.77440095,1.16520583,0.0001,2026-06-22T13:21:22.004423+00:00
helpfulness,410,0.578279,0.96768619,,0.0001,2026-06-22T13:21:25.829231+00:00
helpfulness,420,0.592384,1.34881873,,0.0001,2026-06-22T13:21:29.697501+00:00
helpfulness,430,0.606488,1.31879908,,0.0001,2026-06-22T13:21:33.624474+00:00
helpfulness,440,0.620592,1.37246535,,0.0001,2026-06-22T13:21:37.410269+00:00
helpfulness,450,0.634697,1.29586030,,0.0001,2026-06-22T13:21:41.280072+00:00
helpfulness,450,0.634697,1.65432441,1.16038558,0.0001,2026-06-22T13:21:49.443493+00:00
helpfulness,460,0.648801,1.55172169,,0.0001,2026-06-22T13:21:53.246570+00:00
helpfulness,470,0.662906,1.07898346,,0.0001,2026-06-22T13:21:57.084003+00:00
helpfulness,480,0.677010,1.31435061,,0.0001,2026-06-22T13:22:00.925991+00:00
helpfulness,490,0.691114,1.28959321,,0.0001,2026-06-22T13:22:04.731787+00:00
helpfulness,500,0.705219,1.00695291,,0.0001,2026-06-22T13:22:08.525744+00:00
helpfulness,500,0.705219,0.77091867,1.15718423,0.0001,2026-06-22T13:22:16.607088+00:00
helpfulness,510,0.719323,1.22134792,,0.0001,2026-06-22T13:22:20.930081+00:00
helpfulness,520,0.733427,1.18590979,,0.0001,2026-06-22T13:22:24.705322+00:00
helpfulness,530,0.747532,1.16028492,,0.0001,2026-06-22T13:22:28.586718+00:00
helpfulness,540,0.761636,0.91966975,,0.0001,2026-06-22T13:22:32.454986+00:00
helpfulness,550,0.775740,1.13399990,,0.0001,2026-06-22T13:22:36.273198+00:00
helpfulness,550,0.775740,0.74413127,1.15511249,0.0001,2026-06-22T13:22:44.482691+00:00
helpfulness,560,0.789845,1.40100823,,0.0001,2026-06-22T13:22:48.334083+00:00
helpfulness,570,0.803949,1.16278991,,0.0001,2026-06-22T13:22:52.197820+00:00
helpfulness,580,0.818054,0.97632298,,0.0001,2026-06-22T13:22:56.097519+00:00
helpfulness,590,0.832158,1.13867677,,0.0001,2026-06-22T13:22:59.924166+00:00
helpfulness,600,0.846262,1.27754675,,0.0001,2026-06-22T13:23:03.767796+00:00
helpfulness,600,0.846262,0.72523916,1.15920119,0.0001,2026-06-22T13:23:11.933628+00:00
helpfulness,610,0.860367,1.20177039,,0.0001,2026-06-22T13:23:15.821816+00:00
helpfulness,620,0.874471,1.22611911,,0.0001,2026-06-22T13:23:19.705207+00:00
helpfulness,630,0.888575,1.14108506,,0.0001,2026-06-22T13:23:23.575097+00:00
helpfulness,640,0.902680,1.12812013,,0.0001,2026-06-22T13:23:27.401421+00:00
helpfulness,650,0.916784,1.22992074,,0.0001,2026-06-22T13:23:31.746564+00:00
helpfulness,650,0.916784,0.91012961,1.15830164,0.0001,2026-06-22T13:23:39.817846+00:00
helpfulness,660,0.930889,1.09495902,,0.0001,2026-06-22T13:23:43.671883+00:00
helpfulness,670,0.944993,1.19664320,,0.0001,2026-06-22T13:23:47.458047+00:00
helpfulness,680,0.959097,1.25528744,,0.0001,2026-06-22T13:23:51.237051+00:00
helpfulness,690,0.973202,1.03443191,,0.0001,2026-06-22T13:23:55.125724+00:00
helpfulness,700,0.987306,1.12448642,,0.0001,2026-06-22T13:23:59.000632+00:00
helpfulness,700,0.987306,1.46929753,1.15546969,0.0001,2026-06-22T13:24:07.122170+00:00
helpfulness,709,1.000000,1.19457994,1.15606741,0.0001,2026-06-22T13:24:18.734232+00:00
helpfulness,710,1.001410,1.04932383,,0.0001,2026-06-22T13:24:19.118592+00:00
helpfulness,720,1.015515,1.28747611,,0.0001,2026-06-22T13:24:23.014294+00:00
helpfulness,730,1.029619,0.98571652,,0.0001,2026-06-22T13:24:26.878372+00:00
helpfulness,740,1.043724,1.00988607,,0.0001,2026-06-22T13:24:30.763389+00:00
helpfulness,750,1.057828,1.06829653,,0.0001,2026-06-22T13:24:34.643733+00:00
helpfulness,750,1.057828,0.96710855,1.16727308,0.0001,2026-06-22T13:24:42.806238+00:00
helpfulness,760,1.071932,1.02239925,,0.0001,2026-06-22T13:24:46.695627+00:00
helpfulness,770,1.086037,1.14853112,,0.0001,2026-06-22T13:24:50.519315+00:00
helpfulness,780,1.100141,0.97202199,,0.0001,2026-06-22T13:24:54.404988+00:00
helpfulness,790,1.114245,1.10370681,,0.0001,2026-06-22T13:24:58.226787+00:00
helpfulness,800,1.128350,1.06954467,,0.0001,2026-06-22T13:25:02.044861+00:00
helpfulness,800,1.128350,1.23417497,1.16616779,0.0001,2026-06-22T13:25:10.181272+00:00
helpfulness,810,1.142454,0.91744490,,0.0001,2026-06-22T13:25:14.018344+00:00
helpfulness,820,1.156559,0.94966420,,0.0001,2026-06-22T13:25:17.850159+00:00
helpfulness,830,1.170663,1.10398661,,0.0001,2026-06-22T13:25:21.667837+00:00
helpfulness,840,1.184767,0.97860698,,0.0001,2026-06-22T13:25:25.520526+00:00
helpfulness,850,1.198872,1.10330708,,0.0001,2026-06-22T13:25:29.364922+00:00
helpfulness,850,1.198872,1.08063185,1.17500386,0.0001,2026-06-22T13:25:37.554806+00:00
helpfulness,860,1.212976,0.95240765,,0.0001,2026-06-22T13:25:41.438385+00:00
helpfulness,870,1.227080,1.01530353,,0.0001,2026-06-22T13:25:45.243341+00:00
helpfulness,880,1.241185,1.06031940,,0.0001,2026-06-22T13:25:49.106985+00:00
