attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
complexity,10,0.039900,0.93914589,,2.22222222222e-05,0.31250000,2026-06-30T09:06:46.469354+00:00
complexity,20,0.079800,0.90324769,,4.44444444444e-05,0.33789062,2026-06-30T09:06:53.207960+00:00
complexity,20,0.079800,0.90280306,0.93189998,4.44444444444e-05,0.33789062,2026-06-30T09:07:07.745117+00:00
complexity,30,0.119701,0.83567979,,6.66666666667e-05,0.38085938,2026-06-30T09:07:15.130602+00:00
complexity,40,0.159601,0.88125480,,8.88888888889e-05,0.34570312,2026-06-30T09:07:22.116239+00:00
complexity,40,0.159601,0.75162882,0.89066161,8.88888888889e-05,0.34570312,2026-06-30T09:07:36.187368+00:00
complexity,50,0.199501,0.83565551,,9.99929119899e-05,0.36523438,2026-06-30T09:07:43.206936+00:00
complexity,60,0.239401,0.78203101,,9.9913197517e-05,0.36132812,2026-06-30T09:07:50.254565+00:00
complexity,60,0.239401,0.65471119,0.87525687,9.9913197517e-05,0.36132812,2026-06-30T09:08:04.324624+00:00
complexity,70,0.279302,0.87820007,,9.97450660095e-05,0.32617188,2026-06-30T09:08:11.965216+00:00
complexity,80,0.319202,0.87969646,,9.94888484544e-05,0.32812500,2026-06-30T09:08:18.744817+00:00
complexity,80,0.319202,0.85990071,0.87062617,9.94888484544e-05,0.32812500,2026-06-30T09:08:32.803702+00:00
complexity,90,0.359102,0.88922186,,9.91450492468e-05,0.35546875,2026-06-30T09:08:40.294019+00:00
complexity,100,0.399002,0.85333241,,9.87143451969e-05,0.34375000,2026-06-30T09:08:46.714339+00:00
complexity,100,0.399002,0.91306412,0.86815871,9.87143451969e-05,0.34375000,2026-06-30T09:09:00.762050+00:00
complexity,110,0.438903,0.82765766,,9.81975841974e-05,0.33398438,2026-06-30T09:09:08.164887+00:00
complexity,120,0.478803,0.80460747,,9.75957835546e-05,0.34570312,2026-06-30T09:09:14.890733+00:00
complexity,120,0.478803,0.88762748,0.86727002,9.75957835546e-05,0.34570312,2026-06-30T09:09:28.957537+00:00
complexity,130,0.518703,0.83596946,,9.69101279854e-05,0.33007812,2026-06-30T09:09:36.303267+00:00
complexity,140,0.558603,0.84839579,,9.61419672853e-05,0.35937500,2026-06-30T09:09:42.929830+00:00
complexity,140,0.558603,0.88526011,0.86561591,9.61419672853e-05,0.35937500,2026-06-30T09:09:56.995548+00:00
complexity,150,0.598504,0.79989213,,9.52928136711e-05,0.36328125,2026-06-30T09:10:04.233165+00:00
complexity,160,0.638404,0.79448953,,9.43643388039e-05,0.38476562,2026-06-30T09:10:10.741826+00:00
complexity,160,0.638404,0.77955472,0.86480085,9.43643388039e-05,0.38476562,2026-06-30T09:10:24.812190+00:00
complexity,170,0.678304,0.80713775,,9.33583704983e-05,0.26171875,2026-06-30T09:10:32.229137+00:00
complexity,180,0.718204,0.77769037,,9.22768891239e-05,0.35156250,2026-06-30T09:10:38.940930+00:00
complexity,180,0.718204,0.74560082,0.86299805,9.22768891239e-05,0.35156250,2026-06-30T09:10:53.016289+00:00
complexity,190,0.758105,0.82089074,,9.11220237069e-05,0.31445312,2026-06-30T09:10:59.800008+00:00
complexity,200,0.798005,0.79576491,,8.98960477389e-05,0.28710938,2026-06-30T09:11:06.707447+00:00
complexity,200,0.798005,0.82357454,0.86205328,8.98960477389e-05,0.28710938,2026-06-30T09:11:20.783342+00:00
complexity,210,0.837905,0.82797247,,8.86013747012e-05,0.36914062,2026-06-30T09:11:28.355216+00:00
complexity,220,0.877805,0.83390949,,8.72405533134e-05,0.29492188,2026-06-30T09:11:34.818724+00:00
complexity,220,0.877805,0.71813846,0.86117675,8.72405533134e-05,0.29492188,2026-06-30T09:11:48.899556+00:00
complexity,230,0.917706,0.83565775,,8.58162625163e-05,0.29882812,2026-06-30T09:11:56.046327+00:00
complexity,240,0.957606,0.86773763,,8.43313061976e-05,0.32421875,2026-06-30T09:12:02.300495+00:00
complexity,240,0.957606,0.71438366,0.86094895,8.43313061976e-05,0.32421875,2026-06-30T09:12:16.378665+00:00
complexity,250,0.997506,0.78592547,,8.27886076726e-05,0.26757812,2026-06-30T09:12:23.606951+00:00
complexity,251,1.000000,0.83821302,0.86028205,8.26312779698e-05,0.46093750,2026-06-30T09:12:38.130378+00:00
complexity,260,1.035910,0.85044509,,8.1191203929e-05,0.34765625,2026-06-30T09:12:44.770791+00:00
complexity,260,1.035910,0.75964725,0.86017642,8.1191203929e-05,0.34765625,2026-06-30T09:12:58.852718+00:00
complexity,270,1.075810,0.78339991,,7.95422396483e-05,0.30273438,2026-06-30T09:13:06.154431+00:00
complexity,280,1.115711,0.86812666,,7.78449610152e-05,0.37695312,2026-06-30T09:13:12.636331+00:00
complexity,280,1.115711,0.89575493,0.85996194,7.78449610152e-05,0.37695312,2026-06-30T09:13:26.710151+00:00
complexity,290,1.155611,0.81836273,,7.6102709327e-05,0.35937500,2026-06-30T09:13:33.840048+00:00
complexity,300,1.195511,0.80450980,,7.43189144157e-05,0.45898438,2026-06-30T09:13:40.674476+00:00
complexity,300,1.195511,0.76493108,0.86145520,7.43189144157e-05,0.45898438,2026-06-30T09:13:54.764112+00:00
complexity,310,1.235411,0.85968437,,7.24970878963e-05,0.42187500,2026-06-30T09:14:01.450649+00:00
complexity,320,1.275312,0.78585525,,7.06408162536e-05,0.38671875,2026-06-30T09:14:08.122437+00:00
complexity,320,1.275312,0.67157525,0.86044303,7.06408162536e-05,0.38671875,2026-06-30T09:14:22.206754+00:00
complexity,330,1.315212,0.77804880,,6.87537537817e-05,0.31250000,2026-06-30T09:14:28.660354+00:00
complexity,340,1.355112,0.78772520,,6.68396153902e-05,0.31640625,2026-06-30T09:14:35.357243+00:00
complexity,340,1.355112,0.73014927,0.86097816,6.68396153902e-05,0.31640625,2026-06-30T09:14:49.431178+00:00
complexity,350,1.395012,0.80103047,,6.4902169291e-05,0.51562500,2026-06-30T09:14:55.976576+00:00
complexity,360,1.434913,0.78895293,,6.29452295797e-05,0.47851562,2026-06-30T09:15:02.848517+00:00
complexity,360,1.434913,0.88335383,0.86024645,6.29452295797e-05,0.47851562,2026-06-30T09:15:16.926518+00:00
complexity,370,1.474813,0.77059830,,6.09726487278e-05,0.34765625,2026-06-30T09:15:23.462483+00:00
complexity,380,1.514713,0.78925394,,5.8988309998e-05,0.45507812,2026-06-30T09:15:29.808427+00:00
complexity,380,1.514713,0.81430858,0.86084945,5.8988309998e-05,0.45507812,2026-06-30T09:15:43.894844+00:00
complexity,390,1.554613,0.78504912,,5.69961198e-05,0.34765625,2026-06-30T09:15:50.580057+00:00
complexity,400,1.594514,0.83084830,,5.5e-05,0.37304688,2026-06-30T09:15:57.348233+00:00
