attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
correctness,10,0.039900,0.98035983,,2.22222222222e-05,0.41992188,2026-06-30T09:50:48.994492+00:00
correctness,20,0.079800,0.94055024,,4.44444444444e-05,0.32031250,2026-06-30T09:50:54.731238+00:00
correctness,20,0.079800,0.84734094,0.96530074,4.44444444444e-05,0.32031250,2026-06-30T09:51:05.875172+00:00
correctness,30,0.119701,0.90982409,,6.66666666667e-05,0.44140625,2026-06-30T09:51:12.573006+00:00
correctness,40,0.159601,0.93246786,,8.88888888889e-05,0.50390625,2026-06-30T09:51:17.708674+00:00
correctness,40,0.159601,1.01041770,0.92422873,8.88888888889e-05,0.50390625,2026-06-30T09:51:28.463468+00:00
correctness,50,0.199501,0.88907059,,9.99929119899e-05,0.42773438,2026-06-30T09:51:35.313123+00:00
correctness,60,0.239401,0.82576792,,9.9913197517e-05,0.46289062,2026-06-30T09:51:40.326902+00:00
correctness,60,0.239401,0.83460557,0.91362479,9.9913197517e-05,0.46289062,2026-06-30T09:51:51.081257+00:00
correctness,70,0.279302,0.84866483,,9.97450660095e-05,0.39648438,2026-06-30T09:51:57.953482+00:00
correctness,80,0.319202,0.83943000,,9.94888484544e-05,0.37890625,2026-06-30T09:52:02.966246+00:00
correctness,80,0.319202,0.88480711,0.90782816,9.94888484544e-05,0.37890625,2026-06-30T09:52:13.715144+00:00
correctness,90,0.359102,0.83555223,,9.91450492468e-05,0.46875000,2026-06-30T09:52:19.578063+00:00
correctness,100,0.399002,0.89624477,,9.87143451969e-05,0.46679688,2026-06-30T09:52:24.676810+00:00
correctness,100,0.399002,0.96783304,0.90393423,9.87143451969e-05,0.46679688,2026-06-30T09:52:35.423710+00:00
correctness,110,0.438903,0.83865288,,9.81975841974e-05,0.37695312,2026-06-30T09:52:41.513744+00:00
correctness,120,0.478803,0.89039565,,9.75957835546e-05,0.41406250,2026-06-30T09:52:46.827526+00:00
correctness,120,0.478803,0.83871233,0.90187955,9.75957835546e-05,0.41406250,2026-06-30T09:52:57.573063+00:00
correctness,130,0.518703,0.95091111,,9.69101279854e-05,0.46289062,2026-06-30T09:53:03.131239+00:00
correctness,140,0.558603,0.89514709,,9.61419672853e-05,0.44531250,2026-06-30T09:53:07.955886+00:00
correctness,140,0.558603,0.87281811,0.89953111,9.61419672853e-05,0.44531250,2026-06-30T09:53:18.703165+00:00
correctness,150,0.598504,0.90154726,,9.52928136711e-05,0.41406250,2026-06-30T09:53:24.921525+00:00
correctness,160,0.638404,0.81959108,,9.43643388039e-05,0.29882812,2026-06-30T09:53:30.633543+00:00
correctness,160,0.638404,0.67811161,0.89815143,9.43643388039e-05,0.29882812,2026-06-30T09:53:41.380147+00:00
correctness,170,0.678304,0.87176204,,9.33583704983e-05,0.40820312,2026-06-30T09:53:47.549240+00:00
correctness,180,0.718204,0.93270884,,9.22768891239e-05,0.42187500,2026-06-30T09:53:53.381926+00:00
correctness,180,0.718204,0.95382684,0.89678999,9.22768891239e-05,0.42187500,2026-06-30T09:54:04.126686+00:00
correctness,190,0.758105,0.83855711,,9.11220237069e-05,0.38281250,2026-06-30T09:54:10.202219+00:00
correctness,200,0.798005,0.84166251,,8.98960477389e-05,0.33007812,2026-06-30T09:54:15.404163+00:00
correctness,200,0.798005,0.66407567,0.89605879,8.98960477389e-05,0.33007812,2026-06-30T09:54:26.146460+00:00
correctness,210,0.837905,0.87608238,,8.86013747012e-05,0.49804688,2026-06-30T09:54:31.856677+00:00
correctness,220,0.877805,0.81554312,,8.72405533134e-05,0.32617188,2026-06-30T09:54:37.462515+00:00
correctness,220,0.877805,0.98757178,0.89454804,8.72405533134e-05,0.32617188,2026-06-30T09:54:48.224482+00:00
