attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
verbosity,10,0.039900,0.83844275,,2.22222222222e-05,0.33398438,2026-06-30T09:24:42.557682+00:00
verbosity,20,0.079800,0.88160748,,4.44444444444e-05,0.32812500,2026-06-30T09:24:49.626639+00:00
verbosity,20,0.079800,0.87119186,0.88404696,4.44444444444e-05,0.32812500,2026-06-30T09:24:54.287425+00:00
verbosity,30,0.119701,0.82365075,,6.66666666667e-05,0.30078125,2026-06-30T09:25:01.857131+00:00
verbosity,40,0.159601,0.78903244,,8.88888888889e-05,0.34375000,2026-06-30T09:25:08.920856+00:00
verbosity,40,0.159601,0.70811468,0.84542791,8.88888888889e-05,0.34375000,2026-06-30T09:25:13.395511+00:00
verbosity,50,0.199501,0.82222080,,9.99929119899e-05,0.32031250,2026-06-30T09:25:21.005386+00:00
verbosity,60,0.239401,0.81179096,,9.9913197517e-05,0.28125000,2026-06-30T09:25:28.065687+00:00
verbosity,60,0.239401,0.64315277,0.83294036,9.9913197517e-05,0.28125000,2026-06-30T09:25:32.530711+00:00
verbosity,70,0.279302,0.81826587,,9.97450660095e-05,0.28906250,2026-06-30T09:25:39.807919+00:00
verbosity,80,0.319202,0.79047114,,9.94888484544e-05,0.35546875,2026-06-30T09:25:46.574670+00:00
verbosity,80,0.319202,0.77337134,0.82778327,9.94888484544e-05,0.35546875,2026-06-30T09:25:51.040421+00:00
verbosity,90,0.359102,0.78934804,,9.91450492468e-05,0.28515625,2026-06-30T09:25:58.514261+00:00
verbosity,100,0.399002,0.77615938,,9.87143451969e-05,0.34375000,2026-06-30T09:26:05.435345+00:00
verbosity,100,0.399002,0.83177900,0.82510981,9.87143451969e-05,0.34375000,2026-06-30T09:26:09.895884+00:00
verbosity,110,0.438903,0.75942292,,9.81975841974e-05,0.33789062,2026-06-30T09:26:17.474363+00:00
verbosity,120,0.478803,0.77550077,,9.75957835546e-05,0.29101562,2026-06-30T09:26:24.368159+00:00
verbosity,120,0.478803,0.78023630,0.82339970,9.75957835546e-05,0.29101562,2026-06-30T09:26:28.833671+00:00
verbosity,130,0.518703,0.75015359,,9.69101279854e-05,0.32031250,2026-06-30T09:26:36.454447+00:00
